period,parent_bin,parent_ARA_mid,parent_ARA_observed_median,state_x_L_median,state_x_C_median,history_x_P_median,history_x_R_median,closure_rho_median,x_R_below_1_99_share,rows,fields
RF on,7,1.3000000000000003,1.3401149719262349,0.9414435122544167,1.1671779502160193,1.8798325842732497,1.0536907058746705,0.5790086827891848,1.0,78,13
RF on,8,1.5,1.5064852779552236,0.9869020809799824,1.0620575985900613,1.8844129532345621,1.5053414903069,0.4396195018514471,0.8461538461538461,182,13
RF on,9,1.7000000000000002,1.715828489632185,1.0439809137060496,0.9960116407298267,1.8596550901921711,2.0,0.14670429753044836,0.28205128205128205,312,13
RF on,10,1.9,1.838747383977896,1.0035512518455454,1.0494263403950361,1.843771763375457,2.0,0.10265099171684645,0.1076923076923077,195,13
RF off,7,1.3000000000000003,1.3401149719262349,0.9126264972600029,1.12622150952874,1.8720340217133664,1.1155889647999389,0.5411162311772533,1.0,78,13
RF off,8,1.5,1.5064852779552236,1.0360314488155624,1.026267956919547,1.8688158281147955,1.5488947875911632,0.4024678657560949,0.9010989010989011,182,13
RF off,9,1.7000000000000002,1.715828489632185,1.0402864096302586,1.0384051140260602,1.8596550901921711,2.0,0.14580794705664452,0.47115384615384615,312,13
RF off,10,1.9,1.838747383977896,1.011817402144979,1.0043032141081236,1.8529325012980808,2.0,0.11875945484184758,0.22564102564102564,195,13
