period,field_G,time_us,parent_ARA,state_x_L,state_x_C,history_x_P,history_x_R,median_closure_rho,observed_phase_ARA,state_sector,history_sector
RF on,284.0,2.2829999923706055,1.290480240652085,1.0994456761314952,1.6232544536755311,1.9147885970765433,1.0252144135218428,0.5618323238507363,1.778310457613075,Ab,Ab
RF on,284.0,2.3469998836517334,1.3107961426068178,0.6473559236621353,1.225154249924003,1.8997340084988443,1.1492136950032967,0.5543464790091841,0.6520073126787851,Ba,Ab
RF on,284.0,2.4110000133514404,1.3305304054176792,0.7728092496049902,1.369021029054618,1.8596550901921711,1.389024666691193,0.5250163724088717,1.7958650831566194,Ba,Ab
RF on,284.0,2.4749999046325684,1.3496995384347905,0.9392321894091143,1.0371899507813622,1.8596550901921711,1.167129366564558,0.5194026740719075,1.1237481133821474,Ba,Ab
RF on,284.0,2.5390000343322754,1.3683198640131937,0.5570095441135596,0.916199992802449,1.8752522153119373,1.2914857758533058,0.5053994386095814,0.11224465689455952,bA,Ab
RF on,284.0,2.6029999256134033,1.3864069596019823,0.8879562830983235,1.2077225941539413,1.8752522153119373,1.4172321459617572,0.4919056951904626,1.4144053795598213,Ba,Ab
RF on,284.0,2.6670000553131104,1.4039762262104571,1.2671278192391455,1.125723629918439,1.8997340084988443,1.301853977009596,0.49521836977628736,0.4083481027348563,Ab,Ab
RF on,284.0,2.7309999465942383,1.4210423619895745,0.9478709022428594,1.2127376341192657,1.8752522153119373,1.2984576014209674,0.4889266246655055,0.8750450737437105,Ba,Ab
RF on,284.0,2.7950000762939453,1.4376198986099702,0.8679085478735723,1.102042424704806,1.8752522153119373,1.4584446504477833,0.47062637542297625,0.6288443967155865,Ba,Ab
RF on,284.0,2.8589999675750732,1.4537227045580847,0.987779987745534,1.3576082943832175,1.8596550901921711,1.4481010526938873,0.45547258618614905,1.983905674630346,Ba,Ab
RF on,284.0,2.922999858856201,1.4693644338095633,0.9114732567037417,1.1675688448265693,1.8905732705762202,1.3202315766093928,0.4307834404217867,1.835622139262836,Ba,Ab
RF on,284.0,2.986999988555908,1.4845583443015913,1.1218230108565972,1.234476437274061,1.9147885970765433,1.2732716938013375,0.4193212941251163,1.0202703398571678,Ab,Ab
RF on,284.0,3.050999879837036,1.4993171470024178,1.289316560773146,1.4048668891069467,1.8997340084988443,1.5146058910858977,0.3918707446919368,0.06753556884423659,Ab,Ab
RF on,284.0,3.115000009536743,1.5136534089080294,1.3671069884912264,1.159994906183797,1.9147885970765433,1.6508226684432656,0.3924390330662595,1.8285568308026339,Ab,Ab
RF on,284.0,3.178999900817871,1.5275791234923892,1.1696202555697324,1.3537347052410702,1.8997340084988443,1.5375529595645456,0.37114878088073855,1.2094677341387015,Ab,Ab
RF on,284.0,3.243000030517578,1.5411061483839812,0.73357652917177,1.4647833122643799,1.8997340084988443,1.367812323141395,0.33942697390858884,1.7618435142615787,Ba,Ab
RF on,284.0,3.306999921798706,1.5542458000627855,1.2962211550416383,1.2509017204994175,1.9147885970765433,1.669199323078206,0.31299432418061224,0.9657066455977805,Ab,Ab
RF on,284.0,3.371000051498413,1.5670092668313529,0.5954154072017186,1.3872381169195664,1.9147885970765433,1.939940040809387,0.2952519792300093,0.6103648701495432,Ba,Ab
RF on,284.0,3.434999942779541,1.5794072263898669,0.7490214449974646,1.1763196695137401,1.9295858296171042,1.9830633001188704,0.28268569346912353,0.4047421846881142,Ba,Ab
RF on,284.0,3.499000072479248,1.5914502354962952,1.397118767276548,0.9646240191071004,1.9295858296171042,1.9123930474071025,0.2598828795418204,1.7100091220438867,aB,Ab
RF on,284.0,3.562999963760376,1.60314836912814,0.8481853752113216,0.9828203972806024,1.9295858296171042,2.0,0.2591474661560487,1.3713356583556142,bA,Ab
RF on,284.0,3.626999855041504,1.614511546428203,1.4511478081028422,0.8495128206645651,1.9295858296171042,2.0,0.22814556230560482,1.6853680570399345,aB,Ab
RF on,284.0,3.690999984741211,1.6255493988309917,1.335681653072624,0.8955125392767256,1.9441343573651102,2.0,0.20835743224937614,1.418781458121693,aB,Ab
RF on,284.0,3.754999876022339,1.6362711604169293,0.6944144137785936,0.7346856024126571,1.9441343573651102,2.0,0.19625820757672857,1.1113763208292147,bA,Ab
RF on,284.0,3.819000005722046,1.6466859606755517,1.1839053395272345,0.9821954130472136,1.9441343573651102,1.898513297842461,0.1798682190979351,1.9360390415222855,aB,Ab
RF on,284.0,3.883000135421753,1.6568025495947836,0.8678714316395925,0.72728317937847,1.9441343573651102,1.9807814664640278,0.17697363859427467,0.953471740626738,bA,Ab
RF on,284.0,3.9469997882843018,1.666629393827122,0.9526865950226047,0.8587530007535018,1.9147885970765433,2.0,0.15259503221645274,0.5326505384221704,bA,Ab
RF on,284.0,4.011000156402588,1.6761749691148449,1.266175504801544,1.06512184750205,1.8844129532345621,2.0,0.14394562023099788,0.6659354828207182,Ab,Ab
