period,instrument,sector,windows,share
RF on,State Di-ARA,Ba,234,0.3050847457627119
RF on,State Di-ARA,Ab,221,0.288135593220339
RF on,State Di-ARA,bA,144,0.1877444589308996
RF on,State Di-ARA,aB,168,0.21903520208604954
RF on,State Di-ARA,ridge,0,0.0
RF on,History Di-ARA,Ba,0,0.0
RF on,History Di-ARA,Ab,715,0.9322033898305084
RF on,History Di-ARA,bA,0,0.0
RF on,History Di-ARA,aB,52,0.06779661016949153
RF on,History Di-ARA,ridge,0,0.0
RF off,State Di-ARA,Ba,216,0.2816166883963494
RF off,State Di-ARA,Ab,226,0.29465449804432853
RF off,State Di-ARA,bA,146,0.19035202086049544
RF off,State Di-ARA,aB,179,0.2333767926988266
RF off,State Di-ARA,ridge,0,0.0
RF off,History Di-ARA,Ba,0,0.0
RF off,History Di-ARA,Ab,730,0.9517601043024772
RF off,History Di-ARA,bA,0,0.0
RF off,History Di-ARA,aB,37,0.048239895697522815
RF off,History Di-ARA,ridge,0,0.0
