run,period,field_G,shuffle_minus_target_x_R,wrong_minus_target_x_R,target_minus_shuffle_closure_rho,abs_shuffle_minus_target_x_P,median_state_x_L,median_state_x_C,median_history_x_P,median_history_x_R,calibration_improvement
EMU00069986,RF on,68.0,0.0,0.0,0.2074187763439124,0.0,1.0427083286225367,1.0824656670234174,1.8752522153119373,2.0,0.05187430760749593
EMU00069986,RF off,68.0,0.0,0.0,0.15005510929067578,0.0,1.1374156530388504,1.0304856344402658,1.843771763375457,2.0,0.05141646144051926
EMU00069992,RF on,104.0,0.19586351048334105,0.19586351048334105,0.1869347884660562,0.0,1.0012707668727787,1.0221714531270452,1.8501939472364997,1.815733634387641,0.05624933629152181
EMU00069992,RF off,104.0,0.40613850023397013,0.40613850023397013,0.14645292328952927,0.0,0.9712051065444862,0.9654685252326993,1.8688158281147955,1.6717235656731386,0.045996481841972164
EMU00069998,RF on,140.0,0.49932090114723215,0.49553897809115166,0.26855512159786954,0.0,1.0255327909554277,1.0805323993211675,1.8844129532345621,1.6175434312995454,0.04506374956031797
EMU00069998,RF off,140.0,0.31655425979793606,0.31655425979793606,0.20006039004982631,0.0,1.0257992493126222,1.087590951930036,1.843771763375457,1.8888070338376,0.045196622672598254
EMU00070004,RF on,176.0,0.2767341800015486,0.2767341800015486,0.21272391552743636,0.0,0.9949489439522143,1.0427482057250972,1.8752522153119373,1.8441030681763813,0.040212055445052575
EMU00070004,RF off,176.0,0.2468854225300845,0.2799810454656715,0.10629680439360498,0.0,1.0109769711116035,1.0973968715961915,1.8688158281147955,1.7300272523086397,0.04076141092187072
EMU00070010,RF on,212.0,0.0,0.0,0.169801246055339,0.0,0.9673541527988977,1.0433245302103409,1.8688158281147955,2.0,0.037893985332801035
EMU00070010,RF off,212.0,0.11602371073451745,0.11542653309899609,0.180183167752114,0.0,0.9657541809297313,0.9897041018714269,1.843771763375457,1.8782423815656089,0.031508098657316366
EMU00070016,RF on,248.0,0.0,-0.0089228754427233,0.025880299031392856,0.0,1.0314596684142405,1.1127468614946665,1.9147885970765433,2.0,0.03277379603158979
EMU00070016,RF off,248.0,0.0,-0.03706438763123865,0.06650666886438734,0.0,1.0902219030532982,1.1497555909199995,1.8202638308846557,2.0,0.03700521268620956
EMU00070022,RF on,284.0,0.0,0.0,0.04652184580433498,0.0,0.980333921424612,1.102042424704806,1.8752522153119373,2.0,0.028208878701817288
EMU00070022,RF off,284.0,0.2722599556994536,0.2722599556994536,0.06900841929270826,0.0,1.0343569272446387,1.1023496662681114,1.8844129532345621,1.741210130088494,0.032873653862251224
EMU00070028,RF on,320.0,0.013635166473686677,-0.07299941578446223,0.06801679281116924,0.0,1.0336049728879864,1.1014443888445502,1.8529325012980808,2.0,0.02858525091264546
EMU00070028,RF off,320.0,0.19193949651809628,0.20455743223418854,0.05214880855784093,0.0,1.045306804074905,0.9409003714821655,1.8752522153119373,1.8358014867122707,0.025536535381234723
EMU00070034,RF on,356.0,0.13447783199584706,0.13447783199584706,0.017478068049208567,0.0,1.0237870953500399,1.0737410085700871,1.8596550901921711,1.8842685827679384,0.028670814124600336
EMU00070034,RF off,356.0,0.0,0.0,0.03716592769612004,0.0,0.9865883818822163,1.1589343471035092,1.8844129532345621,2.0,0.029294643874326745
EMU00070040,RF on,392.0,0.0,-0.05078378421322571,0.10295188415490694,0.0,1.0023714556467531,1.0272851810137194,1.8016419500063596,2.0,0.023112695191457706
EMU00070040,RF off,392.0,0.0,0.0,0.04791456690519305,0.0,1.0373401925724117,0.949963562350834,1.8367522727379193,2.0,0.02437527579112725
EMU00070046,RF on,428.0,0.0,0.0,0.028709616763438778,0.0,1.004050042981029,1.0068801690306015,1.843771763375457,2.0,0.024791269432902024
EMU00070046,RF off,428.0,0.11261564984690153,0.11261564984690153,0.02400576124225129,0.0,1.0380032181319323,1.0622180265194159,1.8905732705762202,1.9016546494896016,0.02176533273327121
EMU00070052,RF on,464.0,0.0,0.0,0.016947634503646225,0.0,0.9608754996784644,1.0447105810916544,1.8367522727379193,2.0,0.016497307942493687
EMU00070052,RF off,464.0,0.11232859162938813,0.11232859162938813,0.019444955599838276,0.0,0.990006373550955,1.000276561816849,1.8529325012980808,1.8894511235322435,0.024188769302347122
EMU00070058,RF on,500.0,0.0,-0.06837490119965794,0.029174996507531623,0.0,1.0387010383968645,0.955497904742886,1.8752522153119373,2.0,0.017533217428203685
EMU00070058,RF off,500.0,0.0,-0.007284641264583724,0.00787031459725511,0.0,0.99826865581151,1.0196725707231393,1.7942944672602723,2.0,0.0221686419552502
