split,run,period,field_G,frequency_MHz,cycle_bins,timeline_points,control_windows,basis_condition,calibration_improvement,median_state_x_L,median_state_x_C,median_history_x_P,median_history_x_R,target_x_P,target_x_R,target_rho,shuffle_x_P,shuffle_x_R,shuffle_rho,reverse_x_P,reverse_x_R,reverse_rho,wrong_x_P,wrong_x_R,wrong_rho
development,EMU00069983,RF on,50.0,0.67745,92,59,15,1.2014072896439878,0.05667772830081208,1.0455189799822067,1.0476394489946703,1.8596550901921711,1.5593109607234772,1.8752522153119373,1.5396037167030776,0.3270462212276872,1.8752522153119373,2.0,0.07622704914069339,1.8752522153119373,1.3874514759217464,0.3270462212276871,1.8239276828499755,2.0,0.15011987827029621
development,EMU00069983,RF off,50.0,0.67745,92,59,15,1.1775155305866347,0.04489211874755611,1.122644670005762,0.9707427848204796,1.843771763375457,2.0,1.843771763375457,2.0,0.3024970432805575,1.843771763375457,2.0,0.08319761471542175,1.843771763375457,1.8025467394527932,0.3024970432805575,1.8560022440249284,1.8823562397451028,0.11151752446852412
development,EMU00069989,RF on,86.0,1.165214,54,59,15,1.2667840029969346,0.04728600133010904,1.0552424314189817,1.0576929524047196,1.834310620419785,1.6546355532574604,1.834310620419785,1.6301968876741828,0.3216431925437971,1.834310620419785,2.0,0.08084171863887954,1.834310620419785,1.7404655300757663,0.3216431925437971,1.8016419500063596,2.0,0.18630141523472732
development,EMU00069989,RF off,86.0,1.165214,54,59,15,1.5014942013574242,0.05522582618016372,1.0526943413297623,1.054832636322342,1.8367522727379193,1.6781441046258132,1.843771763375457,1.6781441046258132,0.3699062008724821,1.843771763375457,2.0,0.07699103221115892,1.843771763375457,1.5893266428552373,0.36990620087248216,1.8275915348152951,2.0,0.14862362662402046
development,EMU00069995,RF on,122.0,1.652978,38,59,15,1.141714621824695,0.048305664804617926,0.9809942986356663,1.0874844479067591,1.8596550901921711,1.650713207198457,1.8596550901921711,1.64738995480925,0.2608073760808307,1.8596550901921711,2.0,0.07432198199344103,1.8596550901921711,1.864295192710732,0.2608073760808307,1.7713716185974748,2.0,0.23007423879301367
development,EMU00069995,RF off,122.0,1.652978,38,59,15,1.1540449612748689,0.04219448650990018,1.00869786462385,1.1740209909755652,1.834310620419785,1.9354780280478074,1.8501939472364997,1.9354780280478074,0.18667847309459712,1.8501939472364997,2.0,0.0869812364904159,1.8501939472364997,1.9266941029533122,0.18667847309459706,1.8434731099872095,2.0,0.1007249885870069
development,EMU00070001,RF on,158.0,2.140742,29,59,15,1.5558013099493573,0.037824981289339275,1.074584402644975,1.1678196225621122,1.8752522153119373,1.6928002758675063,1.8752522153119373,1.6015241076054287,0.3252343042013927,1.8752522153119373,2.0,0.07865416453051147,1.8752522153119373,1.7383289260085761,0.3252343042013927,1.8136734615893548,2.0,0.12060100614157208
development,EMU00070001,RF off,158.0,2.140742,29,59,15,1.1675137603086347,0.03951390658406296,0.9904853006066743,1.0508044100156948,1.843771763375457,2.0,1.8275915348152951,2.0,0.19310064074214084,1.8275915348152951,2.0,0.08204552501246287,1.8275915348152951,2.0,0.19310064074214084,1.801568263444455,2.0,0.192392887561124
development,EMU00070007,RF on,194.0,2.6285060000000002,24,59,15,1.4701603753756571,0.04451262873033485,1.0525823011841628,1.0440047500291598,1.8596550901921711,2.0,1.8596550901921711,2.0,0.2368938557672441,1.8596550901921711,2.0,0.09447853416203669,1.8596550901921711,1.9756113960485269,0.23689385576724414,1.835681649095376,2.0,0.10404829452834402
development,EMU00070007,RF off,194.0,2.6285060000000002,24,59,15,1.260815593652889,0.03939606188231174,1.0062042178701451,1.0592711362533402,1.8844129532345621,1.7936237132808353,1.8844129532345621,1.8008456492239104,0.21234916950744814,1.8844129532345621,2.0,0.08093115478061783,1.8844129532345621,1.7305640473898782,0.21234916950744814,1.88427491830682,2.0,0.10035032083024473
