file,block,n,pure_positive,pure_positive_rate,pure_parent_minus_nested_logloss,observed_positive,observed_positive_rate,observed_parent_minus_nested_logloss
6845.2020.0317.0,1,45,4,0.08888888888888889,0.006432009089499217,4,0.08888888888888889,0.005956640378832932
6845.2020.0317.0,2,45,7,0.15555555555555556,0.009635253645635642,5,0.1111111111111111,0.0131270477290042
6845.2020.0317.0,3,45,5,0.1111111111111111,0.0013733335871408165,3,0.06666666666666667,0.007241188950619244
6845.2020.0317.0,4,45,6,0.13333333333333333,-0.000642271911462088,6,0.13333333333333333,-0.005822730342037519
6845.2020.0317.0,5,45,4,0.08888888888888889,-0.0002091414895306463,3,0.06666666666666667,0.00847526002832302
6845.2020.0317.0,6,45,7,0.15555555555555556,-0.0008183315502657571,5,0.1111111111111111,0.005561033563807096
6845.2020.0318.0,1,43,3,0.06976744186046512,0.007552201720724458,3,0.06976744186046512,0.007989021107544842
6845.2020.0318.0,2,43,3,0.06976744186046512,0.003193112978559208,2,0.046511627906976744,0.003111698897327197
6845.2020.0318.0,3,43,4,0.09302325581395349,0.005096444491476484,2,0.046511627906976744,0.005210844641539474
6845.2020.0318.0,4,43,6,0.13953488372093023,0.003706399935740344,6,0.13953488372093023,0.008597539546684253
6845.2020.0318.0,5,43,5,0.11627906976744186,-0.012279959595797734,4,0.09302325581395349,-0.022183400335678338
6845.2020.0318.0,6,42,8,0.19047619047619047,0.005472128067751123,8,0.19047619047619047,0.008711125459422271
