topology,n,pure_positive,pure_positive_rate,observed_positive,observed_positive_rate,mean_nested_probability_pure,mean_nested_probability_observed
both pairs,359,35,0.09749303621169916,25,0.06963788300835655,0.09000200438401022,0.06846742938523515
A only,150,25,0.16666666666666666,25,0.16666666666666666,0.09964358528797114,0.09045658153226839
B only,18,2,0.1111111111111111,1,0.05555555555555555,0.10413848990898625,0.0926157568710808
