outcome,model,mean_logloss,auc,brier
pure,MG,0.3679135239544168,0.5128858827610129,0.10441990700741076
pure,MP,0.3687783783982659,0.515938258758238,0.10442433767972793
pure,MN,0.36640257143363303,0.5443114810960805,0.10432363599546253
pure,MW,0.36744004928850393,0.5368192854665279,0.10421609704410754
observed,MG,0.3193716736550572,0.5672062942824189,0.0872799319692642
observed,MP,0.31996845553572034,0.5632105783489867,0.08721049789611988
observed,MN,0.316102606676044,0.5994603723842478,0.08708374848656975
observed,MW,0.31808856938040714,0.5754448838358873,0.08708493074628035
