pulse,axis,time_ns_from_minimum,n,median,q25,q75
stopped_muon,x_R,-256,650,1.0,0.918221817960851,1.080490644825392
stopped_muon,x_R,-248,650,1.0,0.9209929410793851,1.0746524400472142
stopped_muon,x_R,-240,650,1.0,0.916547668311464,1.0775648145425576
stopped_muon,x_R,-232,650,1.0,0.915371608955182,1.0796752643882872
stopped_muon,x_R,-224,650,1.0,0.9166129593434511,1.082278822019513
stopped_muon,x_R,-216,650,1.0,0.9164484980453083,1.0807152144714751
stopped_muon,x_R,-208,650,1.0,0.9157190850783147,1.08439897240905
stopped_muon,x_R,-200,650,1.0,0.9195395172734214,1.083616280838918
stopped_muon,x_R,-192,650,1.0,0.9236216523780929,1.0835801841593469
stopped_muon,x_R,-184,650,1.0,0.9246726510717312,1.089463838800323
stopped_muon,x_R,-176,650,1.0,0.9213153159465493,1.0869641498828067
stopped_muon,x_R,-168,650,1.0,0.9224351854574422,1.0889312713860921
stopped_muon,x_R,-160,650,1.0,0.9213363313532658,1.0834643649732523
stopped_muon,x_R,-152,650,1.0,0.9238564256449734,1.0834643649732523
stopped_muon,x_R,-144,650,1.0,0.920440394034553,1.0779815488619713
stopped_muon,x_R,-136,650,1.0,0.9171144081912038,1.079420458883134
stopped_muon,x_R,-128,650,1.0,0.9213363313532658,1.0815774677131094
stopped_muon,x_R,-120,650,0.9999999999999999,0.9188277058714143,1.0790210929181931
stopped_muon,x_R,-112,650,1.0,0.9135677369754269,1.0772781779483782
stopped_muon,x_R,-104,650,0.9889020121277322,0.9155193623672779,1.0671594613838058
stopped_muon,x_R,-96,650,0.9856030771461575,0.9039502283934089,1.0627054733002637
stopped_muon,x_R,-88,650,0.9840647492089012,0.9039502283934089,1.0577229546394664
stopped_muon,x_R,-80,650,0.9804959055533312,0.9024994764007851,1.060714802799104
stopped_muon,x_R,-72,650,0.968381084315681,0.8992072425731372,1.0507224436154097
stopped_muon,x_R,-64,650,0.970433773136286,0.9008661680546106,1.0432249786649108
stopped_muon,x_R,-56,650,0.9683815307015903,0.8973165585838848,1.0382606280596436
stopped_muon,x_R,-48,650,0.9705657561819725,0.8949374614472981,1.0408197684431884
stopped_muon,x_R,-40,650,0.9709929721482315,0.8917188286119113,1.0473828116461439
