Name,Time_s,D_px,D_mm,x_child_connection_ara,x_parent_causal_ara,connection_child_mm_s,movement_child_mm_s,r_parent_unresolved_mm_s,r_child_unresolved_mm_s,fluid,target_t_s,child_issue_t_s,parent_issue_t_s,partition,x_parent_child_coarse,t411e_down_issue_t_s
241113q,0.0,146.0,2.0,,,,,,,S1,0.285,0.104,0.295,development,,0.149
241113q,0.001,146.0,2.0,,,,,,,S1,0.285,0.104,0.295,development,,0.149
241113q,0.002,146.0,2.0,,,,,,,S1,0.285,0.104,0.295,development,,0.149
241113q,0.003,146.0,2.0,,,,,,,S1,0.285,0.104,0.295,development,,0.149
241113q,0.004,146.0,2.0,,,,,,-9.883034995660047,S1,0.285,0.104,0.295,development,,0.149
241113q,0.005,146.0,2.0,,,,,,-9.767793610153488,S1,0.285,0.104,0.295,development,,0.149
241113q,0.006,146.0,2.0,,,,,,-9.654649888480357,S1,0.285,0.104,0.295,development,,0.149
241113q,0.007,146.0,2.0,,,,,,-9.543552106227589,S1,0.285,0.104,0.295,development,,0.149
241113q,0.008,146.0,2.0,,,,,,-9.434450143963792,S1,0.285,0.104,0.295,development,,0.149
241113q,0.009,146.0,2.0,,,,,,-9.327295427344378,S1,0.285,0.104,0.295,development,,0.149
241113q,0.01,146.0,2.0,,,0.0,0.0,-9.222040869823594,-9.222040869823594,S1,0.285,0.104,0.295,development,,0.149
241113q,0.011,146.0,2.0,,,0.0,0.0,-9.118640817844122,-9.118640817844122,S1,0.285,0.104,0.295,development,,0.149
241113q,0.012,146.0,2.0,,,0.0,0.0,-9.017050998381926,-9.017050998381926,S1,0.285,0.104,0.295,development,,0.149
241113q,0.013,145.0,1.98630136986301,0.0,,0.0,2.117061021171164,-8.29456346250412,-6.1775024413329565,S1,0.285,0.104,0.295,development,,0.149
241113q,0.014,145.0,1.98630136986301,0.0,,0.0,2.988792029888705,-7.698334557210156,-4.709542527321451,S1,0.285,0.104,0.295,development,,0.149
241113q,0.015,145.0,1.98630136986301,0.0,,0.0,2.6151930261526166,-7.228323858203561,-4.6131308320509445,S1,0.285,0.104,0.295,development,,0.149
241113q,0.016,144.0,1.97260273972603,0.0,,0.0,3.113325031132557,-6.26182712701066,-3.1485020958781025,S1,0.285,0.104,0.295,development,,0.149
