Name,fluid,D0_mm,tbrk_s,target_t_s,coverage,excluded,reason,parent_window_frames,child_window_frames,child_cross_t_s,child_issue_t_s,parent_cross_t_s,parent_issue_t_s,capillary_forecast_t_s,child_issue_lead_s,parent_issue_lead_s,first_parent_rate_t_s,child_prediction_t_s,parent_prediction_t_s,child_error_s,child_abs_error_s,child_abs_error_u,parent_error_s,parent_abs_error_s,parent_abs_error_u,capillary_error_s,capillary_abs_error_s,capillary_abs_error_u,partition,t411e_eligible,t411e_reason,pair_down_cross_t_s,pair_down_issue_t_s,pair_up_cross_t_s,pair_up_issue_t_s,pair_prediction_t_s,pair_issue_lead_s,pair_abs_error_s,pair_abs_error_u,up_abs_error_u
241118m,S1,2.0,0.131,0.062,0.9389312977099236,False,,11.0,5.0,0.0121016606951819,0.017,0.063205023724992,0.068,0.0724992767204791,0.045,-0.006,,0.075,0.068,0.0129999999999999,0.0129999999999999,0.099236641221374,0.006,0.006,0.0458015267175572,0.010499276720479,0.010499276720479,0.0801471505380083,development,True,,0.026576960839280902,0.031,0.03717420590993438,0.042,0.031,0.031,0.031,0.23664122137404578,0.15267175572519082
241118n,S1,2.0,0.101,0.046,0.9108910891089108,False,,11.0,5.0,0.019265327636884,0.024,0.0284608542011281,0.033,0.0592313259041335,0.022,0.0129999999999999,,0.0819999999999999,0.033,0.0359999999999999,0.0359999999999999,0.3564356435643563,-0.0129999999999999,0.0129999999999999,0.1287128712871287,0.0132313259041335,0.0132313259041335,0.1310032267735992,development,True,,,,,,,,,,
241118o,S1,2.0,0.067,,0.8507462686567164,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118p,S1,2.0,0.098,0.057,0.9183673469387754,False,,11.0,5.0,0.024,0.029,0.0104847508813802,0.015,0.0579225523954486,0.028,0.042,,0.087,0.015,0.0299999999999999,0.0299999999999999,0.3061224489795917,-0.042,0.042,0.4285714285714286,0.0009225523954486,0.0009225523954486,0.0094137999535577,development,True,,,,0.03665021358616514,0.041,,,,,0.16326530612244897
241118q,S1,2.0,0.081,,0.9135802469135802,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118r,S1,2.0,0.084,0.06,0.9047619047619048,False,,11.0,5.0,0.057,0.061,0.0240345984869317,0.029,0.0493192166816383,-0.001,0.0309999999999999,,0.119,0.029,0.059,0.059,0.7023809523809523,-0.0309999999999999,0.0309999999999999,0.3690476190476189,-0.0106807833183616,0.0106807833183616,0.1271521823614481,development,True,,,,0.06339241657355733,0.068,,,,,0.09523809523809532
241118s,S1,2.0,0.076,,0.8947368421052633,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118t,S1,2.0,0.066,,0.8636363636363636,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118aa,S1,1.0,0.34,0.185,0.9794117647058824,False,,11.0,5.0,0.1148934850910791,0.119,0.1789253175369613,0.183,0.013550005082202,0.066,0.002,,0.177,0.183,-0.008,0.008,0.0235294117647059,-0.002,0.002,0.0058823529411764,-0.1714499949177979,0.1714499949177979,0.5042646909346998,development,True,,0.14159807729794677,0.146,0.16126330270161496,0.166,0.146,0.03900000000000001,0.03900000000000001,0.11470588235294119,0.05588235294117643
241118ab,S1,1.0,0.197,0.088,0.9695431472081218,False,,11.0,5.0,0.0491349037056621,0.054,0.0842214038569808,0.089,0.040537665365084,0.0339999999999999,-0.001,,0.1119999999999999,0.089,0.0239999999999999,0.0239999999999999,0.1218274111675126,0.001,0.001,0.0050761421319796,-0.0474623346349159,0.0474623346349159,0.2409255565224158,development,True,,,,0.07084917489866831,0.075,,,,,0.06598984771573603
241118ad,S1,1.0,0.141,0.092,0.9503546099290782,False,,11.0,5.0,0.0192032779230921,0.024,0.0965815760316149,0.101,0.0434344702903559,0.068,-0.009,,0.0819999999999999,0.101,-0.01,0.01,0.0709219858156029,0.009,0.009,0.0638297872340426,-0.048565529709644,0.048565529709644,0.344436380919461,development,True,,,,0.06511287129738612,0.07,,,,,0.1560283687943262
241118ae,S1,1.0,0.113,0.068,0.9292035398230089,False,,11.0,5.0,0.0137837713641742,0.018,0.0722308816179978,0.077,0.0438152311853089,0.05,-0.0089999999999999,,0.076,0.077,0.0079999999999999,0.0079999999999999,0.0707964601769911,0.0089999999999999,0.0089999999999999,0.0796460176991149,-0.024184768814691,0.024184768814691,0.2140245027848764,development,True,,,,0.06364756094687302,0.068,,,,,0.0
241118af,S1,1.0,0.081,0.035,0.9135802469135802,False,,11.0,5.0,,,0.0165240563856124,0.021,0.0374757524433932,,0.014,,,0.021,,,,-0.014,0.014,0.1728395061728395,0.0024757524433932,0.0024757524433932,0.0305648449801638,development,False,missing_child_or_target,,,,,,,,,
241118ag,S1,1.0,0.089,0.055,0.9213483146067416,False,,11.0,5.0,0.0111800642545896,0.016,0.0195284661819888,0.024,0.0416976860520461,0.039,0.031,,0.074,0.024,0.0189999999999999,0.0189999999999999,0.2134831460674157,-0.031,0.031,0.348314606741573,-0.0133023139479538,0.0133023139479538,0.1494642016624026,development,True,,,,0.03602348944574126,0.041,,,,,0.15730337078651685
241118ai,S1,1.0,0.053,,0.8679245283018868,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118aj,S1,1.0,0.072,,0.888888888888889,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118ak,S1,1.0,0.073,,0.8904109589041097,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118al,S1,1.0,0.061,0.029,0.9016393442622952,False,,11.0,5.0,0.0221911103995159,0.027,0.028960574765099,0.033,0.0338577391907204,0.002,-0.004,,0.0849999999999999,0.033,0.0559999999999999,0.0559999999999999,0.9180327868852458,0.004,0.004,0.0655737704918032,0.0048577391907204,0.0048577391907204,0.0796350687003346,development,True,,,,,,,,,,
241118am,S1,1.0,0.052,,0.8846153846153847,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118an,S1,1.0,0.045,,0.8666666666666667,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241112b,S3,2.0,2.797,2.206,0.9038255273507328,False,,375.0,187.0,,,1.6445918183751909,1.649,2.0030032412407563,,0.5569999999999999,,,1.649,,,,-0.5569999999999999,0.5569999999999999,0.1991419377904897,-0.2029967587592436,0.2029967587592436,0.0725766030601514,development,False,missing_child_or_target,,,,,,,,,
241112c,S3,2.0,3.699,2.941,0.9240335225736688,False,,369.0,185.0,3.411,3.415,2.9281705115533145,2.933,2.629829779296865,-0.4740000000000002,0.008,,3.473,2.933,0.532,0.532,0.1438226547715599,-0.008,0.008,0.0021627466882941,-0.311170220703135,0.311170220703135,0.0841227955401825,development,True,,,,,,,,,,
241112d,S3,2.0,5.59,3.429,0.9543828264758496,False,,365.0,183.0,3.3856992792473823,3.39,3.245253889386851,3.25,3.622740147069905,0.0389999999999997,0.1789999999999998,,3.448,3.25,0.0190000000000001,0.0190000000000001,0.0033989266547406,-0.1789999999999998,0.1789999999999998,0.0320214669051878,0.1937401470699047,0.1937401470699047,0.0346583447352244,development,True,,3.4685834835159377,3.473,3.3946025323816666,3.399,3.473,-0.04400000000000004,0.04400000000000004,0.007871198568872995,0.00536672629695882
241112f,S3,2.0,3.241,2.451,0.9318111693921628,False,,351.0,175.0,1.5715706149373387,1.576,2.0813807256469974,2.086,2.312085293771798,0.875,0.3650000000000002,,1.634,2.086,-0.817,0.817,0.2520826905276149,-0.3650000000000002,0.3650000000000002,0.1126195618636224,-0.1389147062282019,0.1389147062282019,0.0428616804159833,development,True,,1.832814093415534,1.837,1.5827739358553705,1.587,1.837,0.6140000000000001,0.6140000000000001,0.18944770132675104,0.26658438753471153
241112g,S3,2.0,3.023,1.857,0.9318557724115116,False,,333.0,167.0,1.818007783813174,1.823,1.8884480164881627,1.893,2.1060248598345943,0.034,-0.036,,1.881,1.893,0.024,0.024,0.0079391333112801,0.036,0.036,0.0119086999669202,0.2490248598345943,0.2490248598345943,0.0823767316687377,development,True,,2.276346944554435,2.281,2.1936529620098026,2.198,2.281,-0.42400000000000015,0.42400000000000015,0.14025802183261665,0.11280185246443929
241112h,S3,2.0,2.789,2.081,0.9792040157762638,False,,323.0,161.0,1.9954893832884628,2.0,1.4848773374789443,1.489,1.785874274912666,0.0809999999999999,0.5919999999999999,,2.058,1.489,-0.0230000000000001,0.0230000000000001,0.0082466833990678,-0.5919999999999999,0.5919999999999999,0.2122624596629615,-0.295125725087334,0.295125725087334,0.1058177572919806,development,True,,2.1573242113971696,2.162,2.025347412507426,2.03,2.162,-0.08099999999999996,0.08099999999999996,0.02904266762280386,0.018286124058802495
241112l,S3,2.0,2.312,,0.9031141868512113,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241112o,S3,2.0,0.997,,0.8595787362086259,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241112q,S3,2.0,1.885,,0.9156498673740052,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241113a,S3,2.0,1.369,,0.6435354273192111,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241113b,S3,2.0,3.454,2.871,0.923277359583092,False,,473.0,237.0,2.0916245443797687,2.096,1.6486794178034965,1.653,1.9577632091206123,0.7749999999999999,1.218,,2.154,1.653,-0.7170000000000001,0.7170000000000001,0.2075854082223509,-1.218,1.218,0.3526346265199768,-0.9132367908793876,0.9132367908793876,0.2643997657438875,development,True,,2.1484108990158743,2.153,2.099839806925471,2.104,2.153,0.718,0.718,0.20787492762015053,0.22206137811233348
241113c,S3,2.0,1.65,,0.9915151515151516,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241113d,S3,2.0,2.461,,0.8423405119869972,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241113e,S3,2.0,2.108,0.184,0.978178368121442,True,target_before_causal_rate,457.0,229.0,,,,,,,,0.456,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241113f,S3,2.0,1.449,0.096,0.9599723947550034,True,target_before_causal_rate,311.0,155.0,,,,,,,,0.31,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241113h,S3,2.0,1.49,,0.7375838926174496,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118ba,S3,1.0,2.726,,0.8338224504768893,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bb,S3,1.0,1.804,,0.8170731707317073,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bc,S3,1.0,1.754,,0.7736602052451539,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bd,S3,1.0,1.48,,0.6824324324324325,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118be,S3,1.0,1.355,,0.7180811808118082,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bf,S3,1.0,1.538,,0.7555266579973992,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bg,S3,1.0,1.279,,0.7075840500390931,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bh,S3,1.0,1.051,,0.7849666983824929,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bi,S3,1.0,1.136,0.09,1.0,True,target_before_causal_rate,235.0,117.0,,,,,,,,0.234,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bj,S3,1.0,0.83,,0.674698795180723,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241118bk,S3,1.0,0.64,,0.53125,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,development,False,missing_child_or_target,,,,,,,,,
241022h,S2,2.0,1.434,0.782,0.9679218967921897,False,,37.0,19.0,0.0977024268528523,0.102,0.6107937201463228,0.615,0.6516424029357125,0.68,0.167,,0.1599999999999999,0.615,-0.6220000000000001,0.6220000000000001,0.4337517433751744,-0.167,0.167,0.1164574616457461,-0.1303575970642875,0.1303575970642875,0.0909048794032688,diagnostic,True,,0.10654282024684379,0.111,0.11433341544082808,0.119,0.111,0.671,0.671,0.4679218967921897,0.4623430962343097
241022i,S2,2.0,1.31,0.591,0.964885496183206,False,,37.0,19.0,0.143018531369028,0.148,0.5726499659339314,0.577,0.632353651660623,0.4429999999999999,0.014,,0.206,0.577,-0.385,0.385,0.2938931297709923,-0.014,0.014,0.0106870229007633,0.0413536516606229,0.0413536516606229,0.0315676730233763,diagnostic,True,,0.14912136521309943,0.154,0.17694271446661686,0.181,0.154,0.43699999999999994,0.43699999999999994,0.33358778625954194,0.3129770992366412
241022j,S2,2.0,1.209,0.61,0.966087675765095,False,,37.0,19.0,0.0636263859913323,0.068,0.6273615055231474,0.632,0.6006292873375625,0.542,-0.022,,0.126,0.632,-0.484,0.484,0.4003308519437551,0.022,0.022,0.0181968569065343,-0.0093707126624374,0.0093707126624374,0.0077507962468465,diagnostic,True,,0.18721344068648368,0.192,0.23569739427983383,0.24,0.192,0.418,0.418,0.3457402812241522,0.30603804797353185
241022k,S2,2.0,1.031,0.53,0.9573229873908828,False,,39.0,19.0,0.0431126737681525,0.048,0.5474978314301856,0.552,0.5487356461059163,0.482,-0.022,,0.106,0.552,-0.424,0.424,0.411251212415131,0.022,0.022,0.0213385063045587,0.0187356461059162,0.0187356461059162,0.0181723046614124,diagnostic,True,,0.07106086584455416,0.076,0.28454509258073163,0.289,0.076,0.454,0.454,0.440349175557711,0.2337536372453929
241022m,S2,2.0,0.801,0.456,0.9388264669163544,False,,37.0,19.0,0.1019527487808704,0.106,0.4207138441546841,0.425,0.4745363094087883,0.35,0.031,,0.1639999999999999,0.425,-0.292,0.292,0.3645443196004994,-0.031,0.031,0.0387016229712859,0.0185363094087883,0.0185363094087883,0.0231414599360653,diagnostic,True,,0.15372411216800566,0.158,0.11899978900737956,0.123,0.158,0.29800000000000004,0.29800000000000004,0.37203495630461925,0.4157303370786517
241022n,S2,2.0,0.664,0.35,0.9231927710843372,False,,41.0,21.0,0.6042412776480358,0.609,0.2689374855122775,0.273,0.409807433969639,-0.259,0.0769999999999999,,0.667,0.273,0.317,0.317,0.4774096385542169,-0.0769999999999999,0.0769999999999999,0.1159638554216866,0.059807433969639,0.059807433969639,0.0900714367012635,diagnostic,True,,,,,,,,,,
241022o,S2,2.0,0.481,,0.8835758835758836,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,diagnostic,False,missing_child_or_target,,,,,,,,,
241022p,S2,2.0,0.498,0.347,0.9036144578313252,False,,41.0,21.0,0.3598126124559917,0.364,0.2047044613751931,0.209,0.3320858649660371,-0.017,0.1379999999999999,,0.422,0.209,0.075,0.075,0.1506024096385542,-0.1379999999999999,0.1379999999999999,0.2771084337349397,-0.0149141350339628,0.0149141350339628,0.0299480623171945,diagnostic,True,,0.41010637445687187,0.415,0.3902021264953771,0.395,0.415,-0.068,0.068,0.13654618473895583,0.09638554216867479
241022q,S2,2.0,0.805,0.43,0.9391304347826086,False,,41.0,21.0,0.0982054658688339,0.103,0.4162146519131349,0.421,0.4753073418097647,0.327,0.009,,0.1609999999999999,0.421,-0.269,0.269,0.3341614906832298,-0.009,0.009,0.0111801242236024,0.0453073418097647,0.0453073418097647,0.0562824121860431,diagnostic,True,,0.10541460778711133,0.11,0.12480685131352881,0.129,0.11,0.32,0.32,0.39751552795031053,0.3739130434782608
241022s,S2,2.0,0.537,0.347,0.9087523277467412,False,,41.0,21.0,0.2764571506727599,0.281,0.3222997771804682,0.327,0.3146452113096094,0.0659999999999999,0.0199999999999999,,0.339,0.327,-0.0079999999999999,0.0079999999999999,0.0148975791433891,-0.0199999999999999,0.0199999999999999,0.0372439478584729,-0.0323547886903905,0.0323547886903905,0.0602510031478408,diagnostic,True,,0.29166345906360114,0.296,0.297847623212153,0.302,0.296,0.05099999999999999,0.05099999999999999,0.09497206703910611,0.08379888268156421
241022t,S2,2.0,0.441,,0.8979591836734694,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,diagnostic,False,missing_child_or_target,,,,,,,,,
241022u,S2,2.0,0.342,,0.8479532163742689,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,diagnostic,False,missing_child_or_target,,,,,,,,,
241022v,S2,2.0,0.196,,0.770408163265306,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,diagnostic,False,missing_child_or_target,,,,,,,,,
241111a,S2,2.0,0.453,,0.8565121412803532,True,qualification_or_target,,,,,,,,,,,,,,,,,,,,,,diagnostic,False,missing_child_or_target,,,,,,,,,
