gate,status
G1_R1_resolved_at_least_10_of_12,PASS
G2_R2_resolved_at_least_10_of_12,PASS
G3_R3_resolved_at_least_8_of_12,PASS
G4_R3_motion_at_least_1p5x_both_lower,PASS
G5_R3_global_shuffle_p_at_most_0p05,FAIL
G6_R3_within_run_shuffle_p_at_most_0p05,FAIL
T409 broad R3 centre is strictly interior,FAIL — centre hit lower boundary 1.180
T409B marked crest resolved in at least 8/12 blocks,PASS — 10/12
T409B marked crest exceeds global shuffle,FAIL — p=0.745
