global_block,block_label,run,ridge,centre,events_in_zone,peak_to_median,estimator
1,0317.0 block 1,6845.2020.0317.0,R1,0.75,54,1.4967849710875285,frozen broad-zone maximum
1,0317.0 block 1,6845.2020.0317.0,R2,1.034,49,1.5087676443254256,frozen broad-zone maximum
1,0317.0 block 1,6845.2020.0317.0,R3 marked,1.401,8,1.8940151155603002,post-hoc strictly interior local maximum
2,0317.0 block 2,6845.2020.0317.0,R1,0.796,52,1.5783023160306238,frozen broad-zone maximum
2,0317.0 block 2,6845.2020.0317.0,R2,1.032,51,1.6484730617530208,frozen broad-zone maximum
2,0317.0 block 2,6845.2020.0317.0,R3 marked,1.371,7,1.5039073150175573,post-hoc strictly interior local maximum
3,0317.0 block 3,6845.2020.0317.0,R1,0.747,49,1.2891265467318787,frozen broad-zone maximum
3,0317.0 block 3,6845.2020.0317.0,R2,0.916,43,1.2342333986605651,frozen broad-zone maximum
3,0317.0 block 3,6845.2020.0317.0,R3 marked,1.4020000000000001,9,1.3325888260831886,post-hoc strictly interior local maximum
4,0317.0 block 4,6845.2020.0317.0,R1,0.72,51,1.4327237700564355,frozen broad-zone maximum
4,0317.0 block 4,6845.2020.0317.0,R2,1.0190000000000001,37,1.1952515131956738,frozen broad-zone maximum
4,0317.0 block 4,6845.2020.0317.0,R3 marked,1.438,5,1.2972028787080616,post-hoc strictly interior local maximum
5,0317.0 block 5,6845.2020.0317.0,R1,0.743,49,1.328180323581359,frozen broad-zone maximum
5,0317.0 block 5,6845.2020.0317.0,R2,1.054,41,1.1972982287867944,frozen broad-zone maximum
6,0317.0 block 6,6845.2020.0317.0,R1,0.756,50,1.8452840078731092,frozen broad-zone maximum
6,0317.0 block 6,6845.2020.0317.0,R2,1.016,56,1.503769594052339,frozen broad-zone maximum
6,0317.0 block 6,6845.2020.0317.0,R3 marked,1.302,5,3.4227033467285546,post-hoc strictly interior local maximum
7,0318.0 block 1,6845.2020.0318.0,R1,0.625,43,1.120528537911304,frozen broad-zone maximum
7,0318.0 block 1,6845.2020.0318.0,R2,1.055,62,1.542502243511859,frozen broad-zone maximum
7,0318.0 block 1,6845.2020.0318.0,R3 marked,1.335,7,1.1273237350996403,post-hoc strictly interior local maximum
8,0318.0 block 2,6845.2020.0318.0,R1,0.744,45,1.6123314932130604,frozen broad-zone maximum
8,0318.0 block 2,6845.2020.0318.0,R2,1.057,50,2.0875170944054076,frozen broad-zone maximum
8,0318.0 block 2,6845.2020.0318.0,R3 marked,1.3980000000000001,9,2.0002349764081937,post-hoc strictly interior local maximum
9,0318.0 block 3,6845.2020.0318.0,R1,0.772,41,1.4438252684601827,frozen broad-zone maximum
9,0318.0 block 3,6845.2020.0318.0,R2,0.977,39,1.4546762585444306,frozen broad-zone maximum
9,0318.0 block 3,6845.2020.0318.0,R3 marked,1.353,7,2.109896313544825,post-hoc strictly interior local maximum
10,0318.0 block 4,6845.2020.0318.0,R1,0.8170000000000001,53,1.5742658910037248,frozen broad-zone maximum
10,0318.0 block 4,6845.2020.0318.0,R2,1.045,46,1.6810804052484896,frozen broad-zone maximum
10,0318.0 block 4,6845.2020.0318.0,R3 marked,1.413,9,2.1125308402199665,post-hoc strictly interior local maximum
11,0318.0 block 5,6845.2020.0318.0,R1,0.768,47,1.412405621928699,frozen broad-zone maximum
11,0318.0 block 5,6845.2020.0318.0,R2,1.045,47,1.595218557424587,frozen broad-zone maximum
12,0318.0 block 6,6845.2020.0318.0,R1,0.755,50,1.2780621493083417,frozen broad-zone maximum
12,0318.0 block 6,6845.2020.0318.0,R2,1.033,39,1.5915313325136184,frozen broad-zone maximum
12,0318.0 block 6,6845.2020.0318.0,R3 marked,1.34,8,1.2297728658839475,post-hoc strictly interior local maximum
