ridge,events,share_nonpole,centre,resolved_blocks,method_status
R1,584,0.40982456140350876,0.761,12,frozen primary
R2,560,0.3929824561403509,1.041,12,frozen primary
R3 marked,90,0.06315789473684211,1.395,10,post-hoc edge-capture repair
