population,ridge,zone_left,zone_right,pooled_centre,pooled_count,pooled_share,pooled_peak_to_median,resolved_blocks,motion_M,centre_range,mean_absolute_successive_movement,run_0317_centre,run_0318_centre,run_centre_shift
full_2109,R1,0.6,0.9,0.761,584,0.40982456140350876,1.382388907756673,12,0.044688802189093095,0.19200000000000006,0.04120000000000003,0.753,0.774,0.02100000000000002
full_2109,R2,0.9,1.18,1.041,560,0.3929824561403509,1.4330494149275668,12,0.04068441259956232,0.1409999999999999,0.045599999999999995,1.032,1.047,0.014999999999999902
full_2109,R3,1.18,1.55,1.18,131,0.09192982456140351,1.6939957976756166,12,0.11715149714127757,0.2330000000000001,0.12890000000000007,1.18,1.18,0.0
parent_window_527,R1,0.6,0.9,0.754,158,0.4401114206128134,1.5216026550285733,12,0.057529189068999655,0.18000000000000005,0.05689999999999999,0.721,0.764,0.04300000000000004
parent_window_527,R2,0.9,1.18,1.044,132,0.36768802228412256,1.6455613514967302,12,0.043442665106035484,0.19100000000000006,0.05359999999999998,1.033,1.051,0.018000000000000016
parent_window_527,R3,1.18,1.55,1.18,25,0.06963788300835655,1.7536060199165755,0,nan,,,1.431,1.18,-0.2510000000000001
