population,global_block,run,run_order,block,n_events,event_index_min,event_index_max,ridge,centre,count,share,peak_density,peak_to_median,resolved
parent_window_527,2,6845.2020.0317.0,1,2,45,216343,386633,R2,1.042,14,0.4117647058823529,0.11348407358888762,2.7791935619160077,True
parent_window_527,2,6845.2020.0317.0,1,2,45,216343,386633,R3,1.18,0,0.0,0.0029942455777495795,15.090813039243313,False
parent_window_527,3,6845.2020.0317.0,1,3,45,386922,575502,R1,0.767,13,0.4642857142857143,0.05322051198372649,1.2475052908410327,True
parent_window_527,3,6845.2020.0317.0,1,3,45,386922,575502,R2,1.09,7,0.25,0.048821229171824645,2.071001274512781,True
parent_window_527,3,6845.2020.0317.0,1,3,45,386922,575502,R3,1.433,3,0.10714285714285714,0.019363893111142318,2.7586011670659727,False
parent_window_527,4,6845.2020.0317.0,1,4,45,581946,751804,R1,0.72,13,0.52,0.08591385199595829,2.3302218436777253,True
parent_window_527,4,6845.2020.0317.0,1,4,45,581946,751804,R2,1.1280000000000001,7,0.28,0.03995521495125466,1.476213081644249,True
parent_window_527,4,6845.2020.0317.0,1,4,45,581946,751804,R3,1.18,2,0.08,0.01718350762425499,2.8045360203399534,False
parent_window_527,5,6845.2020.0317.0,1,5,45,767485,937153,R1,0.66,12,0.4444444444444444,0.0605765840028679,1.283289345649454,True
parent_window_527,5,6845.2020.0317.0,1,5,45,767485,937153,R2,0.937,8,0.2962962962962963,0.04111293147273144,1.367106134114093,True
parent_window_527,5,6845.2020.0317.0,1,5,45,767485,937153,R3,1.193,2,0.07407407407407407,0.011816933225766818,2.8650418503984043,False
parent_window_527,6,6845.2020.0317.0,1,6,45,939594,1174491,R1,0.749,9,0.32142857142857145,0.044051051310911075,1.361382451650335,True
parent_window_527,6,6845.2020.0317.0,1,6,45,939594,1174491,R2,1.006,12,0.42857142857142855,0.0753734853464808,2.2364916418660434,True
parent_window_527,6,6845.2020.0317.0,1,6,45,939594,1174491,R3,1.307,3,0.10714285714285714,0.022236441409710348,2.6272071992582657,False
parent_window_527,7,6845.2020.0318.0,2,1,43,1325,204635,R1,0.6,12,0.35294117647058826,0.05708742589348523,1.5855695026032346,True
parent_window_527,7,6845.2020.0318.0,2,1,43,1325,204635,R2,1.059,17,0.5,0.1064692787743047,1.8984839636242175,True
parent_window_527,7,6845.2020.0318.0,2,1,43,1325,204635,R3,1.326,2,0.058823529411764705,0.019973982671091323,3.0729283309226814,False
parent_window_527,8,6845.2020.0318.0,2,2,43,204727,428449,R1,0.743,15,0.45454545454545453,0.10491686305177042,2.4374475233637147,True
parent_window_527,8,6845.2020.0318.0,2,2,43,204727,428449,R2,1.052,13,0.3939393939393939,0.07816799831720969,1.7294131141014817,True
parent_window_527,8,6845.2020.0318.0,2,2,43,204727,428449,R3,1.18,0,0.0,0.007556626331356398,15.079873617223166,False
