global_block,run,run_order,block,n_events,event_index_min,event_index_max,centre,count,share,peak_to_median,interior_peak,resolved
1,6845.2020.0317.0,1,1,180,551,192054,1.401,8,0.06349206349206349,1.8940151155603002,True,True
2,6845.2020.0317.0,1,2,180,193988,378549,1.371,7,0.056,1.5039073150175573,True,True
3,6845.2020.0317.0,1,3,180,382717,564305,1.4020000000000001,9,0.07692307692307693,1.3325888260831886,True,True
4,6845.2020.0317.0,1,4,180,565272,776207,1.438,5,0.04424778761061947,1.2972028787080616,True,True
5,6845.2020.0317.0,1,5,180,777108,974822,1.469,12,0.10084033613445378,1.0922514597970856,True,False
6,6845.2020.0317.0,1,6,179,979862,1174491,1.302,5,0.04065040650406504,3.4227033467285546,True,True
7,6845.2020.0318.0,2,1,172,101,188922,1.335,7,0.05426356589147287,1.1273237350996403,True,True
8,6845.2020.0318.0,2,2,172,189502,404061,1.3980000000000001,9,0.07627118644067797,2.0002349764081937,True,True
9,6845.2020.0318.0,2,3,172,404727,577383,1.353,7,0.06862745098039216,2.109896313544825,True,True
10,6845.2020.0318.0,2,4,172,577613,788570,1.413,9,0.075,2.1125308402199665,True,True
11,6845.2020.0318.0,2,5,171,789026,975258,,4,0.03389830508474576,0.0,False,False
12,6845.2020.0318.0,2,6,171,975822,1170272,1.34,8,0.06956521739130435,1.2297728658839475,True,True
