ridge,zone,centre,events,share_nonpole,resolved_blocks,motion_M,global_p,reading,method_status
R1,0.60–0.90,0.761,584,0.40982456140350876,12,0.044688802189093095,0.07038592281543692,persistent; weak chronological excess,frozen primary
R2,0.90–1.18,1.041,560,0.3929824561403509,12,0.04068441259956232,0.016396720655868825,persistent; chronological displacement exceeds shuffle,frozen primary
R3 marked,1.25–1.50,1.395,90,0.06315789473684211,10,0.04060288899320582,0.7454509098180364,weak crest present; travel not resolved,post-hoc edge-capture repair
