ridge,comparison,motion_M,global_p,within_run_p,resolved_blocks
R1,observed M,0.044688802189093095,0.07038592281543692,0.0665866826634673,12
R1,global shuffle q95,0.046232870816215674,0.07038592281543692,0.0665866826634673,12
R1,within-run shuffle q95,0.04595922898625976,0.07038592281543692,0.0665866826634673,12
R2,observed M,0.04068441259956232,0.016396720655868825,0.016396720655868825,12
R2,global shuffle q95,0.03355758640552575,0.016396720655868825,0.016396720655868825,12
R2,within-run shuffle q95,0.034814643104761074,0.016396720655868825,0.016396720655868825,12
R3 marked,observed M,0.04060288899320582,0.7454509098180364,0.671865626874625,10
R3 marked,global shuffle q95,0.06316538968941993,0.7454509098180364,0.671865626874625,10
R3 marked,within-run shuffle q95,0.06317256836050834,0.7454509098180364,0.671865626874625,10
