metric,step,frequency_hz,events,median,mean,closest_target
angle,0.5_to_1,1335.05859375,720,1.1472920321677809,5.047413579088279,direct
angle,0.5_to_1,1356.591796875,720,1.1405586434759774,5.0085597203828485,direct
angle,0.5_to_1,1378.125,720,1.0490640467787522,4.863335301522981,direct
angle,0.5_to_1,1399.658203125,720,1.05703090830724,4.7826456160048005,direct
angle,0.5_to_1,1421.19140625,720,1.0436201401851593,4.731584485155379,direct
angle,0.5_to_1,1442.724609375,720,1.0641108540566566,4.749971011359621,direct
angle,0.5_to_1,1464.2578125,720,1.0125338069542098,4.697011524784886,direct
angle,0.5_to_1,1485.791015625,720,1.077441851681888,4.685656390861618,direct
angle,0.5_to_1,1507.32421875,720,1.1395846975640795,4.685532671420334,direct
angle,0.5_to_1,1528.857421875,720,1.1735271822723068,4.6735032700381165,direct
angle,0.5_to_1,1550.390625,720,1.2213561125741985,4.686130836003867,direct
angle,0.5_to_1,1571.923828125,720,1.1952064095149195,4.668208940158023,direct
angle,0.5_to_1,1593.45703125,720,1.2246775131659429,4.6102468492653905,direct
angle,0.5_to_1,1614.990234375,720,1.2000126230586403,4.521369703298606,direct
angle,0.5_to_1,1636.5234375,720,1.1822096902499786,4.515262523936614,direct
angle,0.5_to_1,1658.056640625,720,1.2832804518585348,4.554384885470583,direct
angle,0.5_to_1,1679.58984375,720,1.2402639414960874,4.577391174496325,direct
angle,0.5_to_1,1701.123046875,720,1.1525541871639835,4.501274389923058,direct
angle,0.5_to_1,1722.65625,720,1.1228838006438773,4.40433700549294,direct
angle,0.5_to_1,1744.189453125,720,1.2124908615078156,4.35258255703627,direct
angle,0.5_to_1,1765.72265625,720,1.2951810946908977,4.308994925647519,direct
angle,0.5_to_1,1787.255859375,720,1.325676490589031,4.296178966576704,direct
angle,0.5_to_1,1808.7890625,720,1.3547822591516407,4.295301161393279,direct
angle,0.5_to_1,1830.322265625,720,1.3341350017774314,4.267404802229586,direct
angle,0.5_to_1,1851.85546875,720,1.2752842593603044,4.192505196217668,direct
angle,0.5_to_1,1873.388671875,720,1.219354344827073,4.113876121643601,direct
angle,0.5_to_1,1894.921875,720,1.2270761839199316,4.056947918567932,direct
angle,0.5_to_1,1916.455078125,718,1.2309255764112308,3.9993738591904524,direct
angle,0.5_to_1,1937.98828125,720,1.1164940782727388,3.9441422398061667,direct
angle,0.5_to_1,1959.521484375,720,1.0749570659778973,3.9338446706491546,direct
angle,0.5_to_1,1981.0546875,720,1.0408152019770904,3.9034074446280647,direct
angle,0.5_to_1,2002.587890625,715,1.1012194258511905,3.9112928124087585,direct
angle,0.5_to_1,2024.12109375,720,1.1064009214734907,3.852883281782736,direct
angle,0.5_to_1,2045.654296875,720,1.0884867848451156,3.8575271737367345,direct
angle,0.5_to_1,2067.1875,720,1.1531664341603025,3.8883686494831653,direct
angle,0.5_to_1,2088.720703125,720,1.2101267873363306,3.8855694728758623,direct
angle,0.5_to_1,2110.25390625,720,1.258696001202662,3.880479070939513,direct
angle,0.5_to_1,2131.787109375,720,1.3119702741356205,3.8554485964202025,direct
angle,0.5_to_1,2153.3203125,709,1.4090253607171856,3.911799566704862,direct
angle,0.5_to_1,2174.853515625,703,1.4475484891396555,3.9628291985531976,direct
angle,0.5_to_1,2196.38671875,708,1.4749129969391326,3.9703909660283756,direct
angle,0.5_to_1,2217.919921875,716,1.426939426572377,3.9181698328182764,direct
angle,0.5_to_1,2239.453125,720,1.4090808095313592,3.916756706250108,direct
angle,0.5_to_1,2260.986328125,719,1.3926271747381072,3.9071765342248503,direct
angle,0.5_to_1,2282.51953125,718,1.4004925722493353,3.8846350336551896,direct
angle,0.5_to_1,2304.052734375,719,1.3886820759214837,3.8780219407783374,direct
angle,0.5_to_1,2325.5859375,719,1.4162528606333358,3.8520743880147865,direct
angle,0.5_to_1,2347.119140625,718,1.4712885242934106,3.8531323276958,direct
angle,0.5_to_1,2368.65234375,719,1.5734888883340274,3.9003148616837193,direct
angle,0.5_to_1,2390.185546875,719,1.6428373270256014,3.9578587048741225,direct
angle,0.5_to_1,2411.71875,719,1.7115105775100508,3.9998674889732326,direct
angle,0.5_to_1,2433.251953125,719,1.7727309253477663,4.003982119067501,direct
angle,0.5_to_1,2454.78515625,719,1.8638386139420604,4.022377005565143,direct
angle,0.5_to_1,2476.318359375,719,1.9227299297405729,4.022983482617572,direct
angle,0.5_to_1,2497.8515625,719,1.9584837713148575,4.046345457837761,direct
angle,0.5_to_1,2519.384765625,718,1.99256608035807,4.091160128407499,direct
angle,0.5_to_1,2540.91796875,719,2.045044468588585,4.1278588045291045,direct
angle,0.5_to_1,2562.451171875,719,2.0839200047857185,4.15955418955765,direct
angle,0.5_to_1,2583.984375,718,2.1076926473581,4.168104828786791,direct
angle,0.5_to_1,2605.517578125,718,2.119769113405531,4.165951215262407,direct
angle,0.5_to_1,2627.05078125,719,2.1206465841539357,4.167090635784514,direct
angle,0.5_to_1,2648.583984375,720,2.0854462185391105,4.171938543554774,direct
angle,0.5_to_1,2670.1171875,720,2.076218466689618,4.175192153046502,direct
angle,0.5_to_1,2691.650390625,718,2.0900240078263397,4.1548326394811514,direct
angle,0.5_to_1,2713.18359375,720,2.063968117454177,4.123142314310037,direct
angle,0.5_to_1,2734.716796875,719,2.0379087099991806,4.116968654290623,direct
angle,0.5_to_1,2756.25,720,2.023302095452249,4.146451065774134,direct
angle,0.5_to_1,2777.783203125,719,2.046183544967445,4.18490663133892,direct
angle,0.5_to_1,2799.31640625,720,2.091819663108766,4.219389406752166,direct
angle,0.5_to_1,2820.849609375,719,2.1087209550412735,4.227823659759316,direct
angle,0.5_to_1,2842.3828125,718,2.175781517980237,4.237256301127385,direct
angle,0.5_to_1,2863.916015625,719,2.233358683198076,4.227556882554716,direct
angle,0.5_to_1,2885.44921875,720,2.2881178084385416,4.263149883440387,direct
angle,0.5_to_1,2906.982421875,719,2.4196371901302287,4.306533900405399,direct
angle,0.5_to_1,2928.515625,719,2.5486245569211294,4.323424249264993,direct
angle,0.5_to_1,2950.048828125,720,2.581605062225367,4.329692102870077,direct
angle,0.5_to_1,2971.58203125,720,2.5643238715161165,4.342298783962495,direct
angle,0.5_to_1,2993.115234375,720,2.5944053086055745,4.3632015550288035,direct
angle,0.5_to_1,3014.6484375,720,2.6514236872069468,4.37875798519789,direct
angle,0.5_to_1,3036.181640625,720,2.701942616139995,4.377773757393246,direct
angle,0.5_to_1,3057.71484375,720,2.7447734529970136,4.354565425370747,direct
angle,0.5_to_1,3079.248046875,720,2.727835116566226,4.326140780667558,direct
angle,0.5_to_1,3100.78125,720,2.7312768492174095,4.316236199056014,direct
angle,0.5_to_1,3122.314453125,720,2.7096371717110506,4.295907160461097,direct
angle,0.5_to_1,3143.84765625,720,2.702235494772223,4.263898922848118,direct
angle,0.5_to_1,3165.380859375,720,2.6920077980002537,4.229868199592818,direct
angle,0.5_to_1,3186.9140625,720,2.6884933615833617,4.194159804474138,direct
angle,0.5_to_1,3208.447265625,720,2.702350006186754,4.180549437155706,direct
angle,0.5_to_1,3229.98046875,720,2.731176251220779,4.173834195157568,direct
angle,0.5_to_1,3251.513671875,720,2.760301411857686,4.170049718388962,direct
angle,0.5_to_1,3273.046875,720,2.7699186003087286,4.158034126520467,direct
angle,0.5_to_1,3294.580078125,720,2.752776307675793,4.131893264148091,direct
angle,0.5_to_1,3316.11328125,720,2.757420297795969,4.106826224656845,direct
angle,0.5_to_1,3337.646484375,720,2.769980170119287,4.1079819886796,direct
angle,0.5_to_1,3359.1796875,720,2.811865909808346,4.118130141606043,direct
angle,0.5_to_1,3380.712890625,720,2.8613270309785275,4.135064677396591,direct
angle,0.5_to_1,3402.24609375,720,2.9146542118078536,4.146102816611249,direct
angle,0.5_to_1,3423.779296875,720,2.94704171551946,4.159319240766462,direct
angle,0.5_to_1,3445.3125,720,2.982312412330331,4.171693238650827,direct
angle,0.5_to_1,3466.845703125,720,3.003639105207742,4.177288766658411,direct
angle,0.5_to_1,3488.37890625,720,2.991579357359168,4.179688176726834,direct
angle,0.5_to_1,3509.912109375,720,3.001537093044644,4.191207098622432,direct
angle,0.5_to_1,3531.4453125,720,3.022596147807568,4.1961655604480805,direct
angle,0.5_to_1,3552.978515625,720,3.0376011202651343,4.192024816458053,direct
angle,0.5_to_1,3574.51171875,720,3.03288371857213,4.173913252591135,direct
angle,0.5_to_1,3596.044921875,720,3.0028532451595398,4.160549505502224,direct
angle,0.5_to_1,3617.578125,720,3.0006410948796987,4.154321649315002,direct
angle,0.5_to_1,3639.111328125,720,2.975654609594588,4.1611291937725206,direct
angle,0.5_to_1,3660.64453125,720,2.9788027284947862,4.156097537353578,direct
angle,0.5_to_1,3682.177734375,720,2.9715041424003767,4.128771139567924,direct
angle,0.5_to_1,3703.7109375,720,2.899562082151531,4.088185094755231,direct
angle,0.5_to_1,3725.244140625,720,2.833604464912269,4.049070623020151,direct
angle,0.5_to_1,3746.77734375,720,2.8119320206184835,4.0380513395543565,direct
angle,0.5_to_1,3768.310546875,720,2.7839656926545553,4.038479462560998,direct
angle,0.5_to_1,3789.84375,720,2.7682423873405444,4.03463532674476,direct
angle,0.5_to_1,3811.376953125,720,2.7712663652684464,4.028931106238881,direct
angle,0.5_to_1,3832.91015625,720,2.774863919842846,4.026205993214287,direct
angle,0.5_to_1,3854.443359375,720,2.78971899655253,4.02826434816408,direct
angle,0.5_to_1,3875.9765625,720,2.7809182948432687,4.021911190887206,direct
angle,0.5_to_1,3897.509765625,720,2.781313365934582,4.022500851752158,direct
angle,0.5_to_1,3919.04296875,720,2.7838872149309504,4.023673296225708,direct
angle,0.5_to_1,3940.576171875,720,2.77014609619287,4.031457984476783,direct
angle,0.5_to_1,3962.109375,720,2.766237255470669,4.029597288506231,direct
angle,0.5_to_1,3983.642578125,720,2.8009420709810344,4.038637733514705,direct
angle,0.5_to_1,4005.17578125,720,2.807595081099081,4.0424374430598515,direct
angle,0.5_to_1,4026.708984375,720,2.833138786857371,4.053201257037255,direct
angle,0.5_to_1,4048.2421875,720,2.8815528706614746,4.0604328844616155,direct
angle,0.5_to_1,4069.775390625,720,2.955784278038398,4.0664210418841105,direct
angle,0.5_to_1,4091.30859375,720,2.957301528731277,4.063118252941267,direct
angle,0.5_to_1,4112.841796875,720,2.9174993904993105,4.047754550948525,direct
angle,0.5_to_1,4134.375,720,2.861377720408057,4.021915207669551,direct
angle,0.5_to_1,4155.908203125,720,2.8337838057422275,3.999822535088012,direct
angle,0.5_to_1,4177.44140625,720,2.847405778461496,3.989924656806814,direct
angle,0.5_to_1,4198.974609375,720,2.8775184514960404,3.9867093174682684,direct
angle,0.5_to_1,4220.5078125,720,2.8899670461887865,3.981146969484447,direct
angle,0.5_to_1,4242.041015625,720,2.879970182363948,3.9643451605083238,direct
angle,0.5_to_1,4263.57421875,720,2.888798705879908,3.9523926527434647,direct
angle,0.5_to_1,4285.107421875,720,2.893802060957959,3.941652458784588,direct
angle,0.5_to_1,4306.640625,720,2.899966940965469,3.922027002286879,direct
angle,0.5_to_1,4328.173828125,720,2.866338240630103,3.902327638300709,direct
angle,0.5_to_1,4349.70703125,720,2.8503926252458056,3.895971304136859,direct
angle,0.5_to_1,4371.240234375,720,2.844888747203048,3.8992522703994412,direct
angle,0.5_to_1,4392.7734375,720,2.8399626281521497,3.8867802848427306,direct
angle,0.5_to_1,4414.306640625,720,2.841400330657014,3.8860170431315018,direct
angle,0.5_to_1,4435.83984375,720,2.847443400223474,3.878703528299296,direct
angle,0.5_to_1,4457.373046875,720,2.849354898772199,3.883390181239726,direct
angle,0.5_to_1,4478.90625,720,2.8698408803073914,3.8925654828962992,direct
angle,0.5_to_1,4500.439453125,720,2.8835269622434336,3.907903340941746,direct
angle,0.5_to_1,4521.97265625,720,2.8934852798391217,3.899456975877614,direct
angle,0.5_to_1,4543.505859375,720,2.898918995918568,3.8796645543110206,direct
angle,0.5_to_1,4565.0390625,720,2.9144667661638843,3.8715985166894558,direct
angle,0.5_to_1,4586.572265625,720,2.926270104009668,3.880063601044321,direct
angle,0.5_to_1,4608.10546875,720,2.955951578953915,3.8866536107330965,direct
angle,0.5_to_1,4629.638671875,720,2.967014304952209,3.8792152995102116,direct
angle,0.5_to_1,4651.171875,720,2.993804965045633,3.8694611466344933,direct
angle,0.5_to_1,4672.705078125,720,3.0211687768047297,3.8640856833865858,direct
angle,0.5_to_1,4694.23828125,720,3.056499335000431,3.8594283758078367,direct
angle,0.5_to_1,4715.771484375,720,3.0544548379935037,3.8421212871272714,direct
angle,0.5_to_1,4737.3046875,720,2.985117971881073,3.8232250871168274,direct
angle,0.5_to_1,4758.837890625,720,2.956486013188294,3.802071628858779,direct
angle,0.5_to_1,4780.37109375,720,2.9468289566549943,3.783726611465883,direct
angle,0.5_to_1,4801.904296875,720,2.963263959691332,3.767803598050726,direct
angle,0.5_to_1,4823.4375,720,2.962403179725328,3.7493293740946556,direct
angle,0.5_to_1,4844.970703125,720,2.9741232838457607,3.7325592763322497,direct
angle,0.5_to_1,4866.50390625,720,2.9572773236932153,3.7199419560333364,direct
angle,0.5_to_1,4888.037109375,720,2.962906953818334,3.7201824572626316,direct
angle,0.5_to_1,4909.5703125,720,2.9409488857886954,3.7163269838900947,direct
angle,0.5_to_1,4931.103515625,720,2.948510845326761,3.7009823984641423,direct
angle,0.5_to_1,4952.63671875,720,2.916895690275183,3.679502429690997,direct
angle,0.5_to_1,4974.169921875,720,2.9203007606265245,3.671310656447247,direct
angle,0.5_to_1,4995.703125,720,2.9257160245189358,3.670673458260449,direct
angle,0.5_to_1,5017.236328125,720,2.946966675783636,3.6712973327040093,direct
angle,0.5_to_1,5038.76953125,720,2.9339627433828026,3.670284178582859,direct
angle,0.5_to_1,5060.302734375,720,2.9500815156368563,3.673217815879395,direct
angle,0.5_to_1,5081.8359375,720,2.9629188425629245,3.684627761225188,direct
angle,0.5_to_1,5103.369140625,719,2.982256312691481,3.6933260246850277,direct
angle,0.5_to_1,5124.90234375,720,3.0113549084739915,3.6911582164481653,direct
angle,0.5_to_1,5146.435546875,720,3.0218290213318184,3.677113825815037,direct
angle,0.5_to_1,5167.96875,720,3.01315240930545,3.6732407506710225,direct
angle,0.5_to_1,5189.501953125,719,3.000473697357914,3.675129506945912,direct
angle,0.5_to_1,5211.03515625,720,3.010138613998387,3.663358801493967,direct
angle,0.5_to_1,5232.568359375,718,2.9876744550125913,3.6575582483042317,direct
angle,0.5_to_1,5254.1015625,719,3.0223984457577036,3.6501305993185107,direct
angle,0.5_to_1,5275.634765625,720,3.022871492580065,3.6468974094916318,direct
angle,0.5_to_1,5297.16796875,720,3.0050776166030913,3.6390684135086504,direct
angle,0.5_to_1,5318.701171875,719,2.9974341263691184,3.6343092409974775,direct
angle,0.5_to_1,5340.234375,720,3.0028486246015444,3.6240014484399112,direct
angle,0.5_to_1,5361.767578125,719,3.011526697480742,3.623604536522827,direct
angle,0.5_to_1,5383.30078125,720,3.0372946384163613,3.6118379989875224,direct
angle,0.5_to_1,5404.833984375,720,3.0397857871879364,3.597717460685595,direct
angle,0.5_to_1,5426.3671875,720,3.0532467399857017,3.5876380481421437,direct
angle,0.5_to_1,5447.900390625,720,3.0512765921294696,3.5789075299692223,direct
angle,0.5_to_1,5469.43359375,720,3.0361834644288908,3.5820623526569637,direct
angle,0.5_to_1,5490.966796875,720,3.04566423900566,3.5862839094129653,direct
angle,0.5_to_1,5512.5,720,3.032439561450047,3.590682702210378,direct
angle,0.5_to_1,5534.033203125,720,3.0398004917921777,3.578451503774644,direct
angle,0.5_to_1,5555.56640625,718,3.040449707581715,3.5700977597976666,direct
angle,0.5_to_1,5577.099609375,719,3.039884506808618,3.565774000456786,direct
angle,0.5_to_1,5598.6328125,720,3.0390921325589924,3.578317718726083,direct
angle,0.5_to_1,5620.166015625,720,3.036272973700407,3.5738789528359245,direct
angle,0.5_to_1,5641.69921875,719,2.997952373013621,3.569415916410548,direct
angle,0.5_to_1,5663.232421875,720,2.9766439283568564,3.561969574667297,direct
angle,0.5_to_1,5684.765625,719,2.958374951319753,3.5680836858375367,direct
angle,0.5_to_1,5706.298828125,720,2.929397512454167,3.57065322664903,direct
angle,0.5_to_1,5727.83203125,720,2.920702551459609,3.570950060701394,direct
angle,0.5_to_1,5749.365234375,720,2.9102857460409,3.5699471351045657,direct
angle,0.5_to_1,5770.8984375,720,2.910817973615547,3.564370088700343,direct
angle,0.5_to_1,5792.431640625,720,2.916892047642586,3.557037715585081,direct
angle,0.5_to_1,5813.96484375,720,2.9299126106187128,3.556915055741322,direct
angle,0.5_to_1,5835.498046875,720,2.92860842010988,3.5548577272798645,direct
angle,0.5_to_1,5857.03125,720,2.9336290053990464,3.5514564485201894,direct
angle,0.5_to_1,5878.564453125,720,2.922394742611999,3.5469100555987323,direct
angle,0.5_to_1,5900.09765625,720,2.9067346891129024,3.5426785670568153,direct
angle,0.5_to_1,5921.630859375,720,2.906870844741562,3.5415780634740712,direct
angle,0.5_to_1,5943.1640625,720,2.9014696788992413,3.5359592641051387,direct
angle,0.5_to_1,5964.697265625,720,2.9246513649351598,3.5220778512228454,direct
angle,0.5_to_1,5986.23046875,720,2.8933795321541647,3.516418221474517,direct
angle,0.5_to_1,6007.763671875,720,2.9229544547402995,3.5070428208358364,direct
angle,0.5_to_1,6029.296875,720,2.9316235627194773,3.500997649704075,direct
angle,0.5_to_1,6050.830078125,720,2.9306642143370887,3.4954182877207156,direct
angle,0.5_to_1,6072.36328125,720,2.9326978795386496,3.4916915404794135,direct
angle,0.5_to_1,6093.896484375,720,2.915431426887457,3.4865085848124697,direct
angle,0.5_to_1,6115.4296875,720,2.8877351501012045,3.4834577248377685,direct
angle,0.5_to_1,6136.962890625,720,2.8982683744333757,3.4946421648285266,direct
angle,0.5_to_1,6158.49609375,720,2.888592416042282,3.4834476884583903,direct
angle,0.5_to_1,6180.029296875,720,2.8904335358666113,3.493039622418868,direct
angle,0.5_to_1,6201.5625,720,2.882407781604857,3.4821828455367507,direct
angle,0.5_to_1,6223.095703125,720,2.9038711686842893,3.4907745125966776,direct
angle,0.5_to_1,6244.62890625,720,2.8829380405665233,3.4859189156982433,direct
angle,0.5_to_1,6266.162109375,720,2.8759371347557874,3.4908468844970875,direct
angle,0.5_to_1,6287.6953125,720,2.8493612332034273,3.484299321070649,direct
angle,0.5_to_1,6309.228515625,720,2.863593452176663,3.504193407685881,direct
angle,0.5_to_1,6330.76171875,720,2.852385886331737,3.5023663163388714,direct
angle,0.5_to_1,6352.294921875,720,2.848830058455445,3.4986755635549684,direct
angle,0.5_to_1,6373.828125,719,2.8620229401139965,3.5085770394076268,direct
angle,0.5_to_1,6395.361328125,720,2.85254773923805,3.5033775937584726,direct
angle,0.5_to_1,6416.89453125,720,2.8448876677280204,3.51118436778379,direct
angle,0.5_to_1,6438.427734375,720,2.8285760279967067,3.4998248891888295,direct
angle,0.5_to_1,6459.9609375,720,2.8609268550712885,3.5020022071135486,direct
angle,0.5_to_1,6481.494140625,719,2.859757604208126,3.488634780729802,direct
angle,0.5_to_1,6503.02734375,720,2.8663234248503664,3.482543915564218,direct
angle,0.5_to_1,6524.560546875,719,2.900909233429371,3.489744520377837,direct
angle,0.5_to_1,6546.09375,720,2.8577097625308356,3.4825640380538667,direct
angle,0.5_to_1,6567.626953125,720,2.8768316259627285,3.475339209292342,direct
angle,0.5_to_1,6589.16015625,718,2.9332813212513553,3.484614287146823,direct
angle,0.5_to_1,6610.693359375,719,2.9286459142053203,3.4737726233964765,direct
angle,0.5_to_1,6632.2265625,719,3.0327379409332327,3.4802391638532804,direct
angle,0.5_to_1,6653.759765625,719,2.9684157338394117,3.4844828471326124,direct
angle,0.5_to_1,6675.29296875,720,2.982563349801225,3.4787978883794355,direct
angle,0.5_to_1,6696.826171875,720,2.991181144247615,3.4860285476570008,direct
angle,0.5_to_1,6718.359375,720,3.0398455686919923,3.481092840953627,direct
angle,0.5_to_1,6739.892578125,720,3.016279250933872,3.484796503948394,direct
angle,0.5_to_1,6761.42578125,718,2.983048996196585,3.494450068012922,direct
angle,0.5_to_1,6782.958984375,720,2.9908025601110797,3.499382338865995,direct
angle,0.5_to_1,6804.4921875,718,3.0074322243734644,3.5020614887094452,direct
angle,0.5_to_1,6826.025390625,720,3.063078887006916,3.498565270032646,direct
angle,0.5_to_1,6847.55859375,720,3.0127156428270574,3.495521733703275,direct
angle,0.5_to_1,6869.091796875,720,3.026457911263231,3.5011544029037953,direct
angle,0.5_to_1,6890.625,719,2.983424172323388,3.5060445759402397,direct
angle,0.5_to_1,6912.158203125,718,2.9574395534013656,3.5072016354823337,direct
angle,0.5_to_1,6933.69140625,719,2.9755542141440086,3.5120779852855386,direct
angle,0.5_to_1,6955.224609375,720,2.9655516389493553,3.5030609024155863,direct
angle,0.5_to_1,6976.7578125,719,2.964411596637184,3.5049262141634263,direct
angle,0.5_to_1,6998.291015625,719,2.974114290685636,3.5121376892228415,direct
angle,0.5_to_1,7019.82421875,720,2.971181163338497,3.494476772868676,direct
angle,0.5_to_1,7041.357421875,720,3.0159495978325563,3.480038513287168,direct
angle,0.5_to_1,7062.890625,720,3.0404385047106004,3.4823340357564776,direct
angle,0.5_to_1,7084.423828125,720,3.0357689146752174,3.479472864481766,direct
angle,0.5_to_1,7105.95703125,720,3.0413962172557207,3.486044028410965,direct
angle,0.5_to_1,7127.490234375,720,3.0066093020541818,3.488388401966263,direct
angle,0.5_to_1,7149.0234375,718,3.073327240321018,3.4834327176869673,direct
angle,0.5_to_1,7170.556640625,719,3.0570570782028197,3.4731604480267673,direct
angle,0.5_to_1,7192.08984375,718,3.076489130890817,3.4908399410672355,direct
angle,0.5_to_1,7213.623046875,718,3.0776894217110167,3.4912272854068713,direct
angle,0.5_to_1,7235.15625,718,3.0897079515741996,3.485072246766874,direct
angle,0.5_to_1,7256.689453125,718,3.0770387415201395,3.4888803934581736,direct
angle,0.5_to_1,7278.22265625,720,3.07173911152934,3.4894017076385695,direct
angle,0.5_to_1,7299.755859375,720,3.0501399968131735,3.479145943765668,direct
angle,0.5_to_1,7321.2890625,720,3.034317656227551,3.4782167625044647,direct
angle,0.5_to_1,7342.822265625,720,3.023292436153225,3.474301235880739,direct
angle,0.5_to_1,7364.35546875,720,3.0050908727726457,3.4795757993194685,direct
angle,0.5_to_1,7385.888671875,720,2.99332485324323,3.4689107642491672,direct
angle,0.5_to_1,7407.421875,720,2.9691865049655313,3.4595789181813954,direct
angle,0.5_to_1,7428.955078125,720,2.9465061201003873,3.4429720197269362,direct
angle,0.5_to_1,7450.48828125,717,2.936954986783051,3.4543848927840797,direct
angle,0.5_to_1,7472.021484375,719,2.9416596837422846,3.4530255061589727,direct
angle,0.5_to_1,7493.5546875,719,2.944662428266289,3.456853174042618,direct
angle,0.5_to_1,7515.087890625,720,2.9336884191675896,3.4402971424825117,direct
angle,0.5_to_1,7536.62109375,720,2.92043812908821,3.4354315759595706,direct
angle,0.5_to_1,7558.154296875,719,2.9096729963573047,3.426341298364658,direct
angle,0.5_to_1,7579.6875,718,2.8923518985805474,3.436802956723639,direct
angle,0.5_to_1,7601.220703125,720,2.899438262236271,3.4231687055848323,direct
angle,0.5_to_1,7622.75390625,716,2.8903683625944128,3.43029568584478,direct
angle,0.5_to_1,7644.287109375,716,2.9021604943223176,3.425961186523958,direct
angle,0.5_to_1,7665.8203125,716,2.910603848991392,3.428946305350024,direct
angle,0.5_to_1,7687.353515625,717,2.9177889836090625,3.4346795233954115,direct
angle,0.5_to_1,7708.88671875,718,2.931484857867555,3.4301457527168955,direct
angle,0.5_to_1,7730.419921875,719,2.942226915175026,3.4197442886829945,direct
angle,0.5_to_1,7751.953125,717,2.9484406956197535,3.4301345310412854,direct
angle,0.5_to_1,7773.486328125,717,2.9393454865751676,3.4286905347336574,direct
angle,0.5_to_1,7795.01953125,717,2.951130557106729,3.4299997397409956,direct
angle,0.5_to_1,7816.552734375,713,2.9492569196047054,3.4338027211658835,direct
angle,0.5_to_1,7838.0859375,716,2.945682744035776,3.42451298324327,direct
angle,0.5_to_1,7859.619140625,716,2.95351671235789,3.4215570573361083,direct
angle,0.5_to_1,7881.15234375,716,2.9594722462893523,3.4196285160588165,direct
angle,0.5_to_1,7902.685546875,717,2.947563507228736,3.428239701858257,direct
angle,0.5_to_1,7924.21875,717,2.952164417827972,3.4249996938914733,direct
angle,0.5_to_1,7945.751953125,706,2.942112401150154,3.4290639013315407,direct
angle,0.5_to_1,7967.28515625,712,2.9215845288876374,3.437300440725373,direct
angle,0.5_to_1,7988.818359375,715,2.9141735545069247,3.423561107813283,direct
angle,1_to_2,516.796875,455,0.6117630532795174,16.637070991702977,direct
angle,1_to_2,538.330078125,384,27.33785955882456,19.132939863093835,thirty
