metric,step,frequency_hz,events,median,mean,closest_target
angle,0.5_to_1,516.796875,360,0.42003282964845456,15.914992959054675,direct
angle,0.5_to_1,538.330078125,537,0.6159100008477612,10.696779897436926,direct
angle,0.5_to_1,559.86328125,688,0.9778811551201382,8.539045797084759,direct
angle,0.5_to_1,581.396484375,588,1.009692998069999,9.690227336301648,direct
angle,0.5_to_1,602.9296875,700,1.0957878634980496,8.285457168505337,direct
angle,0.5_to_1,624.462890625,720,0.9363105806555614,7.852657472895598,direct
angle,0.5_to_1,645.99609375,623,0.5907778439642599,8.46520472958041,direct
angle,0.5_to_1,667.529296875,687,0.8638572579419901,7.763044083275967,direct
angle,0.5_to_1,689.0625,696,0.9732519139220543,7.572847919887555,direct
angle,0.5_to_1,710.595703125,709,0.7554105099666936,7.2741220409313385,direct
angle,0.5_to_1,732.12890625,663,0.7175413006321404,7.555932628114122,direct
angle,0.5_to_1,753.662109375,697,0.7689119057691592,7.03203433242246,direct
angle,0.5_to_1,775.1953125,687,0.8673535546199135,7.017999740479635,direct
angle,0.5_to_1,796.728515625,687,0.8229504356627481,6.89996467515976,direct
angle,0.5_to_1,818.26171875,710,0.825602067321872,6.532460402384669,direct
angle,0.5_to_1,839.794921875,720,0.8273281778251772,6.466106601360166,direct
angle,0.5_to_1,861.328125,715,0.8964091277040535,6.401008033970803,direct
angle,0.5_to_1,882.861328125,700,0.8052183102065578,6.334574323345543,direct
angle,0.5_to_1,904.39453125,696,0.69866937543686,6.155310060871534,direct
angle,0.5_to_1,925.927734375,715,0.6911698682003602,5.9799028357262465,direct
angle,0.5_to_1,947.4609375,720,0.8865725001004827,5.974669575640663,direct
angle,0.5_to_1,968.994140625,720,1.027111400419293,6.056385245348199,direct
angle,0.5_to_1,990.52734375,720,1.144096789458494,6.011465624720111,direct
angle,0.5_to_1,1012.060546875,720,0.9186553768167544,5.8320133693648435,direct
angle,0.5_to_1,1033.59375,720,0.8740627008428612,5.724362936504331,direct
angle,0.5_to_1,1055.126953125,699,0.9516896774777623,5.809581970948613,direct
angle,0.5_to_1,1076.66015625,720,1.1606643004147847,5.853241909881101,direct
angle,0.5_to_1,1098.193359375,720,1.2386725647445842,5.84350320838556,direct
angle,0.5_to_1,1119.7265625,720,1.3169173025771856,5.847174746002272,direct
angle,0.5_to_1,1141.259765625,720,1.3060193325749707,5.720336327280159,direct
angle,0.5_to_1,1162.79296875,720,1.308657815621737,5.647598151381687,direct
angle,0.5_to_1,1184.326171875,720,1.3718663991276014,5.662143227195728,direct
angle,0.5_to_1,1205.859375,720,1.345602265560128,5.62902106144523,direct
angle,0.5_to_1,1227.392578125,720,1.3150487411775158,5.457214295600376,direct
angle,0.5_to_1,1248.92578125,720,1.169743460965763,5.288699857516809,direct
angle,0.5_to_1,1270.458984375,720,0.964828586904233,5.113285495181746,direct
angle,0.5_to_1,1291.9921875,720,0.9970162088424718,5.052845663204222,direct
angle,0.5_to_1,1313.525390625,720,1.0267100406489442,5.008386408963567,direct
