dataset,lower_bin,lower_frequency_hz,upper_frequency_hz,events,mean_theta_deg,median_theta_deg,median_ara_x,closest_target
NH2,2,375.0,750.0,2946,63.45121127026984,70.79879817868364,0.6577729113169704,ridge_half
NH2,3,562.5,1125.0,2953,63.50635772237137,67.29288996004001,0.772041040864089,ridge_half
NH2,4,750.0,1500.0,3100,60.01078194221178,63.8204621571525,0.8823707698712915,ridge_half
NH2,5,937.5,1875.0,3097,59.80897471324714,60.89334930673034,0.9728736031280869,ridge_half
NH2,6,1125.0,2250.0,3072,61.88362280770176,61.77585368718245,0.9458442657167077,ridge_half
NH2,7,1312.5,2625.0,3094,62.62549816812947,61.659929730518755,0.9494077240623953,ridge_half
NH2,8,1500.0,3000.0,3093,62.10431283571592,60.35715875591231,0.989183735718835,ridge_half
NH2,9,1687.5,3375.0,3095,61.487371560317285,60.440751174697425,0.9866466404793158,ridge_half
NH2,10,1875.0,3750.0,3100,60.45574022398311,59.559506597315526,1.0132864267147075,ridge_half
NH2,11,2062.5,4125.0,3100,59.30025899847072,59.024901975641185,1.0293309659387293,ridge_half
NH2,12,2250.0,4500.0,3100,58.179127664199044,57.790464526071375,1.066034193334996,ridge_half
NH2,13,2437.5,4875.0,3100,57.37996225727136,57.037693181618216,1.0881743617000397,ridge_half
NH2,14,2625.0,5250.0,3099,56.60182017461412,56.107831999563636,1.1152632918420466,phi_complement
NH2,15,2812.5,5625.0,3098,55.84390239021399,55.30827118853738,1.1383216662689322,phi_complement
NH2,16,3000.0,6000.0,3097,55.265985078416286,54.88359430234338,1.1504789841836616,phi_complement
NH2,17,3187.5,6375.0,3099,54.77880962448718,54.51915196921909,1.1608615860292688,phi_complement
NH2,18,3375.0,6750.0,3095,54.21096279976039,53.80777877811472,1.180992209952948,phi_complement
NH2,19,3562.5,7125.0,3100,53.866659014050526,53.48710703129122,1.190007318765073,phi_complement
NH2,20,3750.0,7500.0,3100,53.59535255941383,53.157492254312125,1.199234992433213,phi_complement
NH2,21,3937.5,7875.0,3100,53.365504902094486,52.8287641369588,1.2083983152733393,phi_complement
NH2,22,4125.0,8250.0,3097,53.11162362303487,52.80723640542959,1.2089970180563017,phi_complement
NH2,23,4312.5,8625.0,3099,52.976025828145964,52.77391618739108,1.209923342355643,phi_complement
NH2,24,4500.0,9000.0,3098,52.85373473688603,52.770732181940495,1.2100118381494902,phi_complement
NH2,25,4687.5,9375.0,3099,52.65742794438914,52.79007727165886,1.2094741045109882,phi_complement
NH2,26,4875.0,9750.0,3099,52.49871808202088,52.61560459463845,1.2143189142853514,phi_complement
NH2,27,5062.5,10125.0,3098,52.356817916721496,52.538200305931156,1.2164646966349917,phi_complement
NH2,28,5250.0,10500.0,3098,52.23298540370097,52.3986063264597,1.220328871016237,phi_complement
NH2,29,5437.5,10875.0,3100,52.08355856991694,52.29243242918169,1.2232630771997282,phi_complement
NH2,30,5625.0,11250.0,3097,52.00231591339498,52.1512629782687,1.227157909349432,phi_complement
NH2,31,5812.5,11625.0,3097,51.89654505786314,52.082620736857244,1.229049042106042,phi_complement
NH2,32,6000.0,12000.0,3097,51.745825633237445,51.866783946021194,1.23498396175687,phi_complement
NH2,33,6187.5,12375.0,3100,51.57780633225305,51.58550220993988,1.2426921232300594,phi_complement
NH2,34,6375.0,12750.0,3099,51.32618873852979,51.258953541342066,1.2516031858967074,phi_complement
NH2,35,6562.5,13125.0,3098,51.10329414803535,50.975280179898135,1.259311251406246,phi_complement
NH2,36,6750.0,13500.0,3094,50.86081297553923,50.693976995915804,1.2669244322398527,phi_complement
NH2,37,6937.5,13875.0,3090,50.5416194340266,50.35812089387324,1.2759740186919073,phi_complement
NH2,38,7125.0,14250.0,3099,50.263676230591116,50.134796361780225,1.2819672108168492,phi_complement
NH2,39,7312.5,14625.0,3097,49.95138894253815,49.87118026693947,1.2890166062753168,phi_complement
NH2,40,7500.0,15000.0,3099,49.580018293994534,49.48025755087589,1.299420046833646,pure_delay
NH2,41,7687.5,15375.0,3098,49.0939710860164,49.011580274533195,1.3118129565610346,pure_delay
NH2,42,7875.0,15750.0,3100,48.4734841205849,48.31850455329826,1.329978363132307,pure_delay
NH2,43,8062.5,16125.0,3097,47.802300950421404,47.609596626344704,1.348357384454609,pure_delay
NH2,44,8250.0,16500.0,3097,46.949125247458845,46.67726802759164,1.3722140823143667,pure_delay
NH2,45,8437.5,16875.0,3098,46.03659957668078,45.76446839766973,1.395219112226616,pure_delay
NH2,46,8625.0,17250.0,3094,45.045678311394234,44.837891772648234,1.4182091623950668,pure_delay
NH2,47,8812.5,17625.0,3088,43.763656289937344,43.49163214062064,1.4509497901894624,pure_delay
NH2,48,9000.0,18000.0,3095,41.92524918380956,41.70928375507959,1.4930607676356893,pure_delay
NH2,49,9187.5,18375.0,3043,41.05081032821681,40.96128725189533,1.5103053679743972,pure_delay
NH2,50,9375.0,18750.0,2917,39.750796737947454,39.67579505955943,1.5393386752378395,phi
NH2,51,9562.5,19125.0,2743,38.58561147453621,38.4368330588876,1.5665879710050996,phi
NH2,52,9750.0,19500.0,2524,37.42892395895022,37.16663672599751,1.5937636796730135,phi
NH2,53,9937.5,19875.0,2229,36.47541628548796,36.00396482013605,1.6179526363779133,phi
NH2,54,10125.0,20250.0,1834,35.62568667593932,34.99032508858842,1.6384977712203028,phi
NH2,55,10312.5,20625.0,1368,34.602868492463315,33.98562859818391,1.6583556155182195,phi
NH2,56,10500.0,21000.0,863,33.32195122579294,32.70973872049281,1.6828378873272423,thirty
NH2,57,10687.5,21375.0,378,32.14221033050907,31.316368547254044,1.7086207349825933,thirty
NH2,58,10875.0,21750.0,8,32.2915954791071,31.27901011674104,1.7092966427521956,thirty
NH4,2,375.0,750.0,2992,61.26914491760801,69.56559191867622,0.6982696969596132,ridge_half
NH4,3,562.5,1125.0,2983,62.494389994781244,65.79422521641351,0.8200299268440447,ridge_half
NH4,4,750.0,1500.0,3100,57.517510331287994,61.66816088946131,0.9491548259217574,ridge_half
NH4,5,937.5,1875.0,3100,58.97434293094645,59.99928785922164,1.0000215266316819,ridge_half
NH4,6,1125.0,2250.0,3085,60.76055577246274,60.39274483190603,0.9881039275707616,ridge_half
NH4,7,1312.5,2625.0,3092,61.40140881649091,60.230218915158424,0.9930324298331628,ridge_half
NH4,8,1500.0,3000.0,3089,61.20972972300301,59.66870767967871,1.0099981909924967,ridge_half
NH4,9,1687.5,3375.0,3097,60.638623180629374,59.18634040397953,1.0244952611740268,ridge_half
NH4,10,1875.0,3750.0,3098,59.60032620300837,58.78247535808926,1.036577217947157,ridge_half
NH4,11,2062.5,4125.0,3100,58.578336304458425,58.19286732151315,1.0541231869098118,ridge_half
NH4,12,2250.0,4500.0,3100,57.51669754730836,57.2201419581247,1.0828253621659822,ridge_half
NH4,13,2437.5,4875.0,3100,56.74647056488062,56.4681921625873,1.1047996660299548,phi_complement
NH4,14,2625.0,5250.0,3100,56.06302880485503,55.69409815510698,1.1272222788796133,phi_complement
NH4,15,2812.5,5625.0,3097,55.471239143646606,55.18835809157413,1.1417608098173615,phi_complement
NH4,16,3000.0,6000.0,3094,55.013344918702245,55.01556089236959,1.1467078853478276,phi_complement
NH4,17,3187.5,6375.0,3099,54.73641415954437,54.91615053570226,1.1495492182809381,phi_complement
NH4,18,3375.0,6750.0,3099,54.4304201091561,54.65847209389433,1.1568980160128775,phi_complement
NH4,19,3562.5,7125.0,3098,54.26298059301479,54.29831788708347,1.1671301050425682,phi_complement
NH4,20,3750.0,7500.0,3093,53.98893408772531,54.21584366683882,1.1694667477815957,phi_complement
NH4,21,3937.5,7875.0,3098,53.91697164405907,54.04598635373165,1.1742714685000988,phi_complement
NH4,22,4125.0,8250.0,3100,53.76895106060678,53.765347255529406,1.1821872255331245,phi_complement
NH4,23,4312.5,8625.0,3098,53.60334468245632,53.62673740197904,1.1860864269735445,phi_complement
NH4,24,4500.0,9000.0,3099,53.45680289624697,53.30566106816869,1.1950918503886576,phi_complement
NH4,25,4687.5,9375.0,3099,53.30003630203761,53.13560620753645,1.1998462978828224,phi_complement
NH4,26,4875.0,9750.0,3100,53.18377048228084,52.97250816234521,1.2043963150177637,phi_complement
NH4,27,5062.5,10125.0,3100,53.106345441260316,52.936490377291946,1.2053998046018322,phi_complement
NH4,28,5250.0,10500.0,3099,53.04981756401851,52.74143738909267,1.2108258808034047,phi_complement
NH4,29,5437.5,10875.0,3095,52.91424742303305,52.64158599579503,1.2135981673779699,phi_complement
NH4,30,5625.0,11250.0,3095,52.72995716958584,52.52651957862958,1.2167883141506513,phi_complement
NH4,31,5812.5,11625.0,3097,52.48023107092176,52.331208611051004,1.22219195111216,phi_complement
NH4,32,6000.0,12000.0,3090,52.15937018927246,52.08455181659621,1.2289958621665464,phi_complement
NH4,33,6187.5,12375.0,3097,51.92816463236078,51.82408781908303,1.2361559144857959,phi_complement
NH4,34,6375.0,12750.0,3097,51.67707921754927,51.58055864983803,1.2428273278170172,phi_complement
NH4,35,6562.5,13125.0,3095,51.431046029341445,51.40305546656452,1.2476758378725123,phi_complement
NH4,36,6750.0,13500.0,3097,51.16570513233809,51.12245845849758,1.2553159166008219,phi_complement
NH4,37,6937.5,13875.0,3093,50.83237176568783,50.86148291118914,1.2623947241912181,phi_complement
NH4,38,7125.0,14250.0,3098,50.42460990457074,50.3836586823072,1.275287443475464,phi_complement
NH4,39,7312.5,14625.0,3094,50.03399486509219,49.99578614687016,1.2856878942656715,phi_complement
NH4,40,7500.0,15000.0,3094,49.60648532370744,49.4645350605009,1.2998371987347066,pure_delay
NH4,41,7687.5,15375.0,3093,49.065221812799805,48.86413909899896,1.3156935307885842,pure_delay
NH4,42,7875.0,15750.0,3094,48.464195001163915,48.260149355292874,1.3314989981774819,pure_delay
NH4,43,8062.5,16125.0,3094,47.78094591232398,47.61786251245623,1.3481442631117262,pure_delay
NH4,44,8250.0,16500.0,3096,46.99484848766279,46.879675070858866,1.367065491925713,pure_delay
NH4,45,8437.5,16875.0,3094,46.1523658551685,45.994958109266285,1.389443334717872,pure_delay
NH4,46,8625.0,17250.0,3089,45.204466170548514,45.041859929816546,1.413179969657121,pure_delay
NH4,47,8812.5,17625.0,3092,43.952603062244656,43.79506691873928,1.4436396305464503,pure_delay
NH4,48,9000.0,18000.0,3095,42.339338830966014,41.8900220535089,1.4888556733209275,pure_delay
NH4,49,9187.5,18375.0,3036,41.32117511158238,40.929526091182325,1.5110319252669742,pure_delay
NH4,50,9375.0,18750.0,2911,40.082350088660384,39.649751609226776,1.5399189167595528,phi
NH4,51,9562.5,19125.0,2702,38.95490131311453,38.44269498854217,1.566460760492789,phi
NH4,52,9750.0,19500.0,2490,37.73108221963841,37.23167160343,1.5923911774159938,phi
NH4,53,9937.5,19875.0,2165,36.65637648015175,36.06129902777199,1.6167753555170907,phi
NH4,54,10125.0,20250.0,1757,35.448448685618274,34.822519863902976,1.6418496583139024,phi
NH4,55,10312.5,20625.0,1239,34.15704380867477,33.61831685647151,1.6654885694160546,phi
NH4,56,10500.0,21000.0,671,32.8365094743964,32.44411273547905,1.6878302711282969,thirty
NH4,57,10687.5,21375.0,96,32.10781109877311,32.046103759261406,1.6952379982002372,thirty
