step,direction_index,azimuth_deg,elevation_deg,ear,lower_radius_m,upper_radius_m,eligible_bins,free_angle_deg,median_angle_deg,median_ara_x,broken_phi_loss,loss_direct,loss_thirty,loss_phi,loss_ordinary_octave,loss_phi_reversed,loss_ridge_half,loss_perpendicular,loss_ordinary_non_octave
0.5_to_1,0,0.0,0.0,0,0.5,1.0,347,2.3023809233077177,2.678779633945232,1.9978145060903625,33.82892778429901,2.4524402045199607,27.710496342690845,33.708204290329526,42.70597358519123,51.70451936958231,57.70380188652928,87.70168696645098,
0.5_to_1,0,0.0,0.0,1,0.5,1.0,344,2.2612707631867623,2.6756348911647576,1.997819633385816,29.045097699489094,2.4073918931488056,27.751023223225353,33.748837621135216,42.74670942938637,51.74532146294028,57.74463649677594,87.74261677402595,
0.5_to_1,1,1.0,0.0,0,0.5,1.0,347,2.3082360902992827,2.6831863071662814,1.9978073110846941,28.801123252749726,2.4591923180142685,27.704755213483182,33.702442468691075,42.70019178797731,51.69872463711903,57.69800079743722,87.69586723787563,
0.5_to_1,1,1.0,0.0,1,0.5,1.0,348,7.896856539574521,5.061482550681653,1.9922009054273548,29.064375940164,10.453033953903065,23.139890372838398,28.925633061215528,37.72994606780857,46.609070067610254,52.55133808089484,82.388298572783,
0.5_to_1,2,2.0,0.0,0,0.5,1.0,348,7.91067663351542,5.102365044295782,1.9920745722717141,33.815238096077756,10.493797587088169,23.1404232845437,28.923192600155108,37.724778207199435,46.602217880473376,52.54368270093872,82.37838304898926,
0.5_to_1,2,2.0,0.0,1,0.5,1.0,348,7.881221742245951,5.05268215970214,1.9922279600380972,33.63177235471261,10.432659394156559,23.150962776950035,28.937733439106363,37.74295199414518,46.622617192430546,52.565138380536666,82.40279405718117,
0.5_to_1,3,3.0,0.0,0,0.5,1.0,347,2.3141493940947115,2.6900222279161774,1.9977961263344017,33.81469911506128,2.4658531547161657,27.698943447989873,33.69661222446263,42.69434372738501,51.692865051362695,57.69213555147061,87.6899854079334,
0.5_to_1,3,3.0,0.0,1,0.5,1.0,344,2.2510099230933642,2.656833896288735,1.9978501620418054,33.63638112555001,2.3932993275947663,27.760894911473294,33.75877911312468,42.756718636876975,51.75537469652193,57.75471141734033,87.75275548673477,
0.5_to_1,4,4.0,0.0,0,0.5,1.0,347,2.3244902518445905,2.69820835505204,1.9977826949943716,33.805067053529605,2.477117496462123,27.688746739074404,33.68638913505673,42.68409526305162,51.68260020444079,57.681862668172634,87.67968901495519,
0.5_to_1,4,4.0,0.0,1,0.5,1.0,344,2.2443744830559424,2.647672218625705,1.9978649588247648,33.641141758388144,2.385215011234585,27.767369008720692,33.76528228624471,42.763249960389864,51.761924292666876,57.76127000580152,87.75934049262078,
0.5_to_1,5,5.0,0.0,0,0.5,1.0,346,2.339815297643639,2.7140424302795854,1.9977565995986146,33.79059212987851,2.4910254554125477,27.673385950419853,33.67103364004692,42.66874536509816,51.66725419135412,57.666518640388524,87.66435110262128,
0.5_to_1,5,5.0,0.0,1,0.5,1.0,348,15.644519320780148,11.91624488788976,1.956900961184823,33.2149487579566,18.427739879053547,17.34677024126542,22.564933103244286,30.92854439154625,39.57238317824445,45.411884772121525,74.99045352116251,
0.5_to_1,6,6.0,0.0,0,0.5,1.0,346,2.3457907436543883,2.724908911084472,1.997738602777754,28.736557750877466,2.4968559577731644,27.667432932142514,33.6650762085986,42.6627838138227,51.6612900473768,57.66055324427039,87.6583821195445,
0.5_to_1,6,6.0,0.0,1,0.5,1.0,348,7.8102830206938485,5.024432190395554,1.9923145413081809,29.12987414119425,10.34413525674086,23.203106537016083,28.99415038796261,37.80311709829367,46.68501438336303,52.62857751950443,82.4690862716743,
0.5_to_1,7,7.0,0.0,0,0.5,1.0,348,7.994159486340112,5.214011175849103,1.9917241758707558,33.786233749674736,10.59574401882951,23.078566292821453,28.85637378978989,37.653624494090224,46.5284919891869,52.46875882800877,82.30018884408068,
0.5_to_1,7,7.0,0.0,1,0.5,1.0,348,7.794994718662544,5.017053605089308,1.992337104860152,33.65551896566098,10.322987576629899,23.213452767468752,29.005593473734542,37.81553315540621,46.69801540634999,52.64185318040912,82.48311962546032,
0.5_to_1,8,8.0,0.0,0,0.5,1.0,345,2.362591578917337,2.756889981194369,1.9976852195117532,33.77461035371048,2.512622893633175,27.65063795051697,33.64827900686098,42.645984942348896,51.64449034778576,57.64375321173604,87.64158139605019,
0.5_to_1,8,8.0,0.0,1,0.5,1.0,345,2.217975354454291,2.6302863275563166,1.997892903057112,33.66495092076224,2.355468806387937,27.793339346516266,33.79133036412088,42.7893731129235,51.78809607445328,57.787465689051906,87.78560627743079,
0.5_to_1,9,9.0,0.0,0,0.5,1.0,345,2.371844808221369,2.7727856554869255,1.9976584546636116,33.76832314903937,2.522610698705731,27.64150640330484,33.639125115634116,42.63680958980516,51.63530115579183,57.63455723566079,87.63236559204242,
0.5_to_1,9,9.0,0.0,1,0.5,1.0,345,2.2130546601242362,2.6221152202672786,1.9979059720309242,33.66958634810585,2.3490541329628414,27.79810741241453,33.79612581037426,42.79419511929636,51.79293534861847,57.792313469047784,87.79047907659023,
0.5_to_1,10,10.0,0.0,0,0.5,1.0,346,2.3804212150835085,2.798547307770053,1.9976147511403421,33.75465229868556,2.5354252466788925,27.633369470198275,33.630909201142394,42.62851711969326,51.62695894542383,57.62619053322435,87.62392688339449,
0.5_to_1,10,10.0,0.0,1,0.5,1.0,344,2.21999449956476,2.6298773290825515,1.9978935576002588,33.66691713159529,2.3533266552615237,27.790978327012507,33.78902991175837,42.787131726554605,51.78589325669077,57.7852819184833,87.78347872136709,
0.5_to_1,11,11.0,0.0,0,0.5,1.0,347,2.3730793232939824,2.805232822107382,1.9976033434551714,33.754481276813515,2.530802070464548,27.640915319906263,33.6384192233033,42.635992072700844,51.63441093112342,57.63363115685659,87.63133389905092,
0.5_to_1,11,11.0,0.0,1,0.5,1.0,344,2.2009194161285075,2.603134411595196,1.997936173328101,33.68787700916602,2.3318446706705354,27.809752508794897,33.807858577657385,42.806013036915374,51.804808682459736,57.80421411655654,87.80246012877431,
0.5_to_1,12,12.0,0.0,0,0.5,1.0,347,2.388791449356737,2.834385667223647,1.9975532812392496,33.741940127631324,2.5477515092118606,27.625414943332295,33.62287990935646,42.6204153817227,51.61881014922916,57.61801856910634,87.61568681959002,
