dataset,source_index,ear,azimuth_deg,elevation_deg,radius_m,eligible_pairs,free_angle_deg,median_angle_deg,median_ara_x,loss_direct,loss_thirty,loss_phi,loss_pure_delay,loss_phi_complement,loss_ridge_half,loss_perpendicular,broken_phi_loss,scrambled_phi_loss
NH2,0,0,0.0,-30.0,1.2,53,50.24399410187601,48.40251517301173,1.327786770268693,51.03140359932099,22.1261046550049,16.81179877293674,10.355900933668153,9.687764980333728,13.225916266620938,40.74659758776317,16.95398799669568,11.13503330710077
NH2,0,1,0.0,-30.0,1.2,53,51.8788454160319,53.17107358351655,1.1988555607299396,52.707853517737945,23.777869910599776,18.40763299539143,11.57677567392792,9.550000917061476,12.355418751442311,39.24188639147688,16.079395600713497,11.813261359571445
NH2,1,0,180.0,-25.0,1.2,51,52.101365923265476,49.6311846219171,1.295410638669855,52.58009231582592,23.207415895459967,17.588853330040084,10.027121962302232,7.329296571165973,10.606705291885865,38.554120943849725,19.5040887778016,12.16732552614662
NH2,1,1,180.0,-25.0,1.2,52,51.08731826698703,52.9163138003033,1.2059473346965959,52.07826533427644,23.386034811572415,18.16201544444428,11.801994585597214,10.522136066060893,13.47840970548288,40.204830955615684,18.608327943808828,13.239168370072564
NH2,2,0,0.0,-20.0,1.2,54,49.836197981579154,48.56882589780973,1.323439784804725,50.50247872339775,21.455266913103024,16.071530808654895,9.49960730057399,9.175564026080021,13.044408741592848,40.987616672880534,15.262523795431123,10.602474081299384
NH2,2,1,0.0,-20.0,1.2,53,50.319874124543304,48.817446553583345,1.3169206387873709,50.965105883470436,21.868917902830805,16.444180756311155,9.677465913370844,8.882320207168572,12.611785074609996,40.49524262546846,14.747188389471845,11.249828855052565
NH2,3,0,180.0,-15.0,1.2,51,53.283808692934045,53.64098919327281,1.1856858333802371,53.68983338401025,24.19854721314358,18.497675067735685,10.585623573447041,6.629243544018052,9.40963153639379,37.302984385631326,16.70889898205366,11.487755453061576
NH2,3,1,180.0,-15.0,1.2,54,50.560940593581726,49.59041283247933,1.2964941260389187,51.28381176768297,22.279428040419567,16.900935674845133,10.224710069277368,9.243796044716207,12.756036931325117,40.36161595598505,19.509490540037376,12.86242225132958
NH2,4,0,0.0,-10.0,1.2,54,50.19032394370127,48.47245076016115,1.325960167761327,51.06394992414986,22.273471782234765,17.024207996544014,10.742338056632278,10.147511810111249,13.59000031684812,40.90560685272687,17.42726444926244,13.619735080626981
NH2,4,1,0.0,-10.0,1.2,54,50.29324534876755,48.69334946994901,1.3201777017041234,51.036049227572285,22.069970544455423,16.720187069764485,10.162983782831889,9.434395746007713,13.018789456285022,40.643500808629,18.304584147968825,12.337752212688347
NH2,5,0,180.0,-5.0,1.2,53,52.39113730921058,52.70369061266979,1.2118743198056496,52.861817066540894,23.47133283441312,17.83843651538084,10.206338508372239,7.220032837992614,10.365096549051762,38.2618215447008,24.947373826264375,12.222681510155816
NH2,5,1,180.0,-5.0,1.2,54,50.4005023955819,52.56157573786447,1.2158107950338077,51.139185619145266,22.16272009601889,16.80417011659596,10.206423966650727,9.378808403339306,12.928883104103198,40.53548907543426,17.854528056839108,11.12850257539725
NH2,6,0,0.0,0.0,1.2,55,50.30467277385912,51.670427615099115,1.2403680003117294,51.28062665897531,22.614647998712293,17.42889069388389,11.28193781625693,10.620640798013275,13.897551499243116,40.92507264798155,23.86194476774062,11.957219307729847
NH2,6,1,0.0,0.0,1.2,54,49.90241135314189,48.36105482119703,1.3288687003373076,50.63467674193652,21.673158689307208,16.336978647662786,9.881976875991754,9.50842061654204,13.250702863749494,41.00532215694526,18.006050002113184,11.60178706593699
NH2,7,0,180.0,5.0,1.2,53,52.28090621657546,52.733210580222845,1.211054430080104,52.707175883933495,23.263534053650858,17.601736904819013,9.887609932036632,6.90713531572614,10.214579955673447,38.30774426504801,24.21197839157999,12.19000378278809
NH2,7,1,180.0,5.0,1.2,53,50.988920521864934,52.616131474736406,1.214304300648244,51.57160163249176,22.367272154389557,16.864987914794103,9.778918548212893,8.29618457961328,11.872642179255378,39.76964170073371,17.625647956411836,11.71344720532106
NH2,8,0,0.0,10.0,1.2,55,50.71688287889114,51.23769661600783,1.2521818518059744,51.95334629326346,23.58256174240371,18.53468704315207,12.634505608354784,11.735707909943393,14.5987754829237,40.86699490869552,25.279654301369384,13.249339392005098
NH2,8,1,0.0,10.0,1.2,55,51.69710687317136,51.28441203560938,1.250909916213316,52.377631700232655,23.272083923339064,17.810800309275276,10.755309569686789,8.725179667073455,11.822160451654169,39.2165407112149,18.984456928700013,11.985320022138598
NH2,9,0,180.0,15.0,1.2,53,41.87039974722429,43.38647844152579,1.4534736008903846,42.432623837012216,13.7223751901746,9.047584423105866,7.5625120458211965,13.947200184737921,19.39277174687677,48.61949826142804,10.216114859307794,11.675852843461499
NH2,9,1,180.0,15.0,1.2,52,51.32071585606754,52.28856145742574,1.2233689133742496,51.89100317212488,22.659065709896826,17.13431260869871,9.940411619414759,8.126432043288139,11.584054017543677,39.432820798382124,18.063231342050013,12.472297216062962
NH2,10,0,0.0,20.0,1.2,56,53.44475163486105,54.3060083173047,1.166912039676391,53.9826271490164,24.6462763073463,19.02897570022431,11.362059090333434,7.621735848527544,10.037621118890542,37.33722994056649,20.611806142644017,13.09930093150544
NH2,10,1,0.0,20.0,1.2,56,51.36349572129195,50.61985872883203,1.2689252774028594,52.11207912853198,23.105390016635987,17.705849292405,10.860671074206403,9.187559697702579,12.330827407086087,39.62624838747454,19.183034119157536,12.030455790408194
