split,event_id,run,period,field_G,direction,offset_reads,offset_us,child_U,child_R,other_bank_H,same_bank_H
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-7,-0.4480000880270816,0.9188445392604296,1.0568100494952546,0.6797799419245318,0.726547353528758
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-6,-0.3840000629425049,0.9598506428235284,1.0268057099124388,0.6924468006878928,0.7331849450886512
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-5,-0.3200000670462466,0.9707570461299113,1.0108796172081254,0.7033502835702667,0.7425096247579615
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-4,-0.2560000419616699,0.941380310582088,0.9805909726296744,0.7154664176502804,0.7385903746412232
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-3,-0.19200004606541166,0.9218195641571342,0.9533728201204711,0.7157294951679405,0.711190609108975
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-2,-0.12800002098083496,0.9133069490681891,0.9258442482307171,0.7097946992164288,0.7037966712113721
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,-1,-0.0640000250845767,0.8798515729514239,0.8842959580639485,0.7074756619572796,0.6968797354260585
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,0,0.0,0.854574668597257,0.854574668597257,0.7111418718807246,0.7111629234891801
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,1,0.06399999589625827,0.8688127312236047,0.8234878436986288,0.7123935538900077,0.7119216846192309
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,2,0.1279998871773862,0.8952508091255242,0.7845646787864202,0.6912543938462828,0.6845295786070517
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,3,0.1919999122619629,0.9349426002946293,0.7415106253966337,0.65837093336747,0.6909380321589355
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,4,0.25599990815822116,0.9523656910986624,0.7036452035189001,0.64340539132212,0.7086726318347965
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,5,0.31999993324279785,0.9172563273946993,0.6830868817629677,0.6429987070403909,0.730334944049655
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,6,0.3839999291390561,0.8882526138322734,0.6657700462164933,0.6554766945090187,0.7521779313268026
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,7,0.4479999542236328,0.9359021963864576,0.6381211788849851,0.6542302606397519,0.766243176787889
development,EMU00069983|RF off|F_to_B|0,EMU00069983,RF off,50.0,F_to_B,8,0.5119999501198911,0.9859170589234556,0.6062960136374188,0.6346703738300146,0.7404621486339181
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-8,-0.5119999568292002,0.8583036184775702,1.008988640374301,0.7792907531796823,0.7225895844972412
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-7,-0.4479999542236328,0.8358782118307577,1.0066060447757337,0.7746852084077305,0.718387537096527
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-6,-0.3839999358483652,0.8690142300504962,1.0043000071014077,0.7676700766783682,0.7076048572578143
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-5,-0.31999993324279785,0.8363273118447064,0.9953741507126332,0.7607211657910292,0.7019937197891486
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-4,-0.25599991486753026,0.8163626745332074,0.9856650982162899,0.7559929286811414,0.6928940824629982
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-3,-0.19200002358640234,0.833443725770874,0.9714609265594784,0.7506614615009333,0.683814578231862
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-2,-0.12800002098083496,0.838776371150403,0.9515820300882705,0.736938021575944,0.6885355943902729
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,-1,-0.06400000260556737,0.8411501976758329,0.9249691114418827,0.7416104980336503,0.6985478156322186
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,0,0.0,0.8708346793783486,0.8708346793783487,0.7630951332952614,0.7015830542830273
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,1,0.06400001837526759,0.8372731250047951,0.8270601123197278,0.7822374999759001,0.7133210302249763
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,2,0.12800002098083496,0.7779215623499146,0.8088102201427445,0.7980752305419162,0.7396919167892655
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,3,0.19200003935610255,0.788393811449866,0.7848301311653815,0.789396085181255,0.7669338329890371
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,4,0.2560000419616699,0.8108647389918061,0.7479148404416566,0.772526553339384,0.7790199801787155
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,5,0.3200000603369375,0.8304764570235432,0.7274881211145346,0.7629884596958459,0.7677348509740264
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,6,0.3840000629425049,0.8651820199111562,0.7255802704266009,0.7497545793663515,0.7400752051610744
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,7,0.44800008131777247,0.9037455022648929,0.6975511901969541,0.7470416650199572,0.694892702693332
development,EMU00069983|RF on|F_to_B|0,EMU00069983,RF on,50.0,F_to_B,8,0.5119999725989004,0.9663271707561644,0.6674871568401713,0.7611771738144617,0.6599050736667587
development,EMU00069983|RF on|F_to_B|1,EMU00069983,RF on,50.0,F_to_B,-8,-0.5119999426190232,0.8467938978070676,1.0066546025258643,0.7737166008270895,0.7167257725805501
development,EMU00069983|RF on|F_to_B|1,EMU00069983,RF on,50.0,F_to_B,-7,-0.4479999542236328,0.8654758698686191,1.003623550686379,0.7668867047622058,0.7065982239907336
