stage,run,period,field_G,time_us,series,coordinate
Development,EMU00070055,RF on,482.0,3.115000009536743,Child closure R,0.5230263235204557
Development,EMU00070055,RF on,482.0,3.115000009536743,Candidate parent H,1.035616143363167
Development,EMU00070055,RF on,482.0,3.115000009536743,Candidate parent Q,1.0999275323115374
Development,EMU00070055,RF on,482.0,3.115000009536743,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.178999900817871,Child openness U,0.9854818771091955
Development,EMU00070055,RF on,482.0,3.178999900817871,Child closure R,0.49635501050865577
Development,EMU00070055,RF on,482.0,3.178999900817871,Candidate parent H,1.0363903561457861
Development,EMU00070055,RF on,482.0,3.178999900817871,Candidate parent Q,1.0915541050510955
Development,EMU00070055,RF on,482.0,3.178999900817871,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.243000030517578,Child openness U,0.9709900828295644
Development,EMU00070055,RF on,482.0,3.243000030517578,Child closure R,0.4832946257795621
Development,EMU00070055,RF on,482.0,3.243000030517578,Candidate parent H,1.0512565861497358
Development,EMU00070055,RF on,482.0,3.243000030517578,Candidate parent Q,1.0846525208002236
Development,EMU00070055,RF on,482.0,3.243000030517578,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.306999921798706,Child openness U,0.9428428399277852
Development,EMU00070055,RF on,482.0,3.306999921798706,Child closure R,0.46735589012587575
Development,EMU00070055,RF on,482.0,3.306999921798706,Candidate parent H,1.0025647176497727
Development,EMU00070055,RF on,482.0,3.306999921798706,Candidate parent Q,1.0753332921927272
Development,EMU00070055,RF on,482.0,3.306999921798706,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.371000051498413,Child openness U,0.9581712250612668
Development,EMU00070055,RF on,482.0,3.371000051498413,Child closure R,0.4203294839214935
Development,EMU00070055,RF on,482.0,3.371000051498413,Candidate parent H,1.0288993702788467
Development,EMU00070055,RF on,482.0,3.371000051498413,Candidate parent Q,1.0660074783293345
Development,EMU00070055,RF on,482.0,3.371000051498413,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.434999942779541,Child openness U,0.9451135728720208
Development,EMU00070055,RF on,482.0,3.434999942779541,Child closure R,0.3791477590726068
Development,EMU00070055,RF on,482.0,3.434999942779541,Candidate parent H,1.036035100624396
Development,EMU00070055,RF on,482.0,3.434999942779541,Candidate parent Q,1.0706309496834356
Development,EMU00070055,RF on,482.0,3.434999942779541,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.499000072479248,Child openness U,0.90804194353475
Development,EMU00070055,RF on,482.0,3.499000072479248,Child closure R,0.3727333691382128
Development,EMU00070055,RF on,482.0,3.499000072479248,Candidate parent H,0.9773523264971982
Development,EMU00070055,RF on,482.0,3.499000072479248,Candidate parent Q,1.0552262176327847
Development,EMU00070055,RF on,482.0,3.499000072479248,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.562999963760376,Child openness U,0.9087638977622012
Development,EMU00070055,RF on,482.0,3.562999963760376,Child closure R,0.3457718062389482
Development,EMU00070055,RF on,482.0,3.562999963760376,Candidate parent H,1.0304673082208247
Development,EMU00070055,RF on,482.0,3.562999963760376,Candidate parent Q,1.0404273268521367
Development,EMU00070055,RF on,482.0,3.562999963760376,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.626999855041504,Child openness U,0.9459450061427032
Development,EMU00070055,RF on,482.0,3.626999855041504,Child closure R,0.30929203593099147
Development,EMU00070055,RF on,482.0,3.626999855041504,Candidate parent H,1.039852131902234
Development,EMU00070055,RF on,482.0,3.626999855041504,Candidate parent Q,1.0137596031058087
Development,EMU00070055,RF on,482.0,3.626999855041504,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.690999984741211,Child openness U,0.962246619231689
Development,EMU00070055,RF on,482.0,3.690999984741211,Child closure R,0.27619161982584073
Development,EMU00070055,RF on,482.0,3.690999984741211,Candidate parent H,1.1045038119523234
Development,EMU00070055,RF on,482.0,3.690999984741211,Candidate parent Q,0.9913403575654449
Development,EMU00070055,RF on,482.0,3.690999984741211,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.754999876022339,Child openness U,0.9931552937928471
Development,EMU00070055,RF on,482.0,3.754999876022339,Child closure R,0.2661133240955921
Development,EMU00070055,RF on,482.0,3.754999876022339,Candidate parent H,1.090576159914403
Development,EMU00070055,RF on,482.0,3.754999876022339,Candidate parent Q,0.9490962883455425
Development,EMU00070055,RF on,482.0,3.754999876022339,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.819000005722046,Child openness U,0.986341349505966
Development,EMU00070055,RF on,482.0,3.819000005722046,Child closure R,0.26021937496679093
Development,EMU00070055,RF on,482.0,3.819000005722046,Candidate parent H,1.0423519303335267
Development,EMU00070055,RF on,482.0,3.819000005722046,Candidate parent Q,0.9163770937352429
Development,EMU00070055,RF on,482.0,3.819000005722046,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.883000135421753,Child openness U,0.9634241587015641
Development,EMU00070055,RF on,482.0,3.883000135421753,Child closure R,0.23872269937498392
Development,EMU00070055,RF on,482.0,3.883000135421753,Candidate parent H,1.0468085453469684
Development,EMU00070055,RF on,482.0,3.883000135421753,Candidate parent Q,0.8713889846694551
Development,EMU00070055,RF on,482.0,3.883000135421753,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,3.9469997882843018,Child openness U,0.9255247071125321
Development,EMU00070055,RF on,482.0,3.9469997882843018,Child closure R,0.2359187349666534
Development,EMU00070055,RF on,482.0,3.9469997882843018,Candidate parent H,1.0556189077938112
Development,EMU00070055,RF on,482.0,3.9469997882843018,Candidate parent Q,0.9110110340014786
Development,EMU00070055,RF on,482.0,3.9469997882843018,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.011000156402588,Child openness U,0.9322333605258704
Development,EMU00070055,RF on,482.0,4.011000156402588,Child closure R,0.2026823981230284
Development,EMU00070055,RF on,482.0,4.011000156402588,Candidate parent H,1.1864438152893695
Development,EMU00070055,RF on,482.0,4.011000156402588,Candidate parent Q,0.9134548915823637
Development,EMU00070055,RF on,482.0,4.011000156402588,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.075000286102295,Child openness U,0.9324205590166628
Development,EMU00070055,RF on,482.0,4.075000286102295,Child closure R,0.17841436976162728
Development,EMU00070055,RF on,482.0,4.075000286102295,Candidate parent H,0.8227079850166032
Development,EMU00070055,RF on,482.0,4.075000286102295,Candidate parent Q,0.8589767673708718
Development,EMU00070055,RF on,482.0,4.075000286102295,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.139000415802002,Child openness U,1.0275113005978278
Development,EMU00070055,RF on,482.0,4.139000415802002,Child closure R,0.1534708325909467
Development,EMU00070055,RF on,482.0,4.139000415802002,Candidate parent H,0.8889764160322864
Development,EMU00070055,RF on,482.0,4.139000415802002,Candidate parent Q,0.9214850561704134
Development,EMU00070055,RF on,482.0,4.139000415802002,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.203000068664551,Child openness U,0.9756858337839134
Development,EMU00070055,RF on,482.0,4.203000068664551,Child closure R,0.14975638582225806
Development,EMU00070055,RF on,482.0,4.203000068664551,Candidate parent H,0.9710331390423841
Development,EMU00070055,RF on,482.0,4.203000068664551,Candidate parent Q,0.8932295351599817
Development,EMU00070055,RF on,482.0,4.203000068664551,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.267000198364258,Child openness U,0.9423810406228754
Development,EMU00070055,RF on,482.0,4.267000198364258,Child closure R,0.15688703376082735
Development,EMU00070055,RF on,482.0,4.267000198364258,Candidate parent H,0.8322910844957834
Development,EMU00070055,RF on,482.0,4.267000198364258,Candidate parent Q,0.8946341327065566
Development,EMU00070055,RF on,482.0,4.267000198364258,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.331000328063965,Child openness U,0.9497998909689284
Development,EMU00070055,RF on,482.0,4.331000328063965,Child closure R,0.15100477379613603
Development,EMU00070055,RF on,482.0,4.331000328063965,Candidate parent H,0.9736792715529569
Development,EMU00070055,RF on,482.0,4.331000328063965,Candidate parent Q,0.8662675749710255
Development,EMU00070055,RF on,482.0,4.331000328063965,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.394999980926514,Child openness U,1.0045338641733332
Development,EMU00070055,RF on,482.0,4.394999980926514,Child closure R,0.14721705757194795
Development,EMU00070055,RF on,482.0,4.394999980926514,Candidate parent H,1.0122915130080663
Development,EMU00070055,RF on,482.0,4.394999980926514,Candidate parent Q,0.8232416500026347
Development,EMU00070055,RF on,482.0,4.394999980926514,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.459000110626221,Child openness U,1.0161339217257062
Development,EMU00070055,RF on,482.0,4.459000110626221,Child closure R,0.13437507612962024
Development,EMU00070055,RF on,482.0,4.459000110626221,Candidate parent H,0.8825117908968529
Development,EMU00070055,RF on,482.0,4.459000110626221,Candidate parent Q,0.8051373244351632
Development,EMU00070055,RF on,482.0,4.459000110626221,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.523000240325928,Child openness U,1.0068548352437177
Development,EMU00070055,RF on,482.0,4.523000240325928,Child closure R,0.1523265618110345
Development,EMU00070055,RF on,482.0,4.523000240325928,Candidate parent H,0.8362421829379307
Development,EMU00070055,RF on,482.0,4.523000240325928,Candidate parent Q,0.791545045843414
Development,EMU00070055,RF on,482.0,4.523000240325928,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.587000370025635,Child openness U,1.0535886075782672
Development,EMU00070055,RF on,482.0,4.587000370025635,Child closure R,0.16515126520503715
Development,EMU00070055,RF on,482.0,4.587000370025635,Candidate parent H,0.7633753748588744
Development,EMU00070055,RF on,482.0,4.587000370025635,Candidate parent Q,0.787257135096637
Development,EMU00070055,RF on,482.0,4.587000370025635,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.651000022888184,Child openness U,0.999519697357822
Development,EMU00070055,RF on,482.0,4.651000022888184,Child closure R,0.14969658868639585
Development,EMU00070055,RF on,482.0,4.651000022888184,Candidate parent H,0.8115130346101296
Development,EMU00070055,RF on,482.0,4.651000022888184,Candidate parent Q,0.7806115136648198
Development,EMU00070055,RF on,482.0,4.651000022888184,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.715000152587891,Child openness U,0.9534920723250704
Development,EMU00070055,RF on,482.0,4.715000152587891,Child closure R,0.13042712473504334
Development,EMU00070055,RF on,482.0,4.715000152587891,Candidate parent H,0.828856647351903
Development,EMU00070055,RF on,482.0,4.715000152587891,Candidate parent Q,0.814547190914129
Development,EMU00070055,RF on,482.0,4.715000152587891,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.779000282287598,Child openness U,0.9201050726233085
Development,EMU00070055,RF on,482.0,4.779000282287598,Child closure R,0.12427489254825795
Development,EMU00070055,RF on,482.0,4.779000282287598,Candidate parent H,0.9061559017713188
Development,EMU00070055,RF on,482.0,4.779000282287598,Candidate parent Q,0.7732639627567508
Development,EMU00070055,RF on,482.0,4.779000282287598,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.843000411987305,Child openness U,0.8420583464040627
Development,EMU00070055,RF on,482.0,4.843000411987305,Child closure R,0.1338802407713587
Development,EMU00070055,RF on,482.0,4.843000411987305,Candidate parent H,0.9521522651513332
Development,EMU00070055,RF on,482.0,4.843000411987305,Candidate parent Q,0.7171789037616287
Development,EMU00070055,RF on,482.0,4.843000411987305,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.9070000648498535,Child openness U,0.9056226275528348
Development,EMU00070055,RF on,482.0,4.9070000648498535,Child closure R,0.14637406385148888
Development,EMU00070055,RF on,482.0,4.9070000648498535,Candidate parent H,1.035941520938142
Development,EMU00070055,RF on,482.0,4.9070000648498535,Candidate parent Q,0.8381982384848252
Development,EMU00070055,RF on,482.0,4.9070000648498535,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,4.9710001945495605,Child openness U,0.9177815475740921
Development,EMU00070055,RF on,482.0,4.9710001945495605,Child closure R,0.1544069641287561
Development,EMU00070055,RF on,482.0,4.9710001945495605,Candidate parent H,0.9718984865650195
Development,EMU00070055,RF on,482.0,4.9710001945495605,Candidate parent Q,0.7877963698783359
Development,EMU00070055,RF on,482.0,4.9710001945495605,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.035000324249268,Child openness U,0.9512477342822993
Development,EMU00070055,RF on,482.0,5.035000324249268,Child closure R,0.15335760781704963
Development,EMU00070055,RF on,482.0,5.035000324249268,Candidate parent H,0.9606678193248854
Development,EMU00070055,RF on,482.0,5.035000324249268,Candidate parent Q,0.7848620763383877
Development,EMU00070055,RF on,482.0,5.035000324249268,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.098999977111816,Child openness U,0.9604881580288975
Development,EMU00070055,RF on,482.0,5.098999977111816,Child closure R,0.15021917246672045
Development,EMU00070055,RF on,482.0,5.098999977111816,Candidate parent H,0.9942683432860746
Development,EMU00070055,RF on,482.0,5.098999977111816,Candidate parent Q,0.8494236954749456
Development,EMU00070055,RF on,482.0,5.098999977111816,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.163000106811523,Child openness U,0.9711367536192462
Development,EMU00070055,RF on,482.0,5.163000106811523,Child closure R,0.13840712960108525
Development,EMU00070055,RF on,482.0,5.163000106811523,Candidate parent H,1.0156051251096871
Development,EMU00070055,RF on,482.0,5.163000106811523,Candidate parent Q,0.8452628112856706
Development,EMU00070055,RF on,482.0,5.163000106811523,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.2270002365112305,Child openness U,0.9663086450903853
Development,EMU00070055,RF on,482.0,5.2270002365112305,Child closure R,0.13926468291608313
Development,EMU00070055,RF on,482.0,5.2270002365112305,Candidate parent H,1.1489977522269346
Development,EMU00070055,RF on,482.0,5.2270002365112305,Candidate parent Q,0.9367342263522872
Development,EMU00070055,RF on,482.0,5.2270002365112305,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.2910003662109375,Child openness U,0.9573283447107392
Development,EMU00070055,RF on,482.0,5.2910003662109375,Child closure R,0.13982481219268997
Development,EMU00070055,RF on,482.0,5.2910003662109375,Candidate parent H,1.1790050422232496
Development,EMU00070055,RF on,482.0,5.2910003662109375,Candidate parent Q,0.9013899474324186
Development,EMU00070055,RF on,482.0,5.2910003662109375,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.355000019073486,Child openness U,0.9686647308696049
Development,EMU00070055,RF on,482.0,5.355000019073486,Child closure R,0.14418630170575358
Development,EMU00070055,RF on,482.0,5.355000019073486,Candidate parent H,0.96966361535256
Development,EMU00070055,RF on,482.0,5.355000019073486,Candidate parent Q,0.9101092645605919
Development,EMU00070055,RF on,482.0,5.355000019073486,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.419000148773193,Child openness U,1.018622520109721
Development,EMU00070055,RF on,482.0,5.419000148773193,Child closure R,0.13625915987589154
Development,EMU00070055,RF on,482.0,5.419000148773193,Candidate parent H,0.9468931006597509
Development,EMU00070055,RF on,482.0,5.419000148773193,Candidate parent Q,0.8909569757148648
Development,EMU00070055,RF on,482.0,5.419000148773193,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.4830002784729,Child openness U,1.0285561705968915
Development,EMU00070055,RF on,482.0,5.4830002784729,Child closure R,0.12977294714533863
Development,EMU00070055,RF on,482.0,5.4830002784729,Candidate parent H,1.0116541154022145
Development,EMU00070055,RF on,482.0,5.4830002784729,Candidate parent Q,0.88799169620723
Development,EMU00070055,RF on,482.0,5.4830002784729,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.547000408172607,Child openness U,1.0273711951105762
Development,EMU00070055,RF on,482.0,5.547000408172607,Child closure R,0.1593211284664798
Development,EMU00070055,RF on,482.0,5.547000408172607,Candidate parent H,1.166726869919207
Development,EMU00070055,RF on,482.0,5.547000408172607,Candidate parent Q,0.9398675035701235
Development,EMU00070055,RF on,482.0,5.547000408172607,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.611000061035156,Child openness U,1.0478867851927132
Development,EMU00070055,RF on,482.0,5.611000061035156,Child closure R,0.15847957313596667
Development,EMU00070055,RF on,482.0,5.611000061035156,Candidate parent H,1.1102890620676191
Development,EMU00070055,RF on,482.0,5.611000061035156,Candidate parent Q,1.0084426358303817
Development,EMU00070055,RF on,482.0,5.611000061035156,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.675000190734863,Child openness U,1.0731974948850154
Development,EMU00070055,RF on,482.0,5.675000190734863,Child closure R,0.1586662772935229
Development,EMU00070055,RF on,482.0,5.675000190734863,Candidate parent H,1.2171260462431883
Development,EMU00070055,RF on,482.0,5.675000190734863,Candidate parent Q,0.9519676885911352
Development,EMU00070055,RF on,482.0,5.675000190734863,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.73900032043457,Child openness U,1.072143055732164
Development,EMU00070055,RF on,482.0,5.73900032043457,Child closure R,0.1391265686949601
Development,EMU00070055,RF on,482.0,5.73900032043457,Candidate parent H,1.1342540080958476
Development,EMU00070055,RF on,482.0,5.73900032043457,Candidate parent Q,0.939143241378735
Development,EMU00070055,RF on,482.0,5.73900032043457,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.802999973297119,Child openness U,1.0330644163019023
Development,EMU00070055,RF on,482.0,5.802999973297119,Child closure R,0.16424050964567127
Development,EMU00070055,RF on,482.0,5.802999973297119,Candidate parent H,1.0328333428351288
Development,EMU00070055,RF on,482.0,5.802999973297119,Candidate parent Q,0.8784071894816772
Development,EMU00070055,RF on,482.0,5.802999973297119,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.867000102996826,Child openness U,1.0548117732237299
Development,EMU00070055,RF on,482.0,5.867000102996826,Child closure R,0.14893040773823696
Development,EMU00070055,RF on,482.0,5.867000102996826,Candidate parent H,1.091303786672033
Development,EMU00070055,RF on,482.0,5.867000102996826,Candidate parent Q,0.8906694538121158
Development,EMU00070055,RF on,482.0,5.867000102996826,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.931000232696533,Child openness U,1.0089747799225943
Development,EMU00070055,RF on,482.0,5.931000232696533,Child closure R,0.17721985903575044
Development,EMU00070055,RF on,482.0,5.931000232696533,Candidate parent H,1.0432635491591773
Development,EMU00070055,RF on,482.0,5.931000232696533,Candidate parent Q,0.8883807181999726
Development,EMU00070055,RF on,482.0,5.931000232696533,ARA ridge,1.0
Development,EMU00070055,RF on,482.0,5.99500036239624,Child openness U,0.9929092861472443
Development,EMU00070055,RF on,482.0,5.99500036239624,Child closure R,0.16215574618422546
Development,EMU00070055,RF on,482.0,5.99500036239624,Candidate parent H,1.1077382376067968
Development,EMU00070055,RF on,482.0,5.99500036239624,Candidate parent Q,0.9269988110470827
Development,EMU00070055,RF on,482.0,5.99500036239624,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.2829999923706055,Child openness U,0.6234503138244532
Validation,EMU00070034,RF on,356.0,2.2829999923706055,Child closure R,1.2058383563939734
Validation,EMU00070034,RF on,356.0,2.2829999923706055,Candidate parent H,0.9494853260164402
Validation,EMU00070034,RF on,356.0,2.2829999923706055,Candidate parent Q,1.1327036485757196
Validation,EMU00070034,RF on,356.0,2.2829999923706055,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.3469998836517334,Child openness U,0.6534712324560309
Validation,EMU00070034,RF on,356.0,2.3469998836517334,Child closure R,1.1924623783051223
Validation,EMU00070034,RF on,356.0,2.3469998836517334,Candidate parent H,0.9390511463620157
Validation,EMU00070034,RF on,356.0,2.3469998836517334,Candidate parent Q,1.127356155442051
Validation,EMU00070034,RF on,356.0,2.3469998836517334,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.4110000133514404,Child openness U,0.7230128217747788
Validation,EMU00070034,RF on,356.0,2.4110000133514404,Child closure R,1.132469998188946
Validation,EMU00070034,RF on,356.0,2.4110000133514404,Candidate parent H,0.942168171079593
Validation,EMU00070034,RF on,356.0,2.4110000133514404,Candidate parent Q,1.130938820901739
Validation,EMU00070034,RF on,356.0,2.4110000133514404,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.4749999046325684,Child openness U,0.772986988548323
Validation,EMU00070034,RF on,356.0,2.4749999046325684,Child closure R,1.1024579358382858
Validation,EMU00070034,RF on,356.0,2.4749999046325684,Candidate parent H,0.9504752019096924
Validation,EMU00070034,RF on,356.0,2.4749999046325684,Candidate parent Q,1.1332317015688114
Validation,EMU00070034,RF on,356.0,2.4749999046325684,ARA ridge,1.0
Validation,EMU00070034,RF on,356.0,2.5390000343322754,Child openness U,0.8052199289151327
Validation,EMU00070034,RF on,356.0,2.5390000343322754,Child closure R,1.0761339819993219
