draw,expected_share,parent_ridge_exposure
0,0.0,nan
1,0.0,nan
2,0.0,nan
3,0.0,nan
4,0.0,nan
5,0.0,nan
6,0.0,nan
7,0.0,nan
8,0.0,nan
9,0.0,nan
10,0.0,nan
11,0.0,nan
12,0.0,nan
13,0.0,nan
14,0.0,nan
15,0.0,nan
16,0.0,nan
17,0.0,nan
18,0.0,nan
19,0.0,nan
20,0.0,nan
21,0.0,nan
22,0.0,nan
23,0.0,nan
24,0.25,0.06562550800623068
25,0.0,nan
26,0.0,nan
27,0.0,nan
28,0.0,nan
29,0.0,nan
30,0.0,nan
31,0.0,nan
32,0.0,nan
33,0.0,nan
34,0.0,nan
35,0.0,nan
36,0.0,nan
37,0.25,0.06562550800623068
38,0.0,nan
39,0.0,nan
40,0.0,nan
41,0.0,nan
42,0.25,0.021270556280649777
43,0.0,nan
44,0.0,nan
45,0.0,nan
46,0.0,nan
47,0.0,nan
48,0.0,nan
49,0.0,nan
50,0.0,nan
51,0.0,nan
52,0.0,nan
53,0.0,nan
54,0.0,nan
55,0.0,nan
56,0.0,nan
57,0.25,0.021270556280649777
58,0.0,nan
59,0.0,nan
60,0.0,nan
61,0.0,nan
62,0.0,nan
63,0.0,nan
64,0.0,nan
65,0.0,nan
66,0.0,nan
67,0.0,nan
68,0.0,nan
69,0.25,0.040153470290503424
70,0.0,nan
71,0.0,nan
72,0.0,nan
73,0.0,nan
74,0.0,nan
75,0.0,nan
76,0.0,nan
77,0.0,nan
78,0.0,nan
79,0.0,nan
80,0.0,nan
81,0.0,nan
82,0.0,nan
83,0.0,nan
84,0.25,0.040153470290503424
85,0.0,nan
86,0.0,nan
87,0.0,nan
88,0.0,nan
89,0.0,nan
90,0.0,nan
91,0.0,nan
92,0.25,0.06562550800623068
93,0.0,nan
94,0.0,nan
95,0.0,nan
96,0.0,nan
97,0.0,nan
98,0.5,-0.0024901243084037294
99,0.0,nan
100,0.0,nan
101,0.25,-0.00789932865521159
102,0.0,nan
103,0.25,-0.052345383237421994
104,0.25,0.0029190800384041315
105,0.0,nan
106,0.0,nan
107,0.0,nan
108,0.0,nan
109,0.0,nan
110,0.0,nan
111,0.0,nan
112,0.0,nan
113,0.0,nan
114,0.0,nan
115,0.0,nan
116,0.0,nan
117,0.0,nan
118,0.0,nan
119,0.0,nan
120,0.0,nan
121,0.0,nan
122,0.0,nan
123,0.0,nan
124,0.0,nan
125,0.0,nan
126,0.0,nan
127,0.0,nan
128,0.0,nan
129,0.25,0.021270556280649777
130,0.0,nan
131,0.0,nan
132,0.0,nan
133,0.25,-0.009491272151745722
134,0.0,nan
135,0.0,nan
136,0.0,nan
137,0.0,nan
138,0.0,nan
139,0.0,nan
140,0.0,nan
141,0.0,nan
142,0.0,nan
143,0.0,nan
144,0.0,nan
145,0.0,nan
146,0.0,nan
147,0.0,nan
148,0.0,nan
149,0.0,nan
150,0.0,nan
151,0.0,nan
152,0.0,nan
153,0.0,nan
154,0.0,nan
155,0.0,nan
156,0.25,0.0029190800384041315
157,0.0,nan
158,0.0,nan
159,0.0,nan
160,0.0,nan
161,0.0,nan
162,0.0,nan
163,0.0,nan
164,0.0,nan
165,0.0,nan
166,0.0,nan
167,0.0,nan
168,0.0,nan
169,0.25,-0.052345383237421994
170,0.0,nan
171,0.25,-0.00789932865521159
172,0.0,nan
173,0.0,nan
174,0.0,nan
175,0.25,-0.02926825261196475
176,0.25,0.0029190800384041315
177,0.25,-0.052345383237421994
178,0.0,nan
179,0.0,nan
180,0.0,nan
181,0.0,nan
182,0.0,nan
183,0.0,nan
184,0.0,nan
185,0.0,nan
186,0.0,nan
187,0.0,nan
188,0.25,0.021270556280649777
189,0.0,nan
190,0.0,nan
191,0.0,nan
192,0.0,nan
193,0.0,nan
194,0.0,nan
195,0.0,nan
196,0.0,nan
197,0.0,nan
198,0.0,nan
199,0.0,nan
200,0.25,-0.03967936637347358
201,0.0,nan
202,0.0,nan
203,0.0,nan
204,0.0,nan
205,0.0,nan
206,0.0,nan
207,0.0,nan
208,0.0,nan
209,0.0,nan
210,0.0,nan
211,0.0,nan
212,0.0,nan
213,0.0,nan
214,0.0,nan
215,0.0,nan
216,0.0,nan
217,0.0,nan
218,0.25,0.040153470290503424
219,0.0,nan
220,0.25,-0.03967936637347358
221,0.0,nan
222,0.0,nan
223,0.25,0.021270556280649777
224,0.0,nan
225,0.0,nan
226,0.0,nan
227,0.0,nan
228,0.0,nan
229,0.0,nan
230,0.0,nan
231,0.0,nan
232,0.0,nan
233,0.0,nan
234,0.0,nan
235,0.0,nan
236,0.0,nan
237,0.0,nan
