stage,measure,count
Development,Opposite child intervals,4
Development,Intervals with causal rows,2
Development,Causal prediction rows,4
Development,Q=1 parent handovers,0
Validation,Opposite child intervals,7
Validation,Intervals with causal rows,0
Validation,Causal prediction rows,0
Validation,Q=1 parent handovers,0
Holdout,Opposite child intervals,5
Holdout,Intervals with causal rows,0
Holdout,Causal prediction rows,0
Holdout,Q=1 parent handovers,0
