time_us,observed_beam_coincident,observed_anti_coincident,observed_excess_C_minus_AC,fitted_background,fitted_prompt_nu_mu,fitted_delayed_nu_e_plus_anti_nu_mu,fitted_total
0.25,149.0,109.0,40.0,123.03490003073846,30.540411729890394,8.20968216826963,161.78499392889847
0.75,207.0,121.0,86.0,132.8241175731153,29.544515914926677,53.31451318006499,215.68314666810699
1.25,168.0,113.0,55.0,115.83405248561651,0.031237536268260313,47.895166917557184,163.76045693944195
1.75,146.0,121.0,25.0,112.65375063419985,0.016051535456201717,37.21200096335429,149.88180313301035
2.25,126.0,125.0,1.0,109.74830177386892,0.012429469662045056,28.873364901972458,138.6340961455034
2.75,120.0,114.0,6.0,106.94863731597638,0.010227004159610422,22.430744361226058,129.38960868136206
3.25,129.0,94.0,35.0,104.24523861715994,0.008379792026040216,17.44577098955805,121.69938939874402
3.75,116.0,100.0,16.0,101.62816882310463,0.0060459490583360245,13.55810745012263,115.1923222222856
4.25,124.0,95.0,29.0,99.09026960495521,0.004724750921521688,10.521402051695262,109.616396407572
4.75,92.0,91.0,1.0,96.62923667137493,0.003654806296638347,8.187042052814462,104.81993353048603
5.25,99.0,98.0,1.0,94.23743005556123,0.002569648955864687,6.363471476995776,100.60347118151287
5.75,102.0,114.0,-12.0,91.91070289314872,0.0021012950227975637,4.931180044132763,96.84398423230428
