time_us,prompt_nu_mu_peak_normalized,inferred_muon_remaining_fraction,nu_e_release_over_delayed_peak,anti_nu_mu_release_over_delayed_peak,delayed_total_release_peak_normalized,cumulative_delayed_release_fraction,cumulative_ara_0_to_2,prompt_fitted_events_per_native_ns,nu_e_fitted_events_per_native_ns,anti_nu_mu_fitted_events_per_native_ns,delayed_total_fitted_events_per_native_ns
0.0005,2.0648732121679834e-07,0.9999999999813407,3.099465313066697e-11,4.1233892292354384e-08,4.1264886945485045e-08,1.8659290065721597e-11,2.345301567018514e-10,3.259051198488944e-08,3.6291463651522133e-12,4.828053074283771e-09,4.831682220648923e-09
0.0055,1.1388339324069795e-06,0.9999999998192018,2.8791912981177475e-09,9.064355478693399e-08,9.352274608505173e-08,1.8079811061512551e-10,4.161428533923351e-09,1.7974556841647384e-07,3.3712287697142737e-10,1.0613402446952894e-08,1.095052532392432e-08
0.0105,3.2276095578415464e-06,0.9999999994133842,1.3172468478147348e-08,2.2932717375719686e-07,2.424996422353442e-07,5.866157973469521e-10,1.611121893914474e-08,5.094232776981813e-07,1.5423568670381778e-09,2.6851788776693812e-08,2.839414564373199e-08
0.0155,6.7413841189461355e-06,0.9999999985971831,3.81828293059874e-08,4.35295545578838e-07,4.734783748848254e-07,1.4028168419186273e-09,4.2990356731434084e-08,1.0640128344373317e-06,4.470805838764026e-09,5.09685086761413e-08,5.5439314514905325e-08
0.0205,1.639073781626081e-05,0.9999999965246317,9.459059182373925e-08,1.1450337446658632e-06,1.2396243364896026e-06,3.4753682725325174e-09,1.0551380019151133e-07,2.5869992118362144e-06,1.1075558776138267e-08,1.3407135207843908e-07,1.4514691085457735e-07
0.0255,3.3000214449201495e-05,0.9999999924013626,2.207372119455373e-07,2.100391241412026e-06,2.3211284533575634e-06,7.598637370996941e-09,2.391314142500786e-07,5.208522625858583e-06,2.5845995017552303e-08,2.459336198096039e-07,2.717796148271562e-07
0.0305,6.969730077526146e-05,0.9999999835667027,4.796524408731365e-07,4.581162028945269e-06,5.060814469818405e-06,1.6433297279030187e-08,5.165941371817602e-07,1.1000533605865831e-05,5.616223240158816e-08,5.364056650490508e-07,5.92567897450639e-07
0.0355,0.000127573806012186,0.9999999675050889,9.976972074966837e-07,7.685879609835856e-06,8.68357681733254e-06,3.249491107543817e-08,1.0502525099257398e-06,2.0135355668800587e-05,1.1681980046186075e-07,8.999352866264221e-07,1.0167550870882828e-06
0.0405,0.00022273659887111857,0.9999999393517279,1.9269058193535195e-06,1.3257871521139502e-05,1.5184777340493023e-05,6.06482720210526e-08,1.993450300025738e-06,3.515518411593473e-05,2.256203100843346e-07,1.5523566609297653e-06,1.7779769710140999e-06
0.0455,0.00035462387188980453,0.9999998941463866,3.497366178355691e-06,2.0054802754754483e-05,2.3552168933110174e-05,1.0585361347965222e-07,3.545538201915124e-06,5.597134719384575e-05,4.0950462327412135e-07,2.348205486102036e-06,2.7577101093761576e-06
0.0505,0.0005341008111182543,0.9999998248478795,5.945926278321347e-06,2.9820815421478707e-05,3.576674169980005e-05,1.7515212043543178e-07,5.9252640294011486e-06,8.429872973950209e-05,6.962051373655298e-07,3.49170237319593e-06,4.18790751056146e-06
0.0555,0.0007587631804448543,0.999999723755451,9.556735947848811e-06,4.1741147553861306e-05,5.129788350171012e-05,2.762445490492093e-07,9.379260919442998e-06,0.00011975786397082244,1.1189927947133207e-06,4.887447305306178e-06,6.006440100019499e-06
0.0605,0.0010532234077139596,0.9999995783973653,1.4637443497252083e-05,5.8955643853532366e-05,7.359308735078445e-05,4.2160263463718746e-07,1.4212578612806489e-05,0.0001662334030467119,1.7138899615757754e-06,6.903082918665051e-06,8.616972880240827e-06
0.0655,0.0014165772690701822,0.9999993757404687,2.1607039100900182e-05,7.979591274618501e-05,0.00010140295184708519,6.242595313361065e-07,2.0799776423056045e-05,0.00022358263060946675,2.529955959957092e-06,9.343258189596937e-06,1.187321414955403e-05
0.0705,0.001902696642499266,0.9999990936884575,3.0953406649198106e-05,0.00011043912392762878,0.0001413925305768269,9.063115424453624e-07,2.965395103067071e-05,0.00030030830641594156,3.6243168380183887e-06,1.293125441613626e-05,1.655557125415465e-05
0.0755,0.002511423421918989,0.9999987097657818,4.343526748357481e-05,0.0001470259579053249,0.00019046122538889971,1.290234218207505e-06,4.14437333495239e-05,0.00039638547610992126,5.085810847531739e-06,1.721518606663143e-05,2.230099691416317e-05
0.0805,0.0033156303681631414,0.9999981893267702,5.9885768559978266e-05,0.00019854517079354953,0.0002584309393535278,1.8106732297638673e-06,5.7013956138153553e-05,0.0005233158656633946,7.011990693283653e-06,2.3247541499053076e-05,3.0259532192336728e-05
0.0855,0.004310518394353263,0.9999974965826481,8.150603401745946e-05,0.0002594203362298282,0.0003409263702472877,2.5034173518681143e-06,7.74137428124053e-05,0.0006803420208292565,9.543495319835201e-06,3.0375380111724024e-05,3.991887543155923e-05
0.0905,0.005569896265828019,0.9999965817407928,0.00010953640162809198,0.0003402528638283929,0.0004497892654564849,3.418259207273274e-06,0.00010384632352516656,0.0008791133999722368,1.2825555173809062e-05,3.984001494676095e-05,5.2665570120570014e-05
0.0955,0.007080189107123754,0.9999953923484873,0.00014557175420863296,0.0004349110265933978,0.0005804827808020308,4.607651512716375e-06,0.00013770937460588355,0.0011174874398643148,1.7044914180129212e-05,5.092348556610812e-05,6.796839974623733e-05
0.1005,0.008901183285569223,0.9999938614080449,0.00019117855931979807,0.0005541916851107822,0.0007453702444305802,6.138591955127812e-06,0.000180490465526677,0.001404900401819157,2.2384989137497466e-05,6.488999025536428e-05,8.727497939286174e-05
0.1055,0.011010260137594954,0.9999919174997,0.00024820445605459564,0.0006926270725876489,0.0009408315286422445,8.082500300069481e-06,0.0002338175076943927,0.0017377823144612858,2.9062119059944274e-05,8.109931130025824e-05,0.00011016143036020252
0.1105,0.013459256499402621,0.9999894732645387,0.00031840077260586913,0.000861246185391967,0.0011796469579978361,1.0526735461363431e-05,0.00029937141254082647,0.002124314740811298,3.7281365972795476e-05,0.00010084282763351601,0.00013812419360631148
0.1155,0.016221318552659403,0.999986435746937,0.00040378388891733,0.001055181865806598,0.0014589657547239279,1.3564253062938068e-05,0.0003789432606126525,0.0025602592623403535,4.7278826660636344e-05,0.00012355064651708013,0.00017082947317771646
0.1205,0.01937490465418584,0.9999826906472927,0.0005062643210064135,0.0012883789346163337,0.0017946432556227472,1.7309352707235268e-05,0.0004744496534731718,0.0030579991963543595,5.9278202360935474e-05,0.000150855559111751,0.00021013376147268646
0.1255,0.022894511432732783,0.9999781180930747,0.0006281902150274231,0.0015541535860030622,0.002182343801030485,2.1881906925366833e-05,0.0005879958177201927,0.003613509269429978,7.355443617580827e-05,0.00018197496238313022,0.0002555293985589385
0.1305,0.026902807750363175,0.9999725700414075,0.0007718381551518082,0.0018714279929267486,0.002643266148078557,2.7429958592494375e-05,0.0007219272612108036,0.00424615067525056,9.037409205536408e-05,0.00021912444283670105,0.0003094985348920651
