measurement,value,units,note
fitted_endpoint_chi2,4.090825860665153,chi-square,published-summary fitted endpoint versus clean observed delays
fitted_endpoint_p_value,0.12932677600137935,probability,2 degrees of freedom; observational covariance only
shared_lambda_chi2,3.850759455876563,chi-square,1 degree of freedom after fitting one shared lambda
shared_lambda_fit,1.5089846372179667,fraction of fitted external-shear amplitude,fit jointly to clean AB and AD delay outcomes
shared_lambda_p_value,0.049723471078491004,probability,tests whether one shared shear-scaling coordinate fits both clean pairs
