tdcosmo_component,gaia_component,image_x_arcsec,image_y_arcsec,source_x_arcsec,source_y_arcsec,source_offset_mas
A,C,-1.4793161473145258,0.49100000000521504,-0.12895580849428945,-0.10573118181566876,2.928776631401663
B,B,0.827958339747125,-1.2150000000019645,-0.13356657954995876,-0.10435275295804702,2.1139658762865516
C,A,-0.6857605085804204,-1.1850000000009686,-0.13250919357754998,-0.10390404724057767,1.8370445864975726
D,D,0.6949345621838922,0.8710000000093032,-0.13249990673339573,-0.10853612032964921,2.9699002040969007
