pair,lambda,geometric_a_arcsec2,potential_b_arcsec2,total_dphi_arcsec2,traversal_ara,connection_ara,point_type
AB,0.0,0.005415107150372966,-0.1076932046293515,-0.10227809747897854,0.09575082618010865,1.9042491738198914,path
AB,0.025,0.0055241087034649805,-0.10826027808917527,-0.10273616938571029,0.09709783317692035,1.9029021668230797,path
AB,0.05,0.005633110256557439,-0.10882735154899859,-0.10319424129244115,0.09842892764362413,1.901571072356376,path
AB,0.07500000000000001,0.005742111809649453,-0.10939442500882235,-0.1036523131991729,0.09974438989254406,1.900255610107456,path
AB,0.1,0.005851113362741689,-0.10996149846864567,-0.10411038510590398,0.10104449369055554,1.8989555063094445,path
AB,0.125,0.005960114915834147,-0.11052857192846988,-0.10456845701263573,0.1023295064489875,1.8976704935510125,path
AB,0.15000000000000002,0.006069116468926383,-0.1110956453882932,-0.10502652891936681,0.10359968940699742,1.8964003105930025,path
AB,0.17500000000000002,0.006178118022018397,-0.11166271884811696,-0.10548460082609856,0.1048552978086348,1.8951447021913652,path
AB,0.2,0.0062871195751106335,-0.11222979230794072,-0.10594267273283009,0.10609658107383964,1.8939034189261603,path
AB,0.225,0.006396121128203314,-0.11279686576776404,-0.10640074463956073,0.1073237829636051,1.8926762170363949,path
AB,0.25,0.006505122681295106,-0.1133639392275878,-0.1068588165462927,0.10853714173954077,1.8914628582604593,path
AB,0.275,0.00661412423438712,-0.11393101268741113,-0.107316888453024,0.10973689031815408,1.8902631096818459,path
AB,0.30000000000000004,0.006723125787479578,-0.11449808614723489,-0.10777496035975531,0.1109232564198487,1.8890767435801512,path
AB,0.325,0.006832127340571592,-0.1150651596070591,-0.1082330322664875,0.11209646271301837,1.8879035372869817,path
AB,0.35000000000000003,0.00694112889366405,-0.11563223306688242,-0.10869110417321837,0.11325672695341814,1.8867432730465818,path
AB,0.375,0.007050130446756286,-0.11619930652670618,-0.1091491760799499,0.1144042621188491,1.885595737881151,path
AB,0.4,0.0071591319998485226,-0.1167663799865295,-0.10960724798668098,0.11553927653953061,1.8844607234604693,path
AB,0.42500000000000004,0.007268133552940981,-0.11733345344635326,-0.11006531989341228,0.1166619740241695,1.8833380259758306,path
AB,0.45,0.007377135106032773,-0.11790052690617658,-0.11052339180014381,0.11777255398195105,1.882227446018049,path
AB,0.47500000000000003,0.007486136659125009,-0.11846760036600035,-0.11098146370687534,0.11887121154065747,1.8811287884593426,path
AB,0.5,0.007595138212217467,-0.11903467382582411,-0.11143953561360664,0.11995813766091304,1.8800418623390869,path
AB,0.525,0.007704139765309703,-0.11960174728564743,-0.11189760752033773,0.12103351924685059,1.8789664807531494,path
AB,0.55,0.00781314131840194,-0.12016882074547164,-0.1123556794270697,0.12209753925326658,1.8779024607467334,path
AB,0.5750000000000001,0.007922142871494176,-0.12073589420529496,-0.11281375133380078,0.12315037678937803,1.876849623210622,path
AB,0.6000000000000001,0.008031144424586412,-0.12130296766511872,-0.11327182324053231,0.12419220721933084,1.8758077927806691,path
AB,0.625,0.008140145977678426,-0.12187004112494249,-0.11372989514726406,0.12522320225957626,1.8747767977404237,path
AB,0.65,0.008249147530770662,-0.1224371145847658,-0.11418796705399514,0.1262435300732344,1.8737564699267655,path
AB,0.675,0.008358149083862676,-0.12300418804458957,-0.11464603896072689,0.12725335536150953,1.8727466446384904,path
AB,0.7000000000000001,0.008467150636955134,-0.12357126150441289,-0.11510411086745775,0.12825283945235133,1.8717471605476488,path
AB,0.7250000000000001,0.00857615219004737,-0.12413833496423665,-0.11556218277418928,0.12924214038633736,1.8707578596136627,path
AB,0.75,0.008685153743139828,-0.12470540842406042,-0.11602025468092059,0.13022141300001874,1.8697785869999812,path
AB,0.775,0.008794155296232065,-0.12527248188388418,-0.11647832658765211,0.1311908090066773,1.8688091909933227,path
AB,0.8,0.0089031568493243,-0.12583955534370794,-0.11693639849438364,0.13215047707470293,1.8678495229252972,path
AB,0.8250000000000001,0.009012158402416093,-0.12640662880353126,-0.11739447040111517,0.13310056290358352,1.8668994370964165,path
AB,0.8500000000000001,0.009121159955508329,-0.12697370226335503,-0.1178525423078467,0.1340412092976732,1.8659587907023267,path
AB,0.875,0.009230161508600565,-0.12754077572317835,-0.11831061421457778,0.134972556237714,1.865027443762286,path
AB,0.9,0.009339163061693023,-0.1281078491830021,-0.11876868612130909,0.13589474095030357,1.8641052590496965,path
AB,0.925,0.00944816461478526,-0.12867492264282543,-0.11922675802804017,0.13680789797528448,1.8631921020247155,path
AB,0.9500000000000001,0.009557166167877496,-0.12924199610264964,-0.11968482993477214,0.13771215923119273,1.8622878407688073,path
AB,0.9750000000000001,0.009666167720969732,-0.1298090695624734,-0.12014290184150367,0.13860765407878156,1.8613923459212185,path
AB,1.0,0.009775169274061746,-0.3222816294094985,-0.31250646013543676,0.058876489280240134,1.94112351071976,observed-required
AB,1.0,0.009775169274061746,-0.13037614302229672,-0.12060097374823497,0.13949450938270996,1.86050549061729,path
AC,0.0,0.33032923742709563,-0.4742725767087226,-0.14394333928162695,0.8210999071183687,1.1789000928816313,path
AC,0.025,0.33081759640077224,-0.47749993772596877,-0.14668234132519653,0.8185337628687425,1.1814662371312574,path
AC,0.05,0.3313059553744493,-0.4807272987432145,-0.14942134336876522,0.8159911030600305,1.1840088969399694,path
AC,0.07500000000000001,0.33179431434812623,-0.4839546597604607,-0.15216034541233447,0.8134716067787786,1.1865283932212214,path
AC,0.1,0.33228267332180295,-0.48718202077770645,-0.1548993474559035,0.8109749589320394,1.1890250410679606,path
AC,0.125,0.3327710322954799,-0.4904093817949531,-0.1576383494994732,0.8085008501160046,1.1914991498839953,path
AC,0.15000000000000002,0.33325939126915693,-0.4936367428121988,-0.1603773515430419,0.8060489764881851,1.193951023511815,path
AC,0.17500000000000002,0.33374775024283365,-0.496864103829445,-0.16311635358661136,0.8036190396430133,1.1963809603569866,path
AC,0.2,0.3342361092165106,-0.5000914648466912,-0.1658553556301806,0.801210746490782,1.198789253509218,path
AC,0.225,0.33472446819018775,-0.503318825863937,-0.1685943576737492,0.798823809139793,1.201176190860207,path
AC,0.25,0.33521282716386425,-0.5065461868811831,-0.1713333597173189,0.7964579447816286,1.2035420552183713,path
AC,0.275,0.33570118613754096,-0.5097735478984289,-0.17407236176088792,0.7941128755794585,1.2058871244205414,path
AC,0.30000000000000004,0.3361895451112179,-0.5130009089156751,-0.17681136380445717,0.7917883285592636,1.2082116714407363,path
AC,0.325,0.33667790408489484,-0.5162282699329213,-0.17955036584802642,0.7894840355039148,1.2105159644960852,path
AC,0.35000000000000003,0.3371662630585718,-0.519455630950167,-0.18228936789159522,0.7871997328500039,1.212800267149996,path
AC,0.375,0.3376546220322486,-0.5226829919674136,-0.18502836993516503,0.7849351615873468,1.2150648384126532,path
AC,0.4,0.33814298100592577,-0.5259103529846594,-0.1877673719787336,0.7826900671610862,1.2173099328389139,path
AC,0.42500000000000004,0.3386313399796026,-0.5291377140019056,-0.19050637402230297,0.7804641993762979,1.219535800623702,path
