pair,metric,q16,median,q84
AB,geometric_a_arcsec2,0.00440402171153595,0.009531372925497661,0.01439939175678284
AB,potential_b_arcsec2,-0.13725191746115828,-0.13000822356603559,-0.12233743710967436
AB,observed_dphi_arcsec2,-0.40789234526403473,-0.31378688757188183,-0.21486989768935114
AB,parallel_residual_arcsec2,0.09303845122936988,0.19081822470227228,0.28146724738697937
AB,perpendicular_residual_arcsec2,-0.05396924208906509,-0.035809505492894814,-0.01736884940678807
AC,geometric_a_arcsec2,0.3465345428219763,0.349691235170067,0.3528289869906453
AC,potential_b_arcsec2,-0.6099532596229635,-0.6032009556462496,-0.5958074954545576
AC,observed_dphi_arcsec2,-0.20547122126275486,-0.1359535669815041,-0.06502698132009517
AC,parallel_residual_arcsec2,-0.18644222067393604,-0.1154601472472101,-0.047590035995058316
AC,perpendicular_residual_arcsec2,0.007239952736995078,0.017466235329777452,0.02824438982417386
AD,geometric_a_arcsec2,0.2622360723617023,0.26683614203358086,0.2717275727266419
AD,potential_b_arcsec2,-0.9053729440822088,-0.8951204473899946,-0.8848781768826738
AD,observed_dphi_arcsec2,-0.9954147895559111,-0.8420068642106686,-0.6724397896840862
AD,parallel_residual_arcsec2,0.04340610972405514,0.20732391789388835,0.3557250685498235
AD,perpendicular_residual_arcsec2,0.011507144521196635,0.05542037239271254,0.09471815004496269
