parameter,fitted_value,local_sigma
theta_E_arcsec,1.379349372350093,0.0008849399025959116
q,0.6415420482677354,0.004811626660024371
phi_mass_model_deg,52.930095218984874,0.17892007613118563
gamma,2.2123979598701355,0.014673660092792562
shear,0.06399298070947107,0.002730818007121166
phi_shear_model_deg,-31.88022309156618,0.3241454152671495
center_x_arcsec,-0.011014329906337104,0.003652261415775911
center_y_arcsec,-0.005412535868025724,0.004055982130435198
