draw,pair,delay_days,source_rms_arcsec,geometric_a_arcsec2,potential_b_arcsec2,observed_dphi_arcsec2,parallel_residual_arcsec2,perpendicular_residual_arcsec2,tangent_x,tangent_y,normal_x,normal_y
0,AB,-4.533205001402904,0.004435774704123021,0.014363941973795313,-0.1362779828275662,-0.11424643935940963,-0.007527151962695511,0.0014608545467704407,0.19052301398876217,-0.9816827293686274,0.9816827293686274,0.19052301398876217
0,AC,-3.564893733303065,0.004435774704123021,0.3519418357913746,-0.6083344994982887,-0.08984292914141474,-0.16467009435420812,0.02495143501313051,0.14981371827595327,-0.9887142407269824,0.9887142407269824,0.14981371827595327
0,AD,-24.45905120633185,0.004435774704123021,0.2704667192748149,-0.8826327309644686,-0.61642028312598,0.004110716597618413,0.0010958259478613416,-0.2575825177736253,-0.9662563047853296,0.9662563047853296,-0.2575825177736253
1,AB,-13.493127947707698,0.0029751048415454615,0.009689185048300741,-0.12745485834687553,-0.3400556170236019,0.2184658318039913,-0.04105483425208162,0.18469047031145275,-0.9827967389934372,0.9827967389934372,0.18469047031145275
1,AC,-8.1160351203122,0.0029751048415454615,0.34879152232575794,-0.6002366271251836,-0.20454140369222978,-0.0463789756410448,0.006996270152054608,0.14916243253522843,-0.9888127065932018,0.9888127065932018,0.14916243253522843
1,AD,-37.3678295030444,0.0029751048415454615,0.26887620910269505,-0.8838035993463753,-0.9417490420113664,0.31569259615991296,0.08456108321191698,-0.2587377022132712,-0.9659476183796907,0.9659476183796907,-0.2587377022132712
2,AB,-18.030331035957936,0.003559151846200597,0.01037979487185936,-0.129437317425654,-0.45440281670300947,0.32962858784360805,-0.06165598417227799,0.18385820599839287,-0.9829527761225626,0.9829527761225626,0.18385820599839287
2,AC,-7.5340436562870785,0.003559151846200597,0.34822188503753027,-0.6011131396100331,-0.18987397689775146,-0.06231315406889479,0.009394046812897102,0.14907097163705207,-0.9888264991469359,0.9888264991469359,0.14907097163705207
2,AD,-40.098587269046234,0.003559151846200597,0.27099990538277385,-0.8828131570206408,-1.0105699648291555,0.38516078106515156,0.10323802131192758,-0.25889976995171743,-0.9659041925154627,0.9659041925154627,-0.25889976995171743
3,AB,-15.102860989205213,0.0026812469619981864,0.009588295315139161,-0.12960551188834257,-0.3806243246495244,0.2566828745131221,-0.045055151887259885,0.1728853530505588,-0.9849419549905384,0.9849419549905384,0.1728853530505588
3,AC,-7.711199037195163,0.0026812469619981864,0.34864730559287316,-0.6029319202626011,-0.19433867052529427,-0.05928669586212282,0.008865884790572714,0.14789799238479365,-0.9890026207490794,0.9890026207490794,0.14789799238479365
3,AD,-40.10217105250775,0.0026812469619981864,0.2689809817133231,-0.887166656038999,-1.0106602838197565,0.3788736356914985,0.1024260087840813,-0.2609748664152149,-0.9653455956804076,0.9653455956804076,-0.2609748664152149
