gaia_component,tdcosmo_component,ra_deg,dec_deg,east_arcsec,north_arcsec
A,C,309.5110725,-40.13740166666667,-0.6857605085804204,-1.1850000000009686
B,B,309.5116225,-40.13741,0.827958339747125,-1.2150000000019645
C,A,309.51078416666667,-40.13693611111111,-1.4793161473145258,0.49100000000521504
D,D,309.51157416666666,-40.136830555555555,0.6949345621838922,0.8710000000093032
G,G,309.5113216666667,-40.1370725,0.0,0.0
