hidden_component,visible_components,source_sign_changes,minimum_abs_hidden,maximum_shadow_radius,median_shadow_radius,boundary_reached_within_0_001,primary_or_exploratory
w,"x,y,z",0,0.16936797488188435,0.9855528849759456,0.8294739398078737,False,primary
x,"w,y,z",4,1.099997540198151e-05,0.9999999999395002,0.9884784058444134,True,exploratory axis scan
y,"w,x,z",0,0.2857178127391783,0.9583137959371866,0.6105093101891046,False,exploratory axis scan
z,"w,x,y",15,9.99992781199167e-07,0.9999999999995,0.9957094336673689,True,exploratory axis scan
