draw,mae,median_abs_error,p95_abs_error,max_abs_error,rmse,correlation
0,0.028722329412908833,0.022373303015509327,0.0730885872168126,0.11210866539333336,0.03794299767978896,0.06827584323960637
1,0.028587126519421902,0.021753002426250667,0.07310369980933915,0.10988989032581509,0.037867212134846645,0.07309760199430472
2,0.028137239078784078,0.020798814989107572,0.07174888262644233,0.11032046394732292,0.03728971591681022,0.10280995999227581
3,0.02876678189338615,0.02248766249962153,0.07249032285175412,0.11040160519228992,0.03786985662153703,0.0673844177872589
4,0.028317490854423463,0.02115685472229123,0.0728246755383926,0.1067095608803249,0.037570181928307814,0.08729173073529124
5,0.028435911813318247,0.021370117553228374,0.07313451554294424,0.1087569099425903,0.0376832997748945,0.08432045748625301
6,0.028366849896900623,0.021180049254309274,0.07343570665091072,0.11138690569962956,0.03764875421065549,0.08187637513749402
7,0.028412202815387883,0.02118594781474281,0.07246355749717566,0.1107379455833144,0.03765627365664983,0.08262222244525737
8,0.028817211656830967,0.022458319193292775,0.07207688072936524,0.11337516545995219,0.03796568678221779,0.07039626038643328
9,0.028440701907868092,0.0212300447267465,0.07324923014203644,0.11039536974005731,0.03769482264597238,0.0849686408774913
10,0.028333790200018697,0.02092788333491924,0.07273762062061966,0.11040843140251094,0.037610862656200436,0.08186335454116225
11,0.028597737848952167,0.021723588008199513,0.07245248138214695,0.11073065740170634,0.03778159888891338,0.07758883028696914
12,0.028654034189154305,0.021810577990408198,0.0730664360194782,0.11024759051388627,0.03787599077957021,0.07209512285136907
13,0.028569706929957348,0.021611233394478457,0.07271191312113262,0.1120171017776706,0.03777918658871506,0.0851979549284686
14,0.02864260748841311,0.021988625887804703,0.07342048848842365,0.1060523850698149,0.03787379935128691,0.06293427414987811
15,0.028443407596106755,0.021303936626349107,0.07260010989463252,0.111914803957955,0.037629091146283426,0.08336200141502172
16,0.02870951027994318,0.02204130174337321,0.07281282919543366,0.10989581200882975,0.0379130841636264,0.06799143319764185
17,0.02848407859330936,0.021460893270821235,0.0719489009981266,0.10892167453633694,0.03764826511845618,0.07697339328544733
18,0.028471179034547,0.021566499757912694,0.07169631158049393,0.10954929026612714,0.0376999727251374,0.07797301061014572
19,0.02855247040080461,0.021855049268005078,0.07245352054022303,0.11019256828963914,0.037726365140011583,0.07810121968674197
20,0.028799635769998867,0.02181728418473361,0.07278165999876325,0.11048880927643706,0.03797558324036554,0.06951687395884178
21,0.02881360474116539,0.022157546754205115,0.07240998502160144,0.11065612849007511,0.03796850899878818,0.07409096637428385
22,0.028495363750175765,0.021503887485378126,0.07211801653071356,0.10944019031238211,0.03775951006669004,0.08215595659532714
23,0.028312334331206602,0.020953219403981316,0.07265861557498617,0.11069414009223255,0.037588511546169545,0.08845203320677726
24,0.02866216135959633,0.02174700245896688,0.0728773791260918,0.11374213836827912,0.03798907602590673,0.07252051962969645
25,0.028431829351814993,0.021223979954069216,0.0719355501489181,0.11046125110954441,0.03771278897981451,0.08064720435629359
26,0.028571289868381134,0.02159018041842481,0.07231786445285629,0.1089168069673736,0.037689374758131465,0.0810644257162207
27,0.02888120678777331,0.022450067180610267,0.07387535072967051,0.11126166315135877,0.03810770751120687,0.060435536290696444
28,0.028667848423264024,0.021775389174447657,0.07426004825611035,0.10748490776257386,0.03797917288273424,0.06630019881573021
29,0.028788063803501945,0.021713306249689923,0.07318322593732961,0.1071177159218642,0.0380603371467154,0.0662650819512935
30,0.028668562344082483,0.021653996603334336,0.07308797961034025,0.11364876691651332,0.03785675904819591,0.07361254295026075
31,0.028751080176522604,0.022319801795265715,0.0727483505549401,0.10972133913231874,0.03796684886677355,0.07042939109936078
32,0.028777859514775555,0.022635926420263575,0.07266511428143836,0.11064991541261626,0.03784446325447564,0.06992048041049176
33,0.02899565859823898,0.022779770143225853,0.07316464153144245,0.10962437066261105,0.038218065088190804,0.053826843329760475
34,0.028781903506181587,0.02134316372409617,0.0740972338478185,0.11141062845507932,0.038087766469205815,0.05900490302449677
35,0.02843103465871537,0.021548207631835403,0.07228877691163876,0.10736410776131106,0.0376261570325972,0.08395240964620908
36,0.02823069075572726,0.021011701062287558,0.0724759981120051,0.1134139293199577,0.03749898407893332,0.08891285335878245
37,0.028433003768032348,0.021174389727502296,0.07276735527984676,0.11085899202267524,0.03771262578188902,0.078814003620373
38,0.028341835915307888,0.021244036423835655,0.07256447676653384,0.10748903916988123,0.037596398627538594,0.08382227285679751
39,0.028906301734038995,0.021611009597544695,0.07453597309376365,0.10988923124937555,0.03813832753097411,0.06231756724685375
40,0.028567294135913825,0.021669653525903554,0.07220310598411182,0.11347373635331737,0.03772325256878557,0.07600985643073273
41,0.028567974733691683,0.021717463050094366,0.07346969508974248,0.1090282804804143,0.03783924099624944,0.06921814893500014
42,0.02858538997227196,0.02160339194989258,0.07283547874946843,0.1099370742268338,0.037828602473760936,0.07428952735188117
43,0.028706278614582015,0.021955404446283855,0.07300233336350524,0.11040882387016732,0.037965401168522143,0.0736996587343223
44,0.028312932576566353,0.021240709286186932,0.07165617236803265,0.10882592536187402,0.03750179427697057,0.09327338269703776
45,0.028611157423227333,0.021675054756752243,0.07213913187833608,0.10926445479269498,0.03778047533524833,0.07958411011710406
46,0.028418614136684894,0.021524376240837917,0.07231003426414491,0.10834705322030014,0.03767123188417964,0.08303835044704612
47,0.028589476422938607,0.021897468804034925,0.0730887414091808,0.11204407699433278,0.03777495701642881,0.07739331221690995
48,0.02876796277445267,0.02236452209183659,0.07314556360192008,0.11006608120235184,0.0379779639033703,0.06364023714575792
49,0.02826975658992061,0.021214880026575234,0.07273956248872614,0.11001401042200687,0.037552436945843266,0.08551972387525326
50,0.028559365109680254,0.021735629305162818,0.07265159093055057,0.11196182666018328,0.03773221706380698,0.07504302650415082
51,0.028474308001129812,0.02160789506809091,0.07214502560092631,0.10941608469314051,0.037615064600973705,0.08390827722538874
52,0.028443723597912127,0.02088449516720936,0.07363076046045473,0.1093159428998931,0.037875197464626545,0.07108907456643955
53,0.028469443596571675,0.021527428965600115,0.07240741093098817,0.1125703392974563,0.03762498136000107,0.08123266292271215
54,0.02872638995634851,0.02249967880123216,0.07215517227841314,0.11008537781457584,0.0378913091233354,0.07504398485446404
55,0.028075114327441086,0.02055728188909456,0.07190508976158246,0.11084593982442376,0.037362286896985494,0.09077054982662303
56,0.028259851462035756,0.02136042225208923,0.07111077882766312,0.10838972219531512,0.03739004352955379,0.09504411183334585
57,0.028269419022262925,0.020801798603949817,0.07262250776451425,0.11363987105443918,0.03754990433738858,0.0859891786413233
58,0.02856024378801889,0.02201146223866013,0.07204292483446274,0.11150562585695872,0.03769399304270453,0.083835276826306
59,0.028194615562686456,0.02061876946248742,0.07310087703865546,0.11159951684924274,0.037494707259762665,0.0855087816838539
60,0.02862125250238177,0.021539069261439225,0.07283941496505977,0.10886237243713714,0.03790404799335456,0.07214751778626112
61,0.02882249403841982,0.021951808473638756,0.07328596419909766,0.1101101160017553,0.03809962121743884,0.06854728779958048
62,0.02859509718630046,0.021936287832038603,0.07278210681507422,0.11014796738781785,0.03780105969791383,0.07229253280276407
63,0.02859436986655442,0.02199274165326104,0.07224808101011829,0.10997408916010554,0.03772948270150557,0.07488171216008442
64,0.02874027259743356,0.021976575287871447,0.07261953192311897,0.10889713719740074,0.03796571494202651,0.06879786452703969
65,0.028212708540733218,0.021154033201402078,0.07181443801140804,0.10982093323196135,0.03741012740553641,0.0953039130840962
66,0.028265997396014923,0.021045357986173685,0.07243335056761004,0.1099519602449392,0.0374776558204392,0.09363618947874028
67,0.028205865936103476,0.02122816517599102,0.071834857054858,0.10721841324341802,0.037399261569040235,0.0933162331806778
68,0.028657798092809546,0.022072885147642607,0.07257523102439907,0.10744989234676156,0.03785366964939635,0.07482974209073141
69,0.028778395639914602,0.022417377396516835,0.07284614055949831,0.11171261124358195,0.03792180515870835,0.07478205011266997
70,0.028649295488296547,0.02162043698319216,0.07300123643517989,0.11032949162213873,0.03794178110457442,0.06627578867589833
71,0.02846116171308979,0.02117442971929795,0.07220047853850026,0.10813981794321387,0.03765852769035617,0.08137364768461806
72,0.02883898530579879,0.02232163467130588,0.0739156908867861,0.11274270145817977,0.03814890748185404,0.0608970944824789
73,0.028702848356172123,0.022197071906443933,0.07279509323848328,0.1124941268025787,0.037911174398381195,0.07978263187339092
74,0.028453136074028877,0.021495980829619232,0.07308561876040903,0.10713249576730449,0.03767175271243117,0.08102221040253152
75,0.028573343119663953,0.021914572948894984,0.07167844494126777,0.10853192114711202,0.037691193373385216,0.0791168354198994
76,0.028662626468027044,0.022028996736514483,0.07239531588960302,0.11024230644627359,0.037840170069189834,0.0715573409824723
77,0.028640167319207096,0.021631832788367444,0.07290526416198392,0.10942385381733444,0.037868738533280565,0.07497600534087522
78,0.028391051829624092,0.021523240449018988,0.07235277697447866,0.11024725697641663,0.03764660823212242,0.08303453908505565
79,0.028733136234589167,0.022069214014223126,0.0730896164513284,0.10902629105287975,0.037967993389511706,0.07015682320163986
80,0.028542269007913085,0.021517632193959413,0.07310685445970942,0.11089595056470708,0.0377626171404577,0.07753260945397733
81,0.028298175524126133,0.02110306617355684,0.07229399455049831,0.10959628136747956,0.03752324578717798,0.0920672912764302
82,0.02860692619101662,0.02155480972154733,0.07303358240950752,0.1088602562705756,0.03782363898584422,0.0762586861737014
