method,visible_columns,independent_rank,mae,median_abs_error,p95_abs_error,max_abs_error,rmse,correlation
"three independent cuts (x,y,z)",3,3,1.292395213090906e-16,1.1102230246251565e-16,3.3306690738754696e-16,5.551115123125783e-16,1.6617112241316098e-16,1.0
"two cuts (x,y), equal hidden split",2,2,0.14425721971475913,0.15701132302995796,0.1704870517780883,0.17383015601282809,0.14662823515922863,0.21245299853930255
two cuts + redundant x−y,3,2,0.14425721971475913,0.15701132302995796,0.1704870517780883,0.17383015601282809,0.14662823515922863,0.21245299853930255
"three independent cuts, raw recorded values",3,3,1.748541221762369e-06,7.748319800215953e-07,7.275005056839303e-06,4.3969456901882253e-05,3.60698694383035e-06,0.9999999918047396
