salt,valid,fit_success,n_calibration_C,n_holdout_C,n_calibration_AC,n_holdout_AC,n_prompt,n_delayed,left_time_us,mode_time_us,right_time_us,population_local_mode,population_local_mean,population_local_median,population_skewness,holdout_C_events_in_window,holdout_AC_events_in_window,effective_delayed_holdout,holdout_weighted_mode,holdout_weighted_mean,holdout_weighted_median,mean_delayed_weight_C,mean_delayed_weight_AC,median_delayed_weight_C,median_delayed_weight_AC,C_median_weight_greater_than_AC
400,True,True,6198,2718,5934,2598,26.31227914866174,180.876344530696,0.568857971327256,0.7855,1.3828086704815923,0.7063064837018814,1.0925127777611845,1.1142913342567329,-0.16948141966317123,91,62,8.98271115102617,1.875,1.0507515862197472,1.038135527280485,0.0987111115497382,0.0987805511235282,0.09907138381542706,0.09907138381542706,False
401,True,True,6251,2665,5991,2541,37.948986195174484,182.09142331457892,0.62184869956391,0.7855,1.1142334573678674,0.8496564971154434,1.1104954506651297,1.1457363053383758,-0.22570952935771801,49,45,4.812915280871948,1.125,1.0651882706180564,1.0713541544701313,0.09822276083412143,0.09826564709628367,0.09807326294841485,0.09807326294841485,False
402,True,True,6212,2704,5975,2557,66.64424018290431,162.2088290312092,0.7003521825175062,0.7855,0.8959732331927139,1.0348876082427962,1.1038216169601716,1.1340321644456124,-0.23319455758590932,18,9,1.5405295450530805,0.875,0.8031853022941373,0.7600685437431433,0.08558497472517115,0.08558497472517115,0.08558497472517115,0.08558497472517115,False
403,True,True,6278,2638,5970,2562,39.04403402737408,194.92207190321045,0.616474450541513,0.7855,1.1363281583024223,0.834411440220271,1.114221968895639,1.1480083946081912,-0.21921236592439658,56,31,5.8117641955144075,1.875,1.0886380587862896,1.0463340076962844,0.10378150349132874,0.10377650994108273,0.10359855796867896,0.10359855796867896,False
404,True,True,6241,2675,5902,2630,43.733985567683234,140.6364903271583,0.6706597848863334,0.7855,0.9584656576422709,0.9803821405671475,1.124072655265037,1.1613315127130475,-0.24514692531508592,40,23,3.0629833701534523,1.875,1.1869020265458605,1.1739329790868973,0.07657458425383626,0.07657458425383629,0.07657458425383626,0.07657458425383626,False
405,True,True,6272,2644,5957,2575,44.89185844085355,179.00111798061192,0.6455349638652513,0.7855,1.0291378904916704,0.9161705078351534,1.119688066679177,1.1580055136404734,-0.24105676348338465,43,28,4.110432562179224,1.625,1.042850538394701,0.9570606064242209,0.09559145493440059,0.095628739472128,0.09552185713064279,0.09552185713064279,False
406,True,True,6284,2632,5943,2589,55.44927130038594,174.4400000785523,0.6731177226200221,0.7855,0.9525882524362392,0.9857770532443295,1.1173157159857054,1.1557893482118768,-0.24897862175575158,39,21,3.6111376197655423,1.875,0.9506566786307618,0.8777443492016916,0.09259327230168052,0.09259327230168048,0.09259327230168048,0.09259327230168048,False
407,True,True,6281,2635,5973,2559,59.80863635456416,173.38449760502692,0.6820711720518737,0.7855,0.9321820126799975,1.0045308239984272,1.1217594819539367,1.1573283771947012,-0.24308618579851693,22,14,2.004809199874606,0.875,0.9082840131179988,0.8759133927334227,0.09112769090339118,0.09112769090339119,0.0911276909033912,0.0911276909033912,False
408,True,True,6246,2670,5999,2533,29.930107307711946,162.3512538099833,0.6048764848633573,0.7855,1.1878229218381209,0.8017252998865315,1.102149024345655,1.1341216356400365,-0.2122802076225708,62,53,5.496003699025643,0.625,1.0457789370939454,0.8819261025817258,0.0886452209520265,0.08862533118144729,0.08876234960099304,0.08876234960099304,False
409,True,True,6203,2713,5951,2581,49.547856277931935,95.83810463861167,0.7229268658082718,0.7855,0.85907278706725,1.057813896977887,1.085360857438991,1.0935986240794642,-0.19040023266418313,25,8,1.322033611598779,0.375,0.8235141607593959,0.6944185349877321,0.052881344463951166,0.05288134446395117,0.05288134446395117,0.05288134446395117,False
410,True,True,6242,2674,5943,2589,38.58023707027554,208.61595642537958,0.6053254043696414,0.7855,1.18570128743246,0.8030057444782822,1.104447736781365,1.1366570229193378,-0.21290791819741442,59,43,6.567835251710374,0.875,1.01516105926319,0.9357017251895551,0.11131924155441311,0.11136582658207751,0.11108699156141964,0.11108699156141964,False
