axis,removed_bin,valid,local_mode_ara,in_population_ridge_gate
energy,0,True,0.9220670793416339,True
energy,1,False,nan,False
energy,2,True,0.9196718150168753,True
energy,3,True,0.8612938262437685,True
energy,4,True,0.8716163666198827,True
energy,5,True,0.893290396130834,True
time,0,True,1.0175848356392678,True
time,1,True,0.7472781211449625,False
time,2,True,0.9696175098777411,True
time,3,True,0.9079238450413267,True
time,4,True,0.8472501504487009,True
time,5,True,0.8585371968069722,True
time,6,True,0.8987722840733777,True
time,7,True,0.9050290126057444,True
time,8,True,0.8946803971811956,True
time,9,True,0.8906122678911059,True
time,10,True,0.887126619761246,True
time,11,True,0.872132951942386,True
