rank_by_delayed_weight,recoil_pe,recoil_time_us,local_child_ara,delayed_membership_weight
1,10.5498,0.58,0.04090638537230527,0.09907138381542706
2,24.8686,0.718,0.5117325594325219,0.09907138381542706
3,16.7881,0.59,0.07751826688888869,0.09907138381542706
4,8.70151,0.834,0.833958528813978,0.09907138381542706
5,51.1297,0.582,0.04823741136802705,0.09907138381542706
6,38.7435,0.776,0.6801993135869598,0.09907138381542706
7,43.7233,0.708,0.4809248734267513,0.09907138381542706
8,10.0621,0.756,0.623954494176188,0.09907138381542706
9,15.0148,0.586,0.06289061658470918,0.09907138381542706
10,24.4503,0.768,0.6579076320404805,0.09907138381542706
11,57.1988,0.622,0.19311619242879283,0.09907138381542706
12,45.0371,0.618,0.17884112113235806,0.09907138381542706
13,22.491,0.986,1.193856902823769,0.09907138381542706
14,19.6319,0.978,1.1758450702348449,0.09907138381542706
15,12.722,0.7,0.45588514952325726,0.09907138381542706
16,47.5865,0.768,0.6579076320404805,0.09907138381542706
17,35.1691,0.828,0.8186305184332333,0.09907138381542706
18,21.5925,0.916,1.0334450780730997,0.09907138381542706
19,18.5633,0.898,0.9909924486046511,0.09907138381542706
20,14.6876,0.744,0.589305819620387,0.09907138381542706
21,13.6935,0.824,0.8083470045338746,0.09907138381542706
22,53.634,0.642,0.26348229341249435,0.09907138381542706
23,29.6639,0.824,0.8083470045338746,0.09907138381542706
24,15.4179,0.848,0.8692716248303847,0.09907138381542706
25,31.4828,0.614,0.16451131375910888,0.09907138381542706
26,27.1788,0.724,0.5299547370709221,0.09907138381542706
27,9.06317,0.95,1.1121864270869963,0.09907138381542706
28,14.3535,0.648,0.28422576972757885,0.09907138381542706
29,11.4363,0.776,0.6801993135869598,0.09907138381542706
30,18.6756,0.666,0.34535146323632226,0.09907138381542706
31,10.9566,0.846,0.8642694280158743,0.09907138381542706
32,9.98839,0.686,0.4111676305952081,0.09907138381542706
33,8.53367,0.63,0.22147970495098204,0.09907138381542706
34,10.2926,0.922,1.0474656867677294,0.09907138381542706
35,29.1806,0.592,0.0848182649283591,0.09907138381542706
36,17.1675,0.77,0.6635135603758018,0.09907138381542706
37,14.1881,0.636,0.24256769986179466,0.09907138381542706
38,11.2563,0.874,0.9333528605552265,0.09907138381542706
39,38.295,0.764,0.6466620283921515,0.09907138381542706
40,28.1453,0.594,0.09211365393028982,0.09907138381542706
41,37.6753,0.722,0.5239034750950405,0.09907138381542706
42,50.9346,0.84,0.8491725105313901,0.09907138381542706
43,25.7066,0.832,0.8288631027190023,0.09907138381542706
44,54.2433,0.722,0.5239034750950405,0.09907138381542706
45,30.0506,0.674,0.3719397205280571,0.09907138381542706
46,12.9295,0.61,0.15012970312462706,0.09907138381542706
47,17.2084,0.608,0.14291092808218417,0.09907138381542706
48,33.162,0.99,1.202832569842763,0.09907138381542706
49,13.3916,0.964,1.1441396163790354,0.09907138381542706
50,52.1871,0.75,0.6067213219326791,0.09907138381542706
51,22.894,0.854,0.8842272060665514,0.09907138381542706
52,36.672,1.22,1.6886897832723242,0.09825176441098488
53,41.9216,1.186,1.6203835259447505,0.09825176441098488
54,48.6291,1.156,1.559133700470067,0.09825176441098488
55,16.1217,1.318,1.879137234647298,0.09825176441098488
56,23.5061,1.324,1.8904942936039337,0.09825176441098488
57,11.1539,1.19,1.6284804393845693,0.09825176441098488
58,21.1109,1.102,1.4465219386099994,0.09825176441098488
59,13.6316,1.096,1.4338210225164567,0.09825176441098488
60,30.9915,1.154,1.5550158134489709,0.09825176441098488
61,14.9372,1.018,1.2651081542187221,0.09825176441098488
62,19.1816,1.364,1.9653307766420054,0.09825176441098488
63,58.1237,1.218,1.6847020836680346,0.09825176441098488
64,13.6136,1.238,1.7243786182097658,0.09825176441098488
65,26.6974,1.332,1.9055829122548582,0.09825176441098488
66,12.7915,1.202,1.6526719679070547,0.09825176441098488
67,34.2967,1.334,1.9093455373858785,0.09825176441098488
68,15.422,1.176,1.6000696924082185,0.09825176441098488
69,38.7273,1.29,1.8256838889529667,0.09825176441098488
70,40.3784,1.292,1.8295258134576058,0.09825176441098488
71,15.6593,1.084,1.408298668243463,0.09825176441098488
72,51.5488,1.142,1.5302305259569724,0.09825176441098488
73,20.115,1.088,1.41682224063358,0.09825176441098488
74,16.4406,1.174,1.5959930862482457,0.09825176441098488
75,31.7145,1.312,1.867746632361017,0.09825176441098488
76,54.3441,1.324,1.8904942936039337,0.09825176441098488
77,10.4392,1.036,1.3046476627334491,0.09825176441098488
78,59.9019,1.02,1.2695222123152872,0.09825176441098488
79,29.1996,1.144,1.534371821135916,0.09825176441098488
80,32.3647,1.2,1.6486514655511173,0.09825176441098488
81,26.6557,1.266,1.779259060311719,0.09825176441098488
82,11.1985,1.198,1.6446233580865337,0.09825176441098488
83,13.3574,1.182,1.6122687407945036,0.09825176441098488
84,23.9552,1.282,1.810269999025142,0.09825176441098488
85,48.9413,1.308,1.8601328751648294,0.09825176441098488
86,23.4193,1.324,1.8904942936039337,0.09825176441098488
87,42.8791,1.26,1.767564637613501,0.09825176441098488
88,47.8104,1.288,1.8218346769632545,0.09825176441098488
89,58.4157,1.01,1.247415916925305,0.09825176441098488
90,25.3004,1.33,1.9018179057657802,0.09825176441098488
91,13.7122,1.054,1.3438139329782952,0.09825176441098488
