replicate,mode,mean,median
0,0.125,0.98693896843604,0.8744604511067455
1,0.375,1.0486169460690054,1.0051945354454301
2,1.875,1.0340396346574525,0.9333528605552265
3,0.125,0.9627256346851837,0.833958528813978
4,1.625,1.043332238594111,1.1546151971904273
5,0.125,0.9776651111752597,0.9077116820062046
6,0.125,0.987143953984916,0.9012713103931578
7,0.625,0.9181274817544677,0.8548475130785624
8,1.875,1.1359559134443549,1.193856902823769
9,0.875,0.9529191084939349,0.833958528813978
10,0.125,1.0111950608558595,1.0696527750041727
11,1.625,1.1587202263230567,1.266523505628091
12,1.875,1.1778891821067552,1.3176962719295968
13,1.875,1.0601460769037188,1.0474656867677294
14,1.625,1.1073638807821435,1.1121864270869963
15,1.875,1.055003409400525,0.9010681016656517
16,0.875,1.053913960407872,1.03830951641598
17,1.625,1.1080052082241922,1.0591357509785428
18,1.625,1.1380933559332755,1.3655665924382623
19,1.875,1.2115155967560074,1.3046476627334491
20,0.875,1.020841362687832,0.9333528605552265
21,1.875,1.164269995825683,1.1758450702348449
22,1.625,0.9881817589976185,0.9333528605552265
23,0.125,0.9682325317196891,1.006072563932111
24,1.625,1.0137075580881159,0.9333528605552265
25,0.625,1.0414707037897903,0.9668376737004634
26,0.625,0.9646215820526226,0.8414402145606897
27,0.125,0.931724977388524,0.8288631027190023
28,0.625,1.006937869757115,0.8746460428101284
29,0.125,1.0069556854446875,0.9909924486046511
30,0.125,0.9606790235354669,0.8119573988454547
31,0.625,0.9985333133407421,0.8642694280158743
32,1.625,1.059347773536364,1.0474656867677294
33,0.125,0.9595748323935714,0.8392370069190266
34,1.875,1.0383907936936898,0.9909924486046511
35,0.625,1.0621080117838784,1.1599493947827895
36,1.625,1.067708454909222,1.038135527280485
37,1.875,1.0985760547356553,1.1543528973798654
38,1.625,1.040414894781181,1.1121864270869963
39,0.875,1.1010493751514752,1.1758450702348449
40,1.875,1.0884201160758824,1.0382515200374818
41,1.625,0.9839059872620374,0.8642694280158743
42,1.625,1.0803589496714106,1.1758450702348449
43,0.125,1.046118215092865,1.0048433240507577
44,0.625,0.956205532786686,0.8156347775310964
45,1.875,1.1362328626598017,1.266523505628091
46,1.625,1.094794612278617,1.1544840472851463
47,1.875,1.1957732583357485,1.2530150727945673
48,1.625,1.1239868464689877,1.247415916925305
49,1.875,1.0685346664698923,1.1441396163790354
50,0.125,0.9382313373745201,0.8547226159988911
51,1.625,1.1434247650502898,1.202832569842763
52,1.875,1.1220639812382571,1.1441396163790354
53,1.625,1.0782784206464,1.060438608273925
54,1.125,1.1000514675130382,1.1441396163790354
55,0.125,0.9492085499397975,0.833958528813978
56,0.125,0.8885406147963351,0.728900719650588
57,0.125,0.9114495677628881,0.8566447223003607
58,1.625,1.2093984538061682,1.4338210225164567
59,1.625,1.0733711566553108,1.0380195345234886
60,0.125,1.0525972849213718,1.0474656867677294
61,1.625,1.115894102348184,1.122479511128514
62,1.625,1.0348839294261476,0.9347637384737248
63,1.875,1.0083404642425053,0.9125095604601101
64,1.625,1.0320102676447271,1.0055457468401026
65,1.625,1.0037053168581078,0.8660256276088596
66,1.625,1.1279514408082274,1.2665603278438544
67,1.875,1.0432665642503245,0.9016777278481706
68,0.875,1.0727985826400341,0.9909924486046511
69,1.875,1.0683572015966347,1.0044921126560857
70,0.125,0.9404760471474501,0.8447256323212726
71,1.875,1.0560775506678717,1.0334450780730997
72,1.625,1.011255313700849,0.9099920638519081
73,1.875,1.1122242553668011,1.181647223656373
74,1.625,1.0420287865739701,1.1121864270869963
75,1.875,1.0113041174083037,0.9094885645302677
76,0.125,1.0414989567682325,1.1121864270869963
77,1.875,1.0479887376200738,1.0680464673320897
78,1.625,1.0383836475550856,0.9333528605552265
79,0.875,0.9968441894187436,0.8746460428101284
80,1.625,1.0835042222766513,1.1441396163790354
81,0.625,1.0168301309534769,1.0062481696294467
82,1.625,1.0742489386563094,1.0786072693189541
83,1.625,1.0680746197774125,1.1543528973798654
84,1.875,1.0304282796223507,0.8491725105313901
85,0.625,0.981871692131791,0.8222653592678166
86,1.875,1.1827504079210658,1.3046476627334491
