species,particle_index,x_force,channel_cosine,electric_force_N,magnetic_force_N,resultant_force_N,reconstructed_force_N,magnetic_power_W
e,653,0.2401003083324723,-0.060272609094983734,4.048937977845827e-12,5.523901512697659e-13,4.05332246197799e-12,4.053322461977989e-12,8.271806125530277e-25
e,676,0.04953923049127194,0.2813629679262591,9.757479381636711e-12,2.4782760446009147e-13,9.830086007923458e-12,9.830086007923459e-12,0.0
e,698,0.04637061749707728,-0.6135065351507885,8.26820480703934e-12,1.962510217795331e-13,8.149277283166561e-12,8.149277283166563e-12,2.0679515313825692e-25
e,721,0.12666010764808758,-0.08885387730508729,7.488151516569823e-12,5.062883041385395e-13,7.460229341200012e-12,7.460229341200012e-12,1.3234889800848443e-23
e,744,0.15190219759244045,-0.2614856344995506,3.1058002340160692e-12,2.5527755090426537e-13,3.0490209276553245e-12,3.049020927655325e-12,2.6469779601696886e-23
e,766,0.08575925315133903,-0.234203380052881,3.4548835342903736e-12,1.5478107030861644e-13,3.421943399985234e-12,3.4219433999852345e-12,-6.617444900424222e-24
e,789,0.12784335669739938,0.09420224448218398,6.103995591146097e-12,4.168215776334016e-13,6.157260399388474e-12,6.157260399388474e-12,0.0
e,811,0.025738583250783462,-0.07171418777493156,7.173859291383931e-12,9.352610198132975e-14,7.167759202569991e-12,7.1677592025699905e-12,0.0
e,834,0.09075004111833902,0.5152019395502777,4.1152327869967115e-12,1.956043224692488e-13,4.2193403617528954e-12,4.2193403617528954e-12,1.1580528575742387e-23
e,856,0.04852481163680927,-0.6810080809833268,7.066655622722312e-12,1.757173932005844e-13,6.948182215557946e-12,6.948182215557946e-12,-6.617444900424222e-24
e,879,0.09392370731839089,-0.20687895475502352,3.803312672377839e-12,1.874118195857617e-13,3.769003811726704e-12,3.769003811726703e-12,0.0
e,901,0.025579761655372523,0.5565322224882469,7.409165766907208e-12,9.59900484719155e-14,7.463013450620824e-12,7.463013450620822e-12,0.0
e,924,0.6317142352823829,0.5295893498782936,1.5599130948880116e-12,7.201853101552391e-13,2.035167108601256e-12,2.035167108601256e-12,1.3234889800848443e-23
e,946,0.06627502058535102,-0.77644672664776,3.920979419978768e-12,1.3438466924727464e-13,3.8175763220077415e-12,3.8175763220077415e-12,-3.308722450212111e-24
e,969,0.13027470342682448,0.20495776081488787,5.631033119715326e-12,3.923470314072579e-13,5.724343140596921e-12,5.72434314059692e-12,2.6469779601696886e-23
e,992,0.19687227480015648,-0.8309550724763565,4.214049778795882e-12,4.601058230529355e-13,3.840263094132091e-12,3.840263094132091e-12,-6.617444900424222e-24
e,1014,0.1491310622954873,0.7118231218662582,1.2585234427995565e-11,1.0140368889719588e-12,1.3326095301348082e-11,1.3326095301348082e-11,2.6469779601696886e-23
e,1037,0.20889268709193204,-0.8285476553347365,3.9374926459009646e-12,4.592206247382961e-13,3.566287833475808e-12,3.5662878334758084e-12,0.0
e,1059,0.07688207954759813,-0.4430506016376315,6.541461711123805e-12,2.6151343829913385e-13,6.429873627285854e-12,6.429873627285854e-12,0.0
e,1082,0.12633477950733543,0.4067679040490313,4.005576576407303e-12,2.700822046785414e-13,4.1228266491902275e-12,4.122826649190228e-12,0.0
e,1104,0.2792585632441056,-0.7558227681166673,4.7352828409097015e-12,7.684874987377327e-13,4.184804648660564e-12,4.184804648660566e-12,-2.9778502051908996e-23
e,1127,0.165329559705887,-0.7987323428874898,5.133000213052867e-12,4.625553704665406e-13,4.7716656779569634e-12,4.7716656779569634e-12,6.617444900424222e-24
e,1149,0.06807527723288412,-0.7663310438005222,7.276631275348837e-12,2.5640682866842747e-13,7.082054790335607e-12,7.082054790335606e-12,-4.963083675318166e-24
e,1172,0.35637661442241225,0.05729287748677057,2.9988358424166777e-12,6.502188847559381e-13,3.1047112163230546e-12,3.1047112163230546e-12,1.1166938269465874e-23
e,1194,0.2413801633325213,0.888883589508075,4.9287907684601825e-12,6.765034124584902e-13,5.538801515813673e-12,5.538801515813674e-12,2.6469779601696886e-23
e,1217,0.03547588287094416,-0.33042105488554213,1.0746002777196446e-11,1.9405408797514802e-13,1.0683453318713366e-11,1.0683453318713367e-11,-6.2038545941477076e-24
e,1240,0.12771896527954257,0.3588634522104047,4.402817404954054e-12,3.0034128042078404e-13,4.519302002660999e-12,4.519302002660999e-12,-1.3234889800848443e-23
e,1262,0.15055529968758166,-0.9870500367107485,4.925971556314412e-12,4.0100205417774266e-13,4.530619136530886e-12,4.530619136530886e-12,-6.617444900424222e-24
e,1285,0.1028108829829972,-0.24772828677727474,9.99216938657122e-12,5.414872710024373e-13,9.871976704756721e-12,9.871976704756721e-12,-1.3234889800848443e-23
e,1307,0.042539840680375675,0.9219153947991761,1.4495097489636995e-11,3.1500980232976805e-13,1.478601346246889e-11,1.478601346246889e-11,3.308722450212111e-24
e,1330,0.12120471388791186,0.09861716209067964,5.523635395069144e-12,3.563403914355771e-13,5.570075553147515e-12,5.570075553147514e-12,0.0
e,1352,0.12211259437109048,-0.667826671244996,8.652984647585884e-12,5.626739927019519e-13,8.287804519717807e-12,8.287804519717807e-12,2.6469779601696886e-23
e,1375,0.061901487854600624,0.8303260013175597,1.0921572378772532e-11,3.488272529600963e-13,1.121289790865582e-11,1.1212897908655818e-11,0.0
e,1397,0.3792292078861751,0.565960393228273,1.971916248189352e-12,4.61390494237268e-13,2.265211449398401e-12,2.265211449398401e-12,-6.617444900424222e-24
e,1420,0.29396724670100066,-0.9259099485144127,2.759818088992337e-12,4.755454568195543e-13,2.326451339233031e-12,2.326451339233031e-12,1.3234889800848443e-23
e,1443,0.10554486708720152,-0.46866517076155756,9.284808941028019e-12,5.172800920886049e-13,9.053916374210907e-12,9.053916374210905e-12,5.293955920339377e-23
e,1465,0.1611128939523118,-0.17092412817286462,1.2904204967819342e-11,1.1305934984707304e-12,1.275967801548201e-11,1.2759678015482008e-11,-5.293955920339377e-23
e,1488,0.2222271829531593,-0.031803921301215926,9.529815057446268e-12,1.1912567983792526e-12,9.566313944902227e-12,9.566313944902229e-12,-4.301339185275744e-23
e,1510,0.24071498815848316,-0.017594549087942415,1.0754181721057277e-11,1.4714459045659613e-12,1.082869975251418e-11,1.082869975251418e-11,-1.1249656330721176e-22
e,1533,0.2273389619572073,0.04768319552457666,4.993100678379983e-12,6.403515961652961e-13,5.0641902933123104e-12,5.064190293312311e-12,-1.3234889800848443e-23
e,1555,0.13626137280231884,-0.7744324917926975,7.799959399918861e-12,5.702694359205141e-13,7.367163695671967e-12,7.367163695671965e-12,-1.3234889800848443e-23
e,1578,0.26464127471604715,0.29620831870638514,7.277458821471726e-12,1.1098085664637934e-12,7.67969960066956e-12,7.67969960066956e-12,1.832722044687802e-23
e,1600,0.147209617000841,-0.35512427995812895,8.272908476252055e-12,6.573067841062024e-13,8.0629305864204e-12,8.062930586420401e-12,1.3234889800848443e-23
e,1623,0.0617178592678303,0.3854161572769993,2.8371459610944947e-11,9.033905408785309e-13,2.8731736092991652e-11,2.8731736092991655e-11,-1.3234889800848443e-23
e,1645,0.09647121367651296,0.09283604857058882,2.756711188998412e-11,1.3971066582709682e-12,2.7731725089341708e-11,2.773172508934171e-11,-6.617444900424221e-23
e,1668,0.12981711747446872,0.28520069967655454,1.1659164712570678e-11,8.093107734480107e-13,1.1915256993472268e-11,1.1915256993472272e-11,-3.970466940254533e-23
e,1691,0.3026103453499467,0.26836251039427456,4.087628331227545e-12,7.287416991062163e-13,4.340343288720207e-12,4.340343288720207e-12,-6.617444900424222e-24
e,1713,0.23475470948119456,-0.2798589609404947,6.8469217830601774e-12,9.105517191609987e-13,6.6498040694213196e-12,6.6498040694213196e-12,0.0
e,1736,0.2580406268353311,0.12299829298327053,1.0525355110122667e-11,1.5591461386073126e-12,1.082824917873339e-11,1.0828249178733389e-11,-3.546536876321106e-23
e,1758,0.1824398102003573,0.1507992400743252,1.1119788975302397e-11,1.116162315563165e-12,1.1341905109493435e-11,1.1341905109493436e-11,-1.6543612251060553e-23
e,1781,0.09208009835834621,-0.2269270890833119,1.3125348913516903e-11,6.334560575128618e-13,1.2996251631260852e-11,1.299625163126085e-11,8.271806125530277e-24
e,1803,0.5576446684599432,-0.9604565423597569,3.415255521357958e-12,1.3204090498838065e-12,2.1783082646938086e-12,2.1783082646938082e-12,-6.948317145445432e-23
e,1826,0.5150211492902759,-0.9854528741996454,2.77028098411304e-12,9.607903140256835e-13,1.8307636291260155e-12,1.8307636291260155e-12,-2.3161057151484775e-23
e,1848,0.346695420118802,0.45897566169471354,4.5447349355299246e-12,9.530239055621348e-13,5.053586710599999e-12,5.053586710599999e-12,0.0
e,1871,0.3547432003661816,0.25160389322868826,1.0741920344731275e-11,2.316126699501678e-12,1.1544389478765909e-11,1.1544389478765909e-11,1.3234889800848443e-23
e,1893,0.3355850285168029,0.7166239428955643,6.089916023065207e-12,1.227869658276445e-12,7.022252386048799e-12,7.0222523860488e-12,-9.926167350636332e-24
e,1916,0.31360429355790065,-0.5874030861012222,1.3045489422445939e-11,2.4259558292368606e-12,1.1785162169968272e-11,1.1785162169968275e-11,-5.293955920339377e-23
e,1939,0.4112819420432338,-0.18501071764400484,7.706198871573728e-12,1.994954625082048e-12,7.59452527474722e-12,7.59452527474722e-12,-6.28657265540301e-23
e,1961,0.02695577940607331,-0.054807735340657394,2.972207605797137e-12,4.0606374522515115e-14,2.9702588061316985e-12,2.9702588061316985e-12,-2.0679515313825692e-24
e,1984,0.0625797508763826,-0.8122987396457697,6.735539936674232e-12,2.17561683607708e-13,6.560042197858361e-12,6.560042197858363e-12,0.0
e,2006,0.35811751360061955,0.7342444347098054,5.001749163031875e-12,1.0909513858370314e-12,5.849848006454997e-12,5.8498480064549974e-12,-2.6469779601696886e-23
e,2029,0.3714358258709853,0.25672336229039133,6.263700903519546e-12,1.4285976291673656e-12,6.772689256251828e-12,6.772689256251827e-12,0.0
e,2051,0.2600043552438509,0.12129954684507747,1.5990826494938534e-11,2.389479850230004e-12,1.6452531675507637e-11,1.645253167550764e-11,-4.963083675318166e-23
e,2074,0.6027718728378485,-0.9155431336676277,3.0437959025425247e-12,1.3131102366498554e-12,1.9158272267387772e-12,1.915827226738778e-12,-2.6469779601696886e-23
e,2096,0.17298420420910607,0.2684994951931658,9.949396332072396e-12,9.420216348592122e-13,1.0242604170522069e-11,1.0242604170522069e-11,-8.271806125530277e-25
e,2119,0.11930117421481037,0.04822631542929157,1.3416525940526658e-11,8.510705045610063e-13,1.3484391901499086e-11,1.3484391901499084e-11,0.0
e,2141,0.37727356413699853,0.40025495423954033,7.475547326418027e-12,1.7380171551914282e-12,8.324976883536063e-12,8.324976883536064e-12,0.0
e,2164,0.35408092268226343,0.43261321295189387,3.630528806206921e-12,7.810232029275661e-13,4.0303982126630794e-12,4.0303982126630794e-12,1.9852334701272664e-23
e,2187,0.2960147297788454,0.02477368414754587,1.4207537205903856e-11,2.4681200948894858e-12,1.4480440384257026e-11,1.4480440384257026e-11,-3.1763735522036263e-22
e,2209,0.39944615012433937,0.07927552363479222,5.397491099704172e-12,1.3470381145093671e-12,5.665702715201119e-12,5.66570271520112e-12,2.9778502051908996e-23
e,2232,0.16233379714014537,-0.3184568387253839,7.285878632704874e-12,6.436121761985912e-13,7.107151144136703e-12,7.1071511441367034e-12,-1.3234889800848443e-23
e,2254,0.11780663163525061,-0.6707447127775414,3.3564098328613352e-12,2.1007795662374398e-13,3.2192740120556608e-12,3.219274012055661e-12,-4.1359030627651384e-25
e,2277,0.21806160863068114,-0.6292707800688433,4.775551267225709e-12,5.843997730074698e-13,4.431143882049811e-12,4.431143882049811e-12,1.2407709188295415e-23
e,2299,0.2144236762139795,0.7695145566373796,2.5661082398917136e-12,3.0815505057430663e-13,2.810137449779391e-12,2.8101374497793913e-12,0.0
e,2322,0.09830697611660172,-0.43175560671410645,1.2258800616696754e-11,6.337119631342151e-13,1.1998814715634019e-11,1.1998814715634017e-11,0.0
e,2344,0.21291640832830427,-0.8146690555646928,5.4905737940506015e-12,6.541570060509666e-13,4.972145679496181e-12,4.972145679496181e-12,7.444625512977249e-24
e,2367,0.13829927336681044,0.6704615582849001,4.57651770540335e-12,3.3997358659909456e-13,4.811073903563369e-12,4.811073903563369e-12,1.1580528575742387e-23
e,2389,0.17788427836306028,0.3461735644931504,6.735337453122554e-12,6.575381728796279e-13,6.990232721931887e-12,6.990232721931887e-12,-1.3234889800848443e-23
e,2412,0.06483919034464883,0.18459215101548235,1.1030739253988117e-11,3.695941952539362e-13,1.1104905889065432e-11,1.1104905889065432e-11,-6.617444900424222e-24
e,2435,0.060405394563395824,0.012724980164144688,9.587467273178715e-12,2.98585457949158e-13,9.595912517280495e-12,9.595912517280496e-12,0.0
e,2457,0.18343581972753298,-0.6685251083037699,3.4492284203947702e-12,3.4830150764489793e-13,3.226793558125105e-12,3.226793558125105e-12,-1.3234889800848443e-23
e,2480,0.16684016343170646,-0.5961309008978145,4.1480718522108906e-12,3.7752571922199854e-13,3.934709549175861e-12,3.934709549175861e-12,-3.143286327701505e-23
e,2502,0.16077930595332318,-0.7393985547912982,4.2388500388873365e-12,3.70547900803049e-13,3.972708552033074e-12,3.972708552033075e-12,0.0
e,2525,0.07067683948999379,0.09976596255205158,1.39164457101305e-11,5.098007528537129e-13,1.397651459054405e-11,1.397651459054405e-11,4.632211430296955e-23
e,2547,0.22681969506445718,-0.04324904254135529,1.0507567819308623e-11,1.3440953083061238e-12,1.0535366452541038e-11,1.0535366452541038e-11,-7.361907451721946e-23
e,2570,0.10584231154528134,0.6140213972246086,2.1055795169232208e-11,1.1765620390103976e-12,2.1798019734450685e-11,2.1798019734450685e-11,2.3988237764037803e-23
e,2592,0.12349310982847486,0.7277694813771874,9.949154018127908e-12,6.547548406543686e-13,1.043533056957522e-11,1.0435330569575222e-11,-2.9778502051908996e-23
e,2615,0.2686781446189195,-0.35895727677618705,3.1059760819811126e-12,4.820062129659555e-13,2.967259290828396e-12,2.967259290828396e-12,-1.3234889800848443e-23
e,2638,0.09055650545788307,0.6643723947432184,2.2231479115791102e-11,1.0543412599746586e-12,2.2945489752078864e-11,2.2945489752078868e-11,3.639594695233322e-23
e,2660,0.1318428143412477,-0.24952668746001935,4.9939812566211725e-12,3.5244386751546436e-13,4.917894121472718e-12,4.917894121472717e-12,0.0
e,2683,0.12471192571964627,0.6696577099385317,9.036637533957941e-12,6.009617852034867e-13,9.449622118427867e-12,9.449622118427867e-12,-9.926167350636332e-24
e,2705,0.23325239473287349,0.9388644718892223,6.70855181288683e-12,8.856872203366153e-13,7.546255440591009e-12,7.54625544059101e-12,5.293955920339377e-23
e,2728,0.11094044234595762,0.12807667873508238,1.2807336234836751e-11,7.521475653900012e-13,1.2925212354869938e-11,1.2925212354869937e-11,-3.639594695233322e-23
e,2750,0.09469225801996715,-0.15630332389195653,1.0205447990765595e-11,5.07202533773706e-13,1.0138555098330032e-11,1.0138555098330032e-11,0.0
e,2773,0.09107510312015898,0.7206107433607895,1.6266536341999136e-11,7.760789736552102e-13,1.683438895725322e-11,1.683438895725322e-11,-5.169878828456423e-24
e,2795,0.09654030866650888,0.27240893347778156,2.2815985101996375e-11,1.1571888043156286e-12,2.3157995654341715e-11,2.3157995654341715e-11,1.3234889800848443e-23
e,2818,0.08292350604008888,-0.7856252899734081,4.543207573048218e-12,1.965173021587941e-13,4.3905024649419415e-12,4.3905024649419415e-12,-4.1359030627651384e-25
e,2840,0.02541354631079096,0.5842673935719895,9.850747105019734e-12,1.267822015498906e-13,9.92535513994017e-12,9.92535513994017e-12,-7.444625512977249e-24
e,2863,0.14850712247353626,0.7152571081562952,4.493905675431098e-12,3.6045345279284055e-13,4.7583951622434735e-12,4.7583951622434735e-12,0.0
e,2886,0.07901272788523188,-0.3325468840472165,8.736655370268602e-12,3.5935010263662006e-13,8.623816190980821e-12,8.62381619098082e-12,-1.3234889800848443e-23
e,2908,0.4035313475473402,0.2079872753583859,5.117424256679906e-12,1.293505577511315e-12,5.533054910173432e-12,5.533054910173432e-12,1.3234889800848443e-23
e,2931,0.039040538525683795,-0.5602063300128728,7.901623440083308e-12,1.573126015038016e-13,7.814582481781344e-12,7.814582481781346e-12,4.963083675318166e-24
e,2953,0.0771726651390552,-0.07768207719686049,2.762249810877135e-12,1.1086288187215506e-13,2.755855090505993e-12,2.7558550905059924e-12,-3.308722450212111e-24
e,2976,0.16636132627217584,-0.9824183817094282,2.3716720764879026e-12,2.1517571470341838e-13,2.1606529754898066e-12,2.1606529754898062e-12,-6.617444900424222e-24
e,2998,0.3561268070121737,-0.358362408681555,3.103253581522075e-12,6.722853040311931e-13,2.930335742286048e-12,2.930335742286048e-12,4.301339185275744e-23
e,3021,0.09903446178804819,-0.2688117452533441,4.2847734310540255e-12,2.232235262020049e-13,4.230235872052256e-12,4.230235872052256e-12,4.963083675318166e-24
e,3043,0.14636367510713008,-0.4892737792027915,5.127362117747149e-12,4.04858036649623e-13,4.941905572521031e-12,4.941905572521032e-12,-1.3234889800848443e-23
e,3066,0.3087893365346815,0.1552383439067504,5.9376728794286145e-12,1.084128730149964e-12,6.199185059949783e-12,6.199185059949783e-12,4.963083675318166e-24
e,3088,0.2907602800444381,-0.5670463625332323,6.209193557432035e-12,1.0562514061257584e-12,5.67730915161959e-12,5.6773091516195915e-12,3.1122670547307666e-23
e,3111,0.25105848786111806,0.12838826373824067,1.102032092757984e-11,1.5819540497033637e-12,1.133254613234616e-11,1.1332546132346157e-11,0.0
e,3134,0.6605232252904304,-0.7246575686520951,7.313900795473083e-12,3.6066331526558953e-12,5.316963932687507e-12,5.316963932687508e-12,-3.1763735522036263e-22
e,3156,0.30939835320336345,-0.04307424998473348,1.858842127268211e-11,3.401881774642582e-12,1.8752454557735302e-11,1.87524545577353e-11,-2.6469779601696886e-23
e,3179,0.49328003748202015,0.4071373873013505,6.307479766540899e-12,2.0649848233621253e-12,7.392852637322005e-12,7.392852637322007e-12,7.279189390466644e-23
e,3201,0.018800234487099134,-0.03132888064902775,1.4666815258711935e-11,1.3917807322744325e-13,1.4663114851158093e-11,1.4663114851158096e-11,-1.6543612251060553e-24
e,3224,0.48018940686661993,-0.9450720928020361,6.690333190259814e-12,2.1138338822520486e-12,4.7432008849331345e-12,4.7432008849331345e-12,0.0
e,3246,0.29078545255104765,-0.03523547572996139,1.833716918434646e-11,3.1196680649212423e-12,1.8491964461896134e-11,1.8491964461896134e-11,-1.5881867761018131e-22
e,3269,0.4658798120223637,-0.08828376856347024,4.760384182296809e-12,1.4456278623947035e-12,4.851392056788945e-12,4.851392056788944e-12,0.0
e,3291,0.5389089264276795,0.5711629745330238,2.176954318016877e-12,8.029479719810957e-13,2.7167295901054223e-12,2.7167295901054227e-12,-6.948317145445432e-23
e,3314,0.4659292051568661,-0.8743433785424649,1.6510073797362023e-12,5.014452779718479e-13,1.236750868168308e-12,1.2367508681683077e-12,0.0
e,3336,0.08697432764815095,-0.15139877179613098,5.551646939649039e-12,2.5240161012699824e-13,5.519075727371042e-12,5.519075727371041e-12,2.6469779601696886e-23
e,3359,0.022875321139395794,-0.49312313986039696,7.135341701956766e-12,8.255586236759119e-14,7.0949950114174644e-12,7.094995011417464e-12,8.271806125530277e-25
e,3382,0.11411101057600868,0.8736894452235079,2.302544059834323e-12,1.3932189595302268e-13,2.425215414499348e-12,2.425215414499348e-12,-8.271806125530277e-25
e,3404,0.13706047636568133,0.37910689913568874,2.782713772922633e-12,2.0473025048181034e-13,2.8665953901590505e-12,2.8665953901590505e-12,0.0
e,3427,0.2897385930891455,-0.8857312056654864,5.165998240152466e-12,8.751814523525618e-13,4.409577033783767e-12,4.409577033783767e-12,0.0
e,3449,0.17633192933567413,-0.15958390201237543,9.787991989618258e-12,9.464088008201994e-13,9.682142554332977e-12,9.682142554332977e-12,-2.6469779601696886e-23
e,3472,0.13916284382140126,-0.575856026520653,7.366621335942559e-12,5.509133193419447e-13,7.063748435768011e-12,7.063748435768011e-12,3.970466940254533e-23
e,3494,0.09437229435488377,-0.7279897840515673,4.977039374972329e-12,2.464776427837087e-13,4.800581205031222e-12,4.800581205031222e-12,5.790264287871194e-24
e,3517,0.5227765203719582,-0.7967857014242713,3.413632491596945e-12,1.2080548003712038e-12,2.5574646825653577e-12,2.557464682565358e-12,2.6469779601696886e-23
e,3539,0.30790161374719643,-0.5767743610090923,2.7064059174592467e-12,4.924694427999801e-13,2.455541443414557e-12,2.4555414434145565e-12,-2.6469779601696886e-23
e,3562,0.13697081795435648,0.13648797549090147,9.669067474884742e-12,7.108745765520599e-13,9.791450716112866e-12,9.791450716112867e-12,0.0
e,3584,0.19542254482684593,-0.6728661665257593,5.237458100327185e-12,5.671784203309287e-13,4.873916525160318e-12,4.873916525160318e-12,-1.3234889800848443e-23
e,3607,0.1166931827043684,-0.15671764124629042,8.03604802056162e-12,4.979284369771767e-13,7.973194331003246e-12,7.973194331003245e-12,-6.617444900424222e-24
e,3630,0.16649476080004227,-0.390905168798676,3.831771193294146e-12,3.479509164350013e-13,3.709606094941058e-12,3.7096060949410584e-12,0.0
e,3652,0.0799660118911018,-0.664224185500363,4.270411061868036e-12,1.7785505041479708e-13,4.1544034094139395e-12,4.1544034094139395e-12,3.308722450212111e-24
e,3675,0.11554917188562833,0.31636542980314536,7.90097224523207e-12,4.844651748973575e-13,8.067341686062748e-12,8.067341686062748e-12,0.0
e,3697,0.1535205212568819,-0.5314792780321058,4.3748385679995195e-12,3.6373407075781194e-13,4.192857328106636e-12,4.192857328106636e-12,2.6469779601696886e-23
e,3720,0.11886461630876073,0.6740207496780521,4.534140458043196e-12,2.865019022595737e-13,4.731984011216524e-12,4.731984011216524e-12,-8.271806125530277e-25
e,3742,0.18598699946621053,-0.6351444562614987,3.7544917586332e-12,3.8494027137805946e-13,3.5225694994967706e-12,3.522569499496771e-12,0.0
e,3765,0.033830264666776404,0.20016574279271465,3.4722942933300453e-12,5.974491054017997e-14,3.4847448466015413e-12,3.4847448466015413e-12,9.926167350636332e-24
e,3787,0.12793528041969446,0.7310189520342292,8.559384311739041e-12,5.849409054553222e-13,8.995846294614086e-12,8.995846294614086e-12,-1.6543612251060553e-24
e,3810,0.13074512114596884,-0.20003582088291205,8.26062653386855e-12,5.777899146500437e-13,8.164697624411845e-12,8.164697624411845e-12,1.3234889800848443e-23
e,3832,0.29874434654433424,-0.2416779567882683,3.355607401189587e-12,5.892522609940815e-13,3.2636758376861917e-12,3.2636758376861913e-12,1.3234889800848443e-23
e,3855,0.24758804394282502,-0.31299935191269784,4.275691374543941e-12,6.040874466003725e-13,4.126690156992755e-12,4.126690156992754e-12,0.0
e,3878,0.46512499457815315,-0.9291895854298279,1.9292639428327737e-12,5.846397118853935e-13,1.4027658034205898e-12,1.4027658034205902e-12,-6.617444900424222e-24
e,3900,0.17225638158475515,-0.5977881137462664,7.701627879580783e-12,7.258428028320181e-13,7.290983748143759e-12,7.290983748143757e-12,-6.617444900424222e-24
e,3923,0.3357370812251133,-0.5932257370814543,3.873605159654721e-12,7.81434757362954e-13,3.4675790604614395e-12,3.4675790604614395e-12,0.0
