species,particle_index,x_force,channel_cosine,electric_force_N,magnetic_force_N,resultant_force_N,reconstructed_force_N,magnetic_power_W
e,0,0.21132178773967775,-0.47612048627535586,6.0746641663302124e-12,7.176857652472093e-13,5.767593312856995e-12,5.767593312856996e-12,3.970466940254533e-23
e,22,0.055620468089773174,-0.9158776143466422,1.0424025433646085e-11,2.981872440456575e-13,1.015162825291057e-11,1.0151628252910569e-11,6.617444900424222e-24
e,45,0.15207334047175464,-0.03704971733537611,5.758045389195658e-12,4.738527865313175e-13,5.759986578989701e-12,5.759986578989701e-12,0.0
e,67,0.10965491780575937,-0.8980478402088358,4.3402002466452945e-12,2.5176583142903807e-13,4.11559292173177e-12,4.11559292173177e-12,1.406207041340147e-23
e,90,0.23499939763292976,-0.3697232626952057,6.411305133849274e-12,8.53627382605362e-13,6.147082377897195e-12,6.147082377897194e-12,3.949787424940707e-23
e,112,0.2663521491442384,-0.2772532346715451,1.2146747051136243e-11,1.8661876346944203e-12,1.1766754312107658e-11,1.1766754312107658e-11,5.293955920339377e-23
e,135,0.33960513064424785,-0.7224432628248411,4.528255766190864e-12,9.26176609823243e-13,3.9119177515231364e-12,3.911917751523137e-12,0.0
e,157,0.2508638293587594,-0.552835751947393,7.051241263471093e-12,1.011299986117358e-12,6.5466232337681194e-12,6.54662323376812e-12,-5.293955920339377e-23
e,180,0.2861199169953204,-0.6364571597300104,2.440326732473746e-12,4.0739494499099283e-13,2.2035569766945775e-12,2.203556976694577e-12,-4.342698215903395e-24
e,202,0.19818344456954837,-0.19215893129416628,8.14046827238752e-12,8.953775220726964e-13,8.016714509027903e-12,8.016714509027904e-12,9.926167350636332e-24
e,225,0.36806768677827173,0.24577834713749455,7.45710341709745e-12,1.6818827487880514e-12,8.03755012631882e-12,8.03755012631882e-12,-1.224227306578481e-22
e,248,0.4227042888507926,-0.6039651569999545,5.294305442159344e-12,1.4188370646467481e-12,4.579201894365308e-12,4.579201894365308e-12,2.6469779601696886e-23
e,270,0.17907320825390438,-0.37452886077203706,8.125025342897151e-12,7.990295721343582e-13,7.86075701423316e-12,7.86075701423316e-12,3.0605682664462024e-23
e,293,0.40507559972268026,-0.4589816363278637,4.282483632689158e-12,1.0876563337500475e-12,3.904728974616537e-12,3.904728974616537e-12,5.293955920339377e-23
e,315,0.25745846209624285,-0.9086375718586593,5.8516329757138095e-12,8.645718876184101e-13,5.078898709294803e-12,5.078898709294803e-12,6.617444900424222e-24
e,338,0.14496199617945343,0.6183217290380918,9.921105272322953e-12,7.752850462472589e-13,1.0418314072824172e-11,1.0418314072824172e-11,6.591595506281939e-24
e,360,0.16183406827329383,-0.12195431069332484,1.0771216749923483e-11,9.483092885178823e-13,1.0697056118789856e-11,1.0697056118789856e-11,-6.617444900424221e-23
e,383,0.1293447137964732,-0.7023455924830267,9.081774013135976e-12,6.279507877035533e-13,8.652289755999534e-12,8.652289755999535e-12,0.0
e,405,0.02651665017864597,-0.9775573908285491,6.163670649135409e-12,8.281797687034272e-14,6.082736345842333e-12,6.082736345842333e-12,8.271806125530277e-25
e,428,0.05175222725312376,0.041295060996927736,4.904662644976751e-12,1.3028487410760257e-13,4.911768029387729e-12,4.911768029387728e-12,-2.0679515313825692e-25
e,450,0.03809088349663703,-0.7320917463404081,9.874961129863664e-12,1.9172447427220632e-13,9.735477305943676e-12,9.735477305943676e-12,1.3234889800848443e-23
e,473,0.12276119720469446,-0.9300607554948939,7.905186851074228e-12,5.169561808117488e-13,7.42681525247246e-12,7.42681525247246e-12,-1.3234889800848443e-23
e,496,0.1597148975881862,0.3072588448103746,5.293140441881962e-12,4.593817460604994e-13,5.451844769810965e-12,5.451844769810965e-12,6.617444900424222e-24
e,518,0.25125480569452663,-0.948189827813048,6.530095098279796e-12,9.382257520580028e-13,5.648349661609427e-12,5.6483496616094275e-12,1.3234889800848443e-23
e,541,0.5361348214150561,-0.7555062035927493,6.065577670918335e-13,2.2214937884652001e-13,4.622327790012844e-13,4.622327790012844e-13,1.3234889800848443e-23
e,563,0.013398098993942629,0.46114743024142546,8.020676536168094e-12,5.409328269320192e-14,8.045764686186082e-12,8.04576468618608e-12,-8.271806125530277e-25
e,586,0.251312487886905,-0.35880992244771015,3.8166327217209915e-12,5.485070705898875e-13,3.655850660313156e-12,3.655850660313156e-12,0.0
e,608,0.12385571441785383,-0.8556746583640235,7.651817879787134e-12,5.051431157930777e-13,7.224311110718207e-12,7.224311110718209e-12,5.293955920339377e-23
e,631,0.19081183420777792,0.33087680067262903,4.1984287437905215e-12,4.4280075701386744e-13,4.364988086055951e-12,4.36498808605595e-12,1.3234889800848443e-23
