z_index,y_index,x_index,active_interior,occupancy_cic,relative_field_gradient,particle_first_e_magnitude_N_per_m3,field_first_e_magnitude_N_per_m3,particle_first_b_magnitude_N_per_m3,field_first_b_magnitude_N_per_m3,particle_first_total_magnitude_N_per_m3,field_first_total_magnitude_N_per_m3,total_residual_magnitude_N_per_m3,particle_first_total_x_N_per_m3,particle_first_total_y_N_per_m3,particle_first_total_z_N_per_m3,field_first_total_x_N_per_m3,field_first_total_y_N_per_m3,field_first_total_z_N_per_m3
0,0,29,0,12.34526979568819,6.2759758675615025,1321172311377.2634,646199635607.3453,206902609677.0173,87471291244.11317,1306712668675.7163,659732077168.0974,799737426432.862,-1159125472462.0708,143846615652.55948,585862004854.8107,-639307039851.0919,-153109186035.16296,55592261988.6682
0,0,30,0,12.452413200441129,3.347615473639166,1141437645528.0957,192169023865.6755,9189111401.28195,26504804710.227234,1142944627302.823,195145377037.81516,1043018393359.5834,-1013790931901.082,208616219585.14008,484798556517.58014,-171832803273.50845,-63123229549.25757,-67606684504.34846
0,0,31,0,12.547840893413321,5.01328711308274,1045129223604.8303,133222130826.1275,38274583848.07729,42778295118.594635,1060982501560.4945,131968470462.70074,1167487371953.4768,-1036804274525.6517,69425440067.73227,-214244890754.2566,110236332609.33139,72476869370.40695,3275908328.166256
0,1,0,0,0.0,0.08405384940496284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,0,0.0,0.08048637941913957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0,1,2,0,0.0,0.09245871209113424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,3,0,0.0,0.15199847776966105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0,1,4,0,0.0,0.2402840985314809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,5,0,0.0,0.19961425943467928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,6,0,0.0,0.2601816469353325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0,1,7,0,0.0,0.22123422054445097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,8,0,0.0,0.09114233647935663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,9,0,0.0,0.1054625748983343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,10,0,0.0,0.10610984934961869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,11,0,0.0,0.09210933091759285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,12,0,0.0,0.09603055322526775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,13,0,0.0,0.13794065141878273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,14,0,0.0,0.20255836189977822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
0,1,15,0,0.0,0.18143905155726248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,1,16,0,0.0,0.28013166655985416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0
0,1,17,0,0.0,0.4472159677519144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
