z,y,x,component,target_N_per_m3,flat_N_per_m3,first_moment_N_per_m3,marginal_N_per_m3,joint_N_per_m3,pyramid_N_per_m3,reassembled_N_per_m3,absolute_charge_density_C_per_m3,mean_abs_E_V_per_m,charge_sign_mean,field_sign_mean,joint_sign_mean,phase_coupling_covariance,amplitude_relation_covariance_V_per_m,phase_correction_N_per_m3,amplitude_correction_N_per_m3,mutual_information_bits,p_AA,p_AB,p_BA,p_BB,mean_abs_E_AA_V_per_m,mean_abs_E_AB_V_per_m,mean_abs_E_BA_V_per_m,mean_abs_E_BB_V_per_m
1,1,23,x,-277663525197.7878,-845423533173.186,-1327777824003.2793,-896157315612.1166,-896157315612.1166,-277663525197.7809,-277663525197.7877,1096246.1218080008,157672353.7309068,0.005184664204271386,-1.0,-0.005184664204271386,0.0,564192.4546964585,0.0,618493790414.3289,0.0,0.0,0.5025923321021357,0.0,0.4974076678978643,nan,157111071.33694682,nan,158239486.57897976
1,1,23,y,734736213070.7251,-406965739866.21545,-107338356832.64374,-238390245111.57925,-242776478969.7432,734736213070.7253,734736213070.7251,1096246.1218080008,43253642.163931124,0.005184664204271386,-0.9696993255538563,-0.005120069492299798,-9.250411019461405e-05,891690.9009705689,-4386233858.163919,977512692040.4683,1.0342420657651145e-07,0.0075913172895288265,0.49500101481260694,0.007559019933543062,0.48984864796432126,10366176.264321316,42882702.28874859,8562658.658009859,44673477.94763312
1,1,23,z,145903994702.31015,106456473145.29732,-348362137105.2207,93926916811.3042,-137631598823.6654,145903994702.30872,145903994702.31018,1096246.1218080008,20996919.172896028,0.005184664204271386,0.7870562765457382,-0.005979357339235834,-0.010059979842989644,258642.2773914585,-231558515634.9696,283535593525.9756,0.0001919351904858817,0.4465653958526935,0.0560269362494423,0.4469627424201757,0.05044492547768869,22622206.374298558,10265555.637607688,22052766.198109187,9172620.135389747
1,1,24,x,-6502201045146.505,-7900767225500.285,-8448821754170.76,-7183008790744.726,-7183008790744.726,-6502201045146.505,-6502201045146.505,3092666.8175808517,107625759.87272258,0.021580277876979526,-1.0,-0.021580277876979526,0.0,220136.14325605333,0.0,680807745598.221,0.0,0.0,0.5107901389384898,0.0,0.48920986106151026,nan,107410273.97501756,nan,107850751.39556144
1,1,24,y,-3436789008581.442,-67189392261.47992,-385239755873.3269,-904031922795.7885,-3790901551261.1035,-3436789008581.4434,-3436789008581.4424,3092666.8175808517,21847372.18925169,0.021580277876979526,-0.6200038578778366,-0.0561061106747715,-0.04272625513696847,114500.70879496029,-2886869628465.3154,354112542679.6617,0.002141190038861372,0.08636757733109283,0.4244225616073969,0.10363049372998888,0.38557936733152137,9338613.013639743,24633901.823039416,9882588.900703331,24797741.623400003
1,1,24,z,-387508501463.90826,775808306166.1877,674152966086.8042,358712834224.03186,-1400325255207.194,-387508501463.91547,-387508501463.90845,3092666.8175808517,27759259.6057227,0.021580277876979526,0.19361939989366336,-0.01631127494800287,-0.020489635400082147,327489.772899472,-1759038089431.226,1012816753743.2859,0.00031484550680213694,0.29972210070566,0.21106803823282977,0.29708759924117173,0.1921222618203386,32712477.099461474,23695071.271627165,30095524.6467725,20884242.345823646
1,1,25,x,692450386983.6586,1577203771992.6985,2576940541626.3784,2406697502548.5903,2406697502548.5903,692450386983.6536,692450386983.6584,3240992.336815402,65692128.199055985,-0.011303948530194924,-1.0,0.011303948530194924,0.0,-528926.6179658266,0.0,-1714247115564.932,0.0,0.0,0.49434802573490255,0.0,0.5056519742650974,nan,66227102.134857096,nan,65169113.70995549
1,1,25,y,-2282507852993.026,797513040509.996,354455090911.04,222573426024.35062,-2574683727837.1357,-2282507852993.022,-2282507852993.026,3240992.336815402,14340580.955265218,-0.011303948530194924,-0.42364139533153516,-0.05539609336763654,-0.060184913895724175,90150.12825707626,-2797257153861.4863,292175874844.10974,0.0031907159936200094,0.12741464069265837,0.3669333850422442,0.16076466164157407,0.34488731262352335,11040535.349017773,15880656.191226091,10545094.575056886,15690439.799815215
1,1,25,z,1494558954503.98,457400251734.4104,732198124517.9012,185764975337.76193,634968797139.0032,1494558954503.9807,1494558954503.9805,3240992.336815402,14647425.210488083,-0.011303948530194924,-0.3461739387723003,0.013375594403119698,0.009462462016742768,265224.3720543968,449203821801.24133,859590157364.977,7.338916511154953e-05,0.1639744267751561,0.3303735989597465,0.16293860383869374,0.3427133704264037,15648628.627072377,15314292.400298048,12481409.967702018,14555337.848231766
1,1,26,x,2123018211297.4028,616494320666.6637,1330092566544.8918,557420725979.0603,557420725979.0603,2123018211297.3918,2123018211297.4028,3211941.4308626503,73449821.65888572,-0.0023627879620885515,-1.0,0.0023627879620885515,0.0,487430.27200774977,0.0,1565597485318.3425,0.0,0.0,0.4988186060189557,0.0,0.5011813939810442,nan,72961236.96484442,nan,73936102.95130953
