z,y,x,active,null_005,null_010,null_020,E_magnitude_V_per_m,cB_magnitude_V_per_m,u_E_J_per_m3,u_B_J_per_m3,electric_energy_fraction,abs_cos_EB,impedance_ratio_cB_over_E,i1,i2,poynting_magnitude_W_per_m2,poynting_to_min_stress_axis_angle_deg,shear_fraction_total,shear_fraction_E,shear_fraction_B,stress_eigenvalue_min_Pa,stress_eigenvalue_mid_Pa,stress_eigenvalue_max_Pa
0,0,0,1,0,0,0,640939.2055793919,172806.04526271587,1.8186637481255565,0.13220156523534102,0.9322343965367923,0.4100043045830912,0.2696137851428574,0.8644687930734339,0.2061036241740769,268151260.58455658,1.2074182697257333e-06,0.8034435516438916,0.8164966184924617,0.43559393987737505,-1.9508653133608975,-1.7337310493607214,1.7337310493607216
0,0,1,1,0,0,0,435577.69920008833,253598.23051350875,0.8399433723793008,0.28471554028105683,0.7468427653255616,0.2259697925055759,0.5822112357433044,0.4936855306506719,0.19651248302580393,285627572.07404447,1.7075472925031877e-06,0.5882445232432628,0.5870929670815509,0.6145496745484624,-1.1246589126603572,-0.5975978174917929,0.5975978174917926
0,0,2,1,0,0,0,947468.684641965,331960.9413631601,3.9741885155638026,0.4878571894308295,0.8906651294753117,0.14870306460009874,0.35036613530778954,0.7813302589503909,0.09280822931366203,825592445.1931336,0.0,0.8659660371662214,0.8704893767902999,0.8011798115611426,-4.462045704994633,-3.5108399258875123,3.5108399258875123
0,0,3,1,0,0,0,961683.3794754525,361259.8391930386,4.094331051977399,0.5777741443391423,0.8763353734426494,0.6874912858710815,0.3756536162557855,0.7526707468850403,0.4526422717617568,669688842.0763923,0.0,0.9071934888557631,0.9152923419300693,0.4376875296825695,-4.672105196316542,-4.103476452834258,4.10347645283426
0,0,4,1,0,0,0,1018278.4065695043,1318300.080781622,4.590413446919453,7.693913367486947,0.37368050494521704,0.7127866753925022,1.2946361940668722,0.25263899011012453,0.6896643128930612,2499218206.646069,0.0,0.36375638328900095,0.8492921591455245,0.04248619003714958,-12.284326814406398,-9.022612875444514,9.022612875444514
0,0,5,1,0,0,1,2560146.031971939,2225351.124588591,29.016712804991283,21.923799684804656,0.5696195697050302,0.10048475752805697,0.8692281990158687,0.13923913940947522,0.09950591394067451,15046275036.929699,0.0,0.30427278440927286,0.4500146564887659,0.23285317221806281,-50.94051248979594,-8.717969018881263,8.717969018881261
0,0,6,1,0,0,0,2231875.529662318,733229.2990523764,22.052542905766234,2.380117270543176,0.9025846038307771,0.11129150433690815,0.32852607114847204,0.8051692076613445,0.06600088661067466,4316908835.628466,0.0,0.37050351110452523,0.35177518548609676,0.7710522531418272,-24.432660176309405,-19.73840762849554,19.738407628495548
0,0,7,1,0,0,0,2372019.573364469,1525625.897542671,24.908941422455456,10.304213274297238,0.7073760257200847,0.02558058271963208,0.6431759310395258,0.41475205143967514,0.023276653924915517,9602705577.670174,0.0,0.8597887557334857,0.8201786496387636,0.26968215243233834,-35.21315469675268,-14.627710048036692,14.627710048036693
0,0,8,1,0,0,0,887923.5310847992,934806.7895566141,3.490357127299234,3.8686768135519696,0.47429556044356447,0.3566777676158516,1.052801009130298,0.05140887911346633,0.35620612879490793,2058351265.9060898,8.537736462515939e-07,0.7110157290427578,0.6078294115294034,0.5638981198668848,-7.359033940851204,-2.6484924841494863,2.648492484149487
0,0,9,1,0,0,0,1488064.3464475735,32737.76987849903,9.803071201736827,0.004744789148166872,0.9995162236778733,0.5920306621140271,0.022000238065412465,0.9990324473557451,0.026037028822378523,104214874.95145409,0.0,0.8248364838166329,0.8248453917237207,0.7341748199128039,-9.807815990884997,-9.80165355843433,9.801653558434333
0,0,10,1,0,0,0,2602114.1663305387,20962.817877967966,29.975844602326436,0.0019454409672141223,0.9999351039231242,0.24371757991837023,0.008056071539524113,0.9998702078462484,0.003926557683797073,140426260.41358128,0.0,0.5625220205873249,0.5625115532113101,0.6759876884657725,-29.977790043293655,-29.974130287080264,29.974130287080257
