score_family,run,field_g,channel,train_parity,cadence_multiplier,n_train_bins,n_test_bins,n_train_cycles,n_test_cycles,phase_amplitude_fraction,phase_angle_rad,null_sse,phase_sse,gain,amplitude,background,beta_cos,beta_sin,poisson_nll_gain_per_test_bin
primary,EMU00066578,63.0,O,odd,1.0,215.0,270.0,3.0,4.0,0.0027769821442649627,,378.75524704272823,293.56332457456017,0.22492605220214246,,,,,
primary,EMU00066579,160.0,O,odd,1.0,245.0,240.0,9.0,9.0,0.0022497203361046937,,312.0924199228781,264.5216822001951,0.15242516218253022,,,,,
primary,EMU00066580,400.0,O,odd,1.0,244.0,241.0,22.0,22.0,0.000907751073493017,,272.68362186355125,266.55586106497753,0.022472052984685686,,,,,
primary,POOLED,,O,odd,1.0,,,,,,,,,0.14414728675619715,,,,,
primary,EMU00066578,63.0,U,odd,1.0,215.0,270.0,3.0,4.0,0.0004110945634803493,3.7115389216233567,442.97768321244996,452.9733392219513,-0.0225646943137483,367611.06260044617,191.63111111111112,-0.00034611283326715854,-0.00022182120451137908,-0.018506130465754757
primary,EMU00066579,160.0,U,odd,1.0,245.0,240.0,9.0,9.0,0.0008142766204778997,4.894537398583035,337.5650302780694,340.1261272539664,-0.007586973608573411,368984.22296533285,192.37955555555556,0.00014750040101104556,-0.0008008058730794188,-0.005341306204597155
primary,EMU00066580,400.0,U,odd,1.0,244.0,241.0,22.0,22.0,0.000977690012560286,5.639576695240514,321.5337968560206,327.0739867092366,-0.017230505493942783,366812.7407356053,191.152,0.0007820889426775402,-0.0005866980879478466,-0.01150263777906964
primary,POOLED,,U,odd,1.0,,,,,,,,,-0.01642076813062987,,,,,
primary,EMU00066578,63.0,V,odd,1.0,215.0,270.0,3.0,4.0,0.0004477427610577122,3.6609906816445212,523.4374993322822,537.2346599312739,-0.026358754610802393,421809.3628329607,219.9714359588473,-0.00038869360859678913,-0.00022224054246601724,
primary,EMU00066579,160.0,V,odd,1.0,245.0,240.0,9.0,9.0,0.0007306765160226045,4.940097693754881,399.434598454084,400.8411363939621,-0.0035213222523080567,423453.28907301393,220.86988934065243,0.0001649472848970361,-0.0007118149789601421,
primary,EMU00066580,400.0,V,odd,1.0,244.0,241.0,22.0,22.0,0.0009926116897749936,5.582005177012535,378.23738450841006,384.12252269401506,-0.015559377329276591,421034.2794871872,219.4793370609517,0.0007584361237565345,-0.0006403535061660326,
primary,POOLED,,V,odd,1.0,,,,,,,,,-0.0162083491139271,,,,,
primary,EMU00066578,63.0,W,odd,1.0,215.0,270.0,3.0,4.0,0.00015463991858141098,0.2276125211546972,426.4679112132891,422.0507928422852,0.010357446023165684,370229.3843400594,192.78269560008934,0.0001506514320427579,3.4894848363787384e-05,
primary,EMU00066579,160.0,W,odd,1.0,245.0,240.0,9.0,9.0,0.0007662648959219237,5.718738953622263,380.3384840226348,372.9056580386406,0.019542660804084955,371734.0351713401,193.52089176001763,0.0006474056415174173,-0.00040991197354268375,
primary,EMU00066580,400.0,W,odd,1.0,244.0,241.0,22.0,22.0,0.0009720612667772875,5.762697681798196,343.6262995725449,347.27614775141967,-0.010621562387439498,369601.7575050748,192.32216704017048,0.0008433377887957389,-0.0004834092265956232,
primary,POOLED,,W,odd,1.0,,,,,,,,,0.007127836520230857,,,,,
reverse_parity,EMU00066578,63.0,O,even,1.0,270.0,215.0,4.0,3.0,0.002696382565254887,,287.92690064755016,223.63019744340994,0.22330912137607273,,,,,
reverse_parity,EMU00066579,160.0,O,even,1.0,240.0,245.0,9.0,9.0,0.0021975254602580865,,317.5195630308895,267.27988503328265,0.1582254570963848,,,,,
