control,channel,run,field_g,train_parity,cadence_multiplier,n_train_bins,n_test_bins,n_train_cycles,n_test_cycles,phase_amplitude_fraction,phase_angle_rad,null_sse,phase_sse,gain,amplitude,background,beta_cos,beta_sin,poisson_nll_gain_per_test_bin
multiplier_0.50,O,EMU00066578,63.0,odd,0.5,215.0,270.0,3.0,4.0,0.0047030192002324245,,378.75524704272823,1503.3127895177975,-2.969087692528271,,,,,
multiplier_0.50,O,EMU00066579,160.0,odd,0.5,245.0,240.0,9.0,9.0,0.0037869303693296177,,312.0924199228781,872.5778117451976,-1.79589556183653,,,,,
multiplier_0.50,O,EMU00066580,400.0,odd,0.5,244.0,241.0,22.0,22.0,0.0016456296442099534,,272.68362186355125,381.20809485201397,-0.397986766666784,,,,,
multiplier_0.50,O,POOLED,,odd,,,,,,,,,,-1.8614521687877086,,,,,
multiplier_0.50,W,EMU00066578,63.0,odd,0.5,215.0,270.0,3.0,4.0,0.0002270024864747585,2.664422894439291,426.4679112132891,430.6091975811124,-0.009710663472994874,370229.3843400594,192.78269560008934,-0.00020164592618900076,0.00010425473282831326,
multiplier_0.50,W,EMU00066579,160.0,odd,0.5,245.0,240.0,9.0,9.0,0.0005512982429318869,0.5753781504074197,380.3384840226348,382.9370986601715,-0.006832373653206325,371734.0351713401,193.52089176001763,0.0004625318335039391,0.0002999900925951892,
multiplier_0.50,W,EMU00066580,400.0,odd,0.5,244.0,241.0,22.0,22.0,0.0004562668968860536,0.7487077254270829,343.6262995725449,339.1380866683511,0.013061319549105943,369601.7575050748,192.32216704017048,0.0003342470401022672,0.00031057752233041924,
multiplier_0.50,W,POOLED,,odd,,,,,,,,,,-0.0019572532242237983,,,,,
multiplier_0.60,O,EMU00066578,63.0,odd,0.6,215.0,270.0,3.0,4.0,0.0018021804350910604,,378.75524704272823,482.00156354230774,-0.2725937589134759,,,,,
multiplier_0.60,O,EMU00066579,160.0,odd,0.6,245.0,240.0,9.0,9.0,0.0008672503414330525,,312.0924199228781,327.50562192084556,-0.049386659252333764,,,,,
multiplier_0.60,O,EMU00066580,400.0,odd,0.6,244.0,241.0,22.0,22.0,0.0005132038009275454,,272.68362186355125,277.12417897789186,-0.016284649162253695,,,,,
multiplier_0.60,O,POOLED,,odd,,,,,,,,,,-0.1277592923437636,,,,,
multiplier_0.60,W,EMU00066578,63.0,odd,0.6,215.0,270.0,3.0,4.0,0.0006142429980034065,5.34762134661936,426.4679112132891,429.04091570487464,-0.0060332897831993915,370229.3843400594,192.78269560008934,0.00036447003227452944,-0.0004944249752692679,
multiplier_0.60,W,EMU00066579,160.0,odd,0.6,245.0,240.0,9.0,9.0,0.0007764214217099162,1.320474593795264,380.3384840226348,401.014033985698,-0.05436092015824712,371734.0351713401,193.52089176001763,0.00019233175853878746,0.0007522225194365196,
multiplier_0.60,W,EMU00066580,400.0,odd,0.6,244.0,241.0,22.0,22.0,0.0007876325889629819,2.91248427823887,343.6262995725449,359.51679587013655,-0.046243539325594885,369601.7575050748,192.32216704017048,-0.0007670511810011234,0.0001788786765417033,
multiplier_0.60,W,POOLED,,odd,,,,,,,,,,-0.0340211564995172,,,,,
multiplier_0.70,O,EMU00066578,63.0,odd,0.7,215.0,270.0,3.0,4.0,0.0014334501002443475,,378.75524704272823,416.84953424793815,-0.1005775827599622,,,,,
multiplier_0.70,O,EMU00066579,160.0,odd,0.7,245.0,240.0,9.0,9.0,0.000671156060219905,,312.0924199228781,316.9164616732354,-0.01545709361204417,,,,,
multiplier_0.70,O,EMU00066580,400.0,odd,0.7,244.0,241.0,22.0,22.0,0.0005143157785797338,,272.68362186355125,275.62336056991427,-0.010780767419299009,,,,,
multiplier_0.70,O,POOLED,,odd,,,,,,,,,,-0.04759375039875979,,,,,
multiplier_0.70,W,EMU00066578,63.0,odd,0.7,215.0,270.0,3.0,4.0,0.00025653961518775704,2.539727256055369,426.4679112132891,432.70162886406877,-0.014617084865881091,370229.3843400594,192.78269560008934,-0.00021146070409216054,0.00014524787360071807,
multiplier_0.70,W,EMU00066579,160.0,odd,0.7,245.0,240.0,9.0,9.0,0.0007322429638196194,2.689136945902516,380.3384840226348,395.75700626989953,-0.04053894858125151,371734.0351713401,193.52089176001763,-0.0006585619236753314,0.00032011865104736927,
multiplier_0.70,W,EMU00066580,400.0,odd,0.7,244.0,241.0,22.0,22.0,0.0003198834376620274,3.470076625321522,343.6262995725449,343.18100318315436,0.00129587400598985,369601.7575050748,192.32216704017048,-0.0003027800746186739,-0.00010319709348807468,
multiplier_0.70,W,POOLED,,odd,,,,,,,,,,-0.01843388457608519,,,,,
multiplier_0.80,O,EMU00066578,63.0,odd,0.7999999999999999,215.0,270.0,3.0,4.0,0.0014754924840210157,,378.75524704272823,387.8548772223123,-0.02402509338321468,,,,,
multiplier_0.80,O,EMU00066579,160.0,odd,0.7999999999999999,245.0,240.0,9.0,9.0,0.0006533020869186565,,312.0924199228781,313.1975616879223,-0.003541072113566024,,,,,
multiplier_0.80,O,EMU00066580,400.0,odd,0.7999999999999999,244.0,241.0,22.0,22.0,0.00044110305910434,,272.68362186355125,274.4688399795225,-0.006546847602253658,,,,,
multiplier_0.80,O,POOLED,,odd,,,,,,,,,,-0.012443799386285814,,,,,
multiplier_0.80,W,EMU00066578,63.0,odd,0.7999999999999999,215.0,270.0,3.0,4.0,0.00042578831599683425,4.775229745880085,426.4679112132891,411.60716683042216,0.034846102114901245,370229.3843400594,192.78269560008934,2.6739256887544273e-05,-0.00042494788172259653,
multiplier_0.80,W,EMU00066579,160.0,odd,0.7999999999999999,245.0,240.0,9.0,9.0,0.000593359730518509,3.9904546399744225,380.3384840226348,388.30821682662315,-0.02095431605999165,371734.0351713401,193.52089176001763,-0.0003921144710836477,-0.00044533359559749007,
