run,field_g,channel,phase_turn,n_bins,observed_fractional_residual,predicted_fractional_residual
EMU00066578,63.0,W,0.010416666666666666,4,0.0012353878711555573,0.0001522121609765945
EMU00066578,63.0,W,0.03125,5,0.00047141395558892115,0.0001544307263741288
EMU00066578,63.0,W,0.052083333333333336,4,0.002960685382251135,0.0001538951002482313
EMU00066578,63.0,W,0.07291666666666667,5,-0.00034990865424098025,0.00015075946029028057
EMU00066578,63.0,W,0.09375,4,-0.0023622110164402133,0.00014502763628785833
EMU00066578,63.0,W,0.11458333333333333,4,0.0015755849341160784,0.0001371314041332715
EMU00066578,63.0,W,0.13541666666666666,5,0.0006259280692562638,0.0001264549394534653
EMU00066578,63.0,W,0.15625,4,0.0013089630092600851,0.0001139106348514185
EMU00066578,63.0,W,0.17708333333333334,5,-0.00028015385673857857,9.9073890745598e-05
EMU00066578,63.0,W,0.19791666666666666,4,8.161546152460027e-05,8.288057535241025e-05
EMU00066578,63.0,W,0.21875,6,-0.0033026311994321547,6.432808643737016e-05
EMU00066578,63.0,W,0.23958333333333334,6,-0.003343537000301488,4.512913207585675e-05
EMU00066578,63.0,W,0.2604166666666667,6,-0.0016478298336631816,2.5638000649622325e-05
EMU00066578,63.0,W,0.28125,6,-0.001253820516953276,5.223081100408162e-06
EMU00066578,63.0,W,0.3020833333333333,6,-0.0008126984209561047,-1.4809767719299579e-05
EMU00066578,63.0,W,0.3229166666666667,6,0.0003334660294582204,-3.504102547610762e-05
EMU00066578,63.0,W,0.34375,6,-0.0020253673752797866,-5.424218280486649e-05
EMU00066578,63.0,W,0.3645833333333333,6,-0.0007788834119132409,-7.290284455070818e-05
EMU00066578,63.0,W,0.3854166666666667,6,-0.0006826714227972032,-8.995608091793363e-05
EMU00066578,63.0,W,0.40625,6,-0.00266832724456868,-0.0001057668160618289
EMU00066578,63.0,W,0.4270833333333333,6,-0.0019377871695404434,-0.00011950298356045604
EMU00066578,63.0,W,0.4479166666666667,6,-0.001967596104352354,-0.00013137985723703558
EMU00066578,63.0,W,0.46875,6,-0.0013778814881604583,-0.00014085726470400365
EMU00066578,63.0,W,0.4895833333333333,6,-0.0013636279914798646,-0.00014798612307557676
EMU00066578,63.0,W,0.5104166666666666,6,-0.0016293634798364778,-0.0001525550541261047
EMU00066578,63.0,W,0.53125,6,-0.001880223211316716,-0.00015444713492740388
EMU00066578,63.0,W,0.5520833333333334,6,-0.0003595959301629299,-0.0001537943643316571
EMU00066578,63.0,W,0.5729166666666666,6,-0.003336011773492418,-0.0001503199411735866
EMU00066578,63.0,W,0.59375,6,0.0005821834200402023,-0.00014449024907529424
EMU00066578,63.0,W,0.6145833333333334,6,-0.002058210668492398,-0.00013588749977318324
EMU00066578,63.0,W,0.6354166666666666,6,-0.00028147084515589045,-0.00012528052602310704
EMU00066578,63.0,W,0.65625,6,-0.0011607700908017684,-0.00011213926135140012
EMU00066578,63.0,W,0.6770833333333334,6,-0.001919072523325201,-9.748216923330436e-05
EMU00066578,63.0,W,0.6979166666666666,6,-0.001159207575452066,-8.070324488268712e-05
