run,split,field_g,temperature_k,orientation,native_bins,detectors,sha256,all_quality_gates_pass
EMU00066572,calibration,20.0,300.0,l,2048,96,A01EE39846193C08DC4B661E04C78ECA60A825337C5AFD1DE9320E666097CB39,True
EMU00066573,calibration,25.0,300.0,l,2048,96,4A50403866A1218A885733E3228DA24DD38C547CAB792B66020EC6363FB92F05,True
EMU00066574,calibration,20.0,300.0,l,2048,96,7242B168C30BF685F045AD8F755F8267BE9CBA07EB745D595605EBD8064F531A,True
EMU00066575,calibration,25.0,300.0,l,2048,96,C351F6D451A85C84E08E114B2FCFA8B8FC9CF750B78B6AC63AE50F18B3D2595B,True
EMU00066576,calibration,20.0,300.0,l,2048,96,FA55FFC01159D1CAA93838B8BADF0099D16D2A451414C16097D198245A2E58A0,True
EMU00066577,calibration,25.0,300.0,l,2048,96,12149F36B0441FF6C2A71F5AE8108ADBD8CB19CDEB4E4E9E59A86D6BCA32C751,True
EMU00066571,validation,25.0,300.0,l,2048,96,F08F376BC995A88BDF4F5F3DE97E203DD7ACD286A4AC6EAF25818EBFF7F43908,True
EMU00066584,validation,20.0,300.0,l,2048,96,BE23FD0CFBCF654E53F0D97C044930E5745F636CC4F0BD0E9FC4513573AD3A08,True
EMU00066578,holdout,63.0,300.0,l,2048,96,B2C575E52E38A23C61A3F5A8B1D86ACB5D56291AE028B2CC04E3844268CC482C,True
EMU00066579,holdout,160.0,300.0,l,2048,96,7E88216711AD466AA05ED90FC456A89C26AD56C8F44ABB93E275254816E422A5,True
EMU00066580,holdout,400.0,300.0,l,2048,96,A48FB41CA2CC4FA34CD23604B03F15F3D67D3CBDCB920187242DBAB3C68A5BB4,True
