replicate,gain_O,gain_U,gain_V,gain_W
0,0.06307155535652054,-0.0012141463391106555,0.0021398183394536474,0.03213143848153355
1,0.1275871081759803,0.006527201161113494,0.004028219349936468,0.01505286814024287
2,0.15945390633952072,-0.01130036553536562,-0.02924150558958516,0.013274925139458493
3,0.25433423337989514,-0.033882652008084824,-0.019546352669551403,0.006505166901088599
4,0.10175750249699678,-0.04214350170893888,-0.028166259793569015,-0.007004094552262918
5,0.04330419859452317,-0.0040962523457817035,-0.0015805288586239197,-0.021388106232094417
6,0.14795824074743158,-0.012941328000190655,-0.0070538902652714786,0.005597342953613471
7,0.1745404682567121,-0.018475004906179038,-0.02954485925533712,-0.004604436346335783
8,0.1634713011865978,-0.019853760430047496,-0.010934137341331862,0.009881234903281744
9,0.13514621181381503,-0.016992440269407938,-0.022906335571789338,0.008630179959866147
10,0.06509983216593196,-0.008746439848464238,-0.00013905440063255448,-0.012826822121013715
11,0.12930902135378242,-0.011803322071355371,-0.015501902490980823,0.019149496738915417
12,0.02253451861006195,-0.03024052750145234,-0.0024101199333117496,-0.02959668739342991
13,0.24037936134835458,-0.026080205101912224,-0.019118455671399248,0.011285809401544444
14,0.052028928748051095,-0.0024808946159955436,-0.01529861175610403,0.007340405508071468
15,0.1623184430960085,-0.006168458428326806,-0.022385265072479177,-0.006641151390292865
16,0.16935378219104924,-0.037222882243284294,-0.004198641234542944,0.003966005241864856
17,0.14472963227383706,-0.010019267805213339,-0.02613427968165616,0.013247548274498033
18,0.22838959138037196,-0.001859170508430985,-0.019370230084064355,0.01500072808419406
19,0.1570669983489088,-0.038374421871533615,-0.020198750877868266,0.007745465679298569
20,0.08312207135109229,0.006538987030938137,-0.021739958007844118,0.0010929060482711694
21,0.14880859698522253,-0.020909196751061954,-0.025889544567228917,0.009726185398227227
22,0.052990838107045635,-0.03526730039274728,-0.018150118661953485,0.018239715811540047
23,0.04258332754105065,-0.014188231306345722,0.012210926958856283,0.014300990705585548
24,0.17652537960970083,-0.01822818259994574,-0.029036253475949403,-0.00848483345280937
25,0.06180331358853497,0.020850481966567913,-0.012284024483289802,0.0011173421835164454
26,0.021297864538748823,-0.01559208266124501,-0.027110406903141815,-0.029360997930067523
27,0.2088567937221556,-0.04128548037205326,-0.007818020648881374,0.016831491385964403
28,0.12022052268074446,-0.004327336567720774,-0.015815030876607405,0.010413730182914027
29,0.10479035492142708,-0.024562229947165726,-0.020395228228563544,-0.014538583816881223
30,0.15480075792917058,-0.014088515589786521,-0.024613373542851757,0.016015964649410908
31,0.21784783156963883,-0.021139806296780472,-0.02505371887167218,0.013530888329914892
32,0.22628354593560063,-0.016531595498726626,-0.018663233710267013,0.008668001743892595
33,0.15679188298271363,-0.034560470550204725,-0.0337953589878599,0.0038677067476928784
34,0.08442499999137909,-0.02028911750183937,-0.03293227991207348,0.004057408923296313
35,0.17659520267781836,0.0007855453897088749,-0.021285287917238715,0.031129701653509145
36,0.15950808597691646,-0.007511222433898235,-0.00624147385464191,0.029599950366284267
37,0.20063316685983335,-0.029881155743787025,-0.003414631687601366,0.013131101398652367
38,0.2740939584052915,-0.019267059918858687,-0.024433970664569316,0.014585872604215955
39,0.09803933358438066,-0.04333523395441086,-0.020004153528917934,0.024464993150065895
40,0.0799689075184663,-0.014973476100222038,-0.0015975180996683491,0.010650266710198086
41,0.19162733758769523,-0.018416948556011725,-0.02681362265350762,0.019528009290468717
42,0.0700316223407399,-0.009304575765899381,-0.025075155947298366,-0.00011429365982218442
43,0.017998947685627487,-0.028765186529339015,0.003733441540820448,-0.012613430758898536
44,0.034113177328338073,-0.016351091251661565,-0.008664602397047139,0.005731821235081758
45,0.14651513254383564,-0.015835093542728718,-0.02423360664612373,0.006306232508365817
46,0.10408045816757738,0.0004635413841245217,-0.005911630960133696,0.017950217771075083
47,0.1680016573079003,-0.040629781246176,-0.021823331688924696,0.011683361545709037
48,0.17128622004521588,-0.014992862613505409,-0.02504511076826277,0.010450972810639558
49,0.14741735290978542,-0.02821308581662163,-0.01826320475204679,-0.0003989976050340349
50,0.2915079344850927,-0.02043810186693018,-0.019871830778821487,0.010642122759361605
51,0.018317763907182205,-0.0015310642350485626,-0.007990184925682708,-0.003342312010534032
52,0.12610291017576192,-0.012705993699446472,-0.021495852825472506,-0.00021750186666658067
53,0.1168281237052532,-0.01947036903197774,-0.016079010927740223,-0.002288068913508301
