"","Folder","SliceNumber","Death.1","Death.2","Death.3","Div.1","Div.2","Div3"
"2","1",2,135,42,37,NA,NA,0.18421
"8","1",9,266,109,77,NA,NA,NA
"9","1",10,280,1,123,NA,0,NA
"10","1",12,54,18,0,0.18519,NA,0
"12","1",14,222,72,0,NA,NA,0
"13","1",15,271,79,0,NA,NA,0
"15","1",17,157,182,0,NA,NA,0
"18","2",2,75,8,1,0.16,NA,0
"23","2",7,80,277,48,0.125,NA,0.16327
"24","2",8,300,20,8,NA,NA,0.11111
"25","2",11,240,73,0,NA,NA,0
"26","2",12,144,119,15,NA,0.15833,0.0625
"29","2",16,109,45,0,0.18349,NA,0
"30","2",18,244,94,148,NA,NA,NA
"31","3",1,5,1,271,0.2,0,NA
"36","3",7,188,183,0,NA,NA,0
"37","3",9,190,17,11,NA,0.11111,0.16667
"41","3",13,95,1,95,NA,0,NA
"46","3",18,191,8,0,NA,NA,0
"48","4",2,26,16,0,0.15385,0.058824,0
"50","4",5,201,375,368,NA,NA,NA
"55","4",10,93,50,0,NA,NA,0
"56","4",11,290,1,61,NA,0,NA
"58","4",13,62,89,0,NA,NA,0
"62","4",17,176,135,0,NA,NA,0
"65","5",2,174,1,0,NA,0,0
"67","5",4,243,16,0,NA,NA,0
"71","5",10,133,192,0,NA,NA,0
"72","5",11,231,38,0,NA,NA,0
"77","5",18,245,31,31,NA,NA,NA
"78","6",1,126,11,77,NA,NA,NA
"79","6",2,61,6,0,NA,NA,0
"81","6",4,63,123,20,NA,NA,NA
"82","6",6,92,74,0,NA,NA,0
"83","6",7,278,19,27,NA,NA,NA
"85","6",9,74,313,103,0.18919,NA,NA
"88","6",12,283,29,0,NA,NA,0
"91","6",15,295,1,460,NA,0,NA
"93","6",17,280,44,0,NA,NA,0
"94","7",1,137,162,0,NA,NA,0
"95","7",2,117,24,0,NA,NA,0
"97","7",4,214,104,32,NA,NA,NA
"98","7",5,244,82,0,NA,NA,0
"99","7",6,172,73,122,0.2093,NA,NA
"100","7",10,298,94,0,NA,NA,0
"103","7",13,94,33,1,NA,NA,0
"112","8",7,281,83,9,NA,NA,NA
"113","8",8,269,83,0,NA,NA,0
"114","8",10,107,137,0,NA,NA,0
"115","8",11,258,120,121,NA,NA,NA
"119","8",16,39,120,0,0.17949,NA,0
"120","8",17,236,32,263,NA,NA,NA
"124","9",4,187,42,73,NA,0.11628,NA
"127","9",7,103,70,156,0.15534,NA,NA
"129","9",9,204,44,103,NA,NA,NA
"133","9",14,80,65,0,NA,NA,0
"135","9",16,106,54,63,NA,NA,NA
"137","9",18,210,57,0,NA,NA,0
"138","10",1,112,1,139,NA,0,NA
"143","10",7,227,38,0,NA,NA,0
"145","10",10,189,289,0,NA,NA,0
"149","10",14,208,235,74,0.21154,NA,NA
"150","10",16,87,8,0,0.17241,NA,0
"151","10",17,36,30,28,NA,NA,NA
"154","11",2,152,18,0,NA,NA,0
"155","11",3,138,1,151,NA,0,NA
"157","11",5,181,136,0,NA,NA,0
"160","11",12,177,77,98,NA,NA,NA
"163","11",15,175,188,0,NA,NA,0
"166","11",18,49,7,0,NA,NA,0
"184","13",3,216,162,0,NA,NA,0
"186","13",5,72,223,0,NA,NA,0
"188","13",7,228,164,116,NA,NA,NA
"192","13",12,64,16,99,NA,NA,NA
"195","13",16,186,88,0,NA,NA,0
"196","13",17,117,106,0,NA,NA,0
"197","13",18,69,46,0,NA,NA,0
"198","14",1,224,114,122,NA,NA,NA
"203","14",8,97,84,50,0.17526,NA,NA
"204","14",9,229,47,1,NA,0.083333,0
"205","14",10,191,126,0,NA,NA,0
"207","14",12,145,119,61,NA,NA,NA
"208","14",13,79,1,37,NA,0,NA
"215","15",3,339,10,68,NA,0.090909,NA
"218","15",6,303,134,59,NA,NA,NA
"219","15",7,199,3,0,0.20101,0.25,0
"222","15",10,79,3,152,0.17722,0.25,NA
"233","16",5,210,56,47,NA,0.19298,0.14583
"235","16",7,124,257,213,NA,NA,NA
"241","16",15,299,92,0,NA,NA,0
"242","16",16,131,226,0,NA,NA,0
"243","16",17,129,41,0,NA,NA,0
"246","17",3,113,132,0,NA,NA,0
"248","17",5,169,14,140,0.17751,NA,NA
"252","17",9,292,81,65,0.19863,NA,0.16667
"254","17",11,336,300,0,NA,NA,0
"259","17",17,206,4,12,NA,NA,NA
"281","19",6,189,169,0,NA,NA,0
"283","19",8,300,150,0,NA,NA,0
"286","19",13,99,3,0,0.19192,0.25,0
"287","19",14,266,16,1,NA,0.23529,0
"293","20",4,320,29,0,NA,0.13333,0
"296","20",7,120,224,0,0.175,NA,0
"299","20",10,71,1,0,NA,0,0
"309","21",8,99,102,0,NA,0.20388,0
"311","21",10,164,64,61,NA,NA,NA
"315","21",16,97,105,0,NA,NA,0
"316","21",17,85,59,36,NA,0.28333,NA
"317","21",18,230,68,152,NA,NA,NA
"318","22",1,186,93,0,NA,NA,0
"321","22",4,298,122,0,NA,NA,0
"323","22",6,43,4,38,NA,NA,NA
"326","22",10,224,41,20,NA,NA,0.095238
"328","22",12,123,8,0,NA,NA,0
"332","22",18,122,111,0,NA,NA,0
"334","23",2,172,1,232,NA,0,NA
"336","23",4,37,103,23,0.16216,NA,NA
"337","23",5,114,279,89,NA,NA,NA
"343","23",13,93,50,45,NA,NA,NA
"345","23",15,76,162,0,NA,NA,0
"346","23",16,106,42,0,NA,NA,0
"349","24",1,265,151,0,NA,NA,0
"350","24",2,219,16,255,NA,NA,NA
"351","24",3,167,1,0,NA,0,0
"352","24",4,299,661,0,NA,NA,0
"353","24",5,190,39,326,NA,0.175,NA
"354","24",7,12,389,0,0.16667,NA,0
"355","24",8,47,71,67,NA,0.13889,NA
"356","24",9,257,63,74,NA,NA,NA
"357","24",10,138,462,63,NA,NA,NA
"358","24",12,100,64,56,NA,0.12308,NA
"359","24",13,322,61,36,NA,NA,0.081081
"360","24",14,12,1,297,0.083333,0,NA
"361","24",15,95,17,177,0.21053,NA,NA
"364","24",18,244,320,11,NA,NA,0.083333
"365","25",1,7,217,0,NA,NA,0
"367","25",3,155,164,30,NA,NA,NA
"369","25",5,240,30,0,NA,NA,0
"371","25",7,157,1,0,NA,0,0
"374","25",10,141,4,1,NA,NA,0
"375","25",11,225,108,0,NA,NA,0
"376","25",13,181,1,0,NA,0,0
"379","25",16,215,45,0,NA,NA,0
"381","25",18,47,175,64,NA,NA,NA
"382","26",1,125,97,2,0.216,NA,0.33333
"383","26",2,41,304,31,0.097561,NA,NA
"385","26",5,144,97,94,0.18056,NA,NA
"389","26",10,125,1,0,NA,0,0
"393","26",14,111,207,141,NA,NA,NA
"394","26",15,67,229,117,NA,NA,NA
"396","26",17,182,55,43,NA,NA,NA
"397","26",18,213,147,0,NA,NA,0
"400","27",4,200,64,15,NA,NA,NA
"402","27",6,141,63,0,NA,NA,0
"409","27",13,259,5,0,NA,NA,0
"410","27",14,89,45,0,NA,NA,0
"415","28",1,140,22,69,NA,NA,NA
"417","28",5,218,58,0,NA,NA,0
"420","28",8,237,66,0,NA,NA,0
"422","28",11,216,18,295,NA,0.052632,NA
"428","28",18,27,172,0,0.18519,NA,0
"446","30",2,51,185,118,0.17647,NA,0.15126
"447","30",3,200,134,0,NA,NA,0
"448","30",4,132,3,85,NA,0.25,NA
"449","30",5,163,1,0,NA,0,0
"454","30",11,187,86,57,NA,NA,NA
"455","30",12,220,372,0,NA,NA,0
"457","30",14,276,142,215,NA,NA,NA
"458","30",15,160,116,0,NA,NA,0
"460","30",17,222,89,5,NA,NA,NA
"461","30",18,158,80,173,NA,NA,NA
"462","31",1,148,181,0,NA,NA,0
"465","31",5,241,65,233,NA,0.12121,NA
"467","31",7,117,138,25,NA,NA,NA
"468","31",8,150,26,257,NA,NA,NA
"470","31",10,106,78,1,0.19811,NA,0
"471","31",12,67,99,72,0.14925,NA,NA
"472","31",13,199,69,147,NA,NA,NA
"473","31",14,229,94,158,NA,NA,NA
"477","31",18,120,7,0,NA,0.125,0
"483","32",6,266,94,0,0.18421,NA,0
"485","32",8,210,217,62,NA,NA,NA
"486","32",9,265,91,8,0.2,NA,0.22222
"487","32",10,81,148,4,0.17284,NA,NA
"489","32",12,503,22,7,NA,0.21739,NA
"490","32",13,283,42,127,NA,NA,NA
"492","32",15,78,147,0,0.15385,NA,0
"495","32",18,198,99,70,NA,NA,NA
"496","33",1,58,98,1,0.17241,NA,0
"498","33",3,239,107,0,NA,0.17593,0
"499","33",4,75,25,0,NA,NA,0
"500","33",5,12,142,7,0.083333,NA,0.25
"501","33",8,348,123,12,NA,NA,0.23077
"502","33",9,212,51,9,NA,NA,NA
"503","33",10,185,121,0,0.23784,NA,0
"505","33",13,10,1,33,0.1,0,0.17647
"506","33",14,211,158,0,0.19431,NA,0
"509","33",17,213,346,0,NA,NA,0
"515","34",8,39,1,0,0.12821,0,0
"516","34",9,170,176,0,NA,NA,0
"518","34",11,252,127,0,NA,NA,0
"520","34",14,49,10,1,NA,NA,0
"521","34",15,278,11,0,NA,NA,0
"522","34",18,68,83,0,0.19118,NA,0
"525","35",3,170,371,313,NA,NA,NA
"527","35",5,286,222,29,0.2028,NA,NA
"529","35",7,177,83,240,NA,NA,NA
"531","35",9,150,324,4,NA,NA,0.2
"532","35",10,241,15,81,NA,0.25,NA
"543","36",3,195,150,0,NA,NA,0
"546","36",6,218,110,23,0.18807,NA,NA
"547","36",7,198,41,4,NA,NA,NA
"550","36",10,153,16,27,NA,0.17647,NA
"551","36",11,318,31,0,NA,NA,0
"554","36",14,191,119,0,NA,NA,0
"555","36",15,55,328,23,0.10909,NA,NA
