name,observed_signed_days,observed_days,observed_error_days,z_lens,z_source,time_delay_distance_mpc,r_A_arcsec,r_B_arcsec,A_dx_arcsec,A_dy_arcsec,B_dx_arcsec,B_dy_arcsec,opening_angle_deg,axisymmetry_error_deg,max_separation_arcsec,delay_bibcode,astrometry_A,astrometry_B,astrometry_G,r_outer_arcsec,r_inner_arcsec,radius_ratio_inner_outer,pm_geo_days,pm_potential_days,pm_total_days,sis_geo_days,sis_potential_days,sis_total_days,pm_path_ara,pm_connection_ara,pm_residual_days,pm_absolute_error_days,pm_log10_ratio,pm_factor_error,sis_path_ara,sis_connection_ara,sis_residual_days,sis_absolute_error_days,sis_log10_ratio,sis_factor_error
PKS1830-211,25.0,25.0,3.0,0.8858,2.507,6244.446954294234,0.67547466226102,0.30769914498107725,0.49832722116780925,0.4559999999997899,-0.15117792106276748,-0.26800000000974933,161.88763033884487,18.112369661155128,0.972,2023A&A...674A.101M,Gaia_DR3,Publication,Publication,0.67547466226102,0.30769914498107725,0.4555302547561358,31.611342005580973,28.574566799962412,60.185908805543384,0.0,31.611342005580973,31.611342005580973,1.0504565813807045,0.9495434186192955,-35.185908805543384,35.185908805543384,0.38155481407516806,2.4074363522217355,0.0,2.0,-6.611342005580973,6.611342005580973,0.10190292479003155,1.264453680223239
SDSSJ1442+4055,25.0,25.0,1.5,0.28,2.575,1382.4703495397423,0.9802309667944717,1.1619778630207642,0.9689936781346429,0.14799999999297597,-1.0879929016933316,-0.4080000000186601,168.1278347351118,11.872165264888196,2.132,2019ApJ...873..117S,Gaia_DR3,Gaia_DR3,Gaia_FPR,1.1619778630207642,0.9802309667944717,0.8435883315764642,7.535645702492724,7.4994325527562875,15.035078255249012,0.0,7.535645702492724,7.535645702492724,1.0024085774029008,0.9975914225970993,9.964921744750988,9.964921744750988,-0.22083431579423884,1.662778176180896,0.0,2.0,17.464354297507278,17.464354297507278,-0.5208195372881568,3.317565738491424
HE2149-2745,-32.4,32.4,18.3,0.603,2.033,3845.6619875037354,1.2287728191717318,0.4708892526127176,-0.6836970389962185,-1.021000000001493,0.20484308195914191,0.42399999999958027,171.97850177084675,8.021498229153252,1.697,2020A&A...640A.105M,Gaia_DR3,Gaia_DR3,Publication,1.2287728191717318,0.4708892526127176,0.38321913153167386,69.35408089446466,59.76034315454137,129.11442404900603,0.0,69.35408089446467,69.35408089446467,1.074304151612696,0.9256958483873038,-96.71442404900603,96.71442404900603,0.6004297520828054,3.9850130879322845,0.0,2.0,-36.954080894464674,36.954080894464674,0.3305270104702268,2.1405580522982923
WGD2021-4115,-90.8,90.8,9.7,0.5586,1.39,4153.558043132181,2.3850269379464266,0.396169126363719,-2.249334233662835,-0.793000000001598,0.3946200409044282,-0.035000000005425136,155.51149384807687,24.488506151923133,2.75,2025arXiv250402932D,Gaia_DR3,Gaia_DR3,Publication,2.3850269379464266,0.396169126363719,0.16610677223831755,321.655856520903,197.2670752952325,518.9229318161355,0.0,321.655856520903,321.655856520903,1.239705693464601,0.7602943065353993,-428.12293181613546,428.12293181613546,0.7570170145830749,5.715010262292242,0.0,2.0,-230.855856520903,230.855856520903,0.5493056146661219,3.542465380186156
SDSSJ0832+0404,-129.4,129.4,11.9,0.659,1.115,7168.3748761296765,1.6303776210693792,0.5470214968043667,-1.327148140668714,0.9470000000018075,0.4443776749191407,-0.31899999999929207,179.8371679727886,0.1628320272114081,2.177,2025arXiv250402932D,Gaia_DR3,Gaia_DR3,Publication,1.6303776210693792,0.5470214968043667,0.33551828100141023,236.73683234041434,195.49386458277064,432.23069692318495,0.0,236.73683234041428,236.73683234041428,1.0954188771210143,0.904581122878986,-302.830696923185,302.830696923185,0.5237813308025541,3.340268136964335,0.0,2.0,-107.33683234041428,107.33683234041428,0.2623315559004564,1.8294963859382865
HE1104-1805,-162.2,162.2,6.3,0.729,2.319,4809.262965374356,2.0885036689189826,1.1053313700278082,-1.8977522428082292,0.8720000000025152,1.0036874202481432,-0.4630000000034329,179.91452476821925,0.08547523178074812,3.195,2008ApJ...676...80M,Gaia_DR3,Gaia_DR3,Publication,2.0885036689189826,1.1053313700278082,0.5292455964896302,211.42506711526246,197.8043576845021,409.22942479976456,0.0,211.4250671152624,211.4250671152624,1.0332837978046787,0.9667162021953212,-247.02942479976457,247.02942479976457,0.4019160033388196,2.5229927546224697,0.0,2.0,-49.22506711526242,49.22506711526242,0.11510562725163206,1.3034837676649964
SDSSJ162026.14+120342.0,-171.5,171.5,8.7,0.398,1.158,2666.4852247776466,2.067100280894814,0.7497144779836951,-1.4771552292408041,1.44600000000068,0.6263607574713572,-0.41199999999790293,168.9462751148975,11.053724885102497,2.806,2020A&A...640A.105M,Gaia_DR3,Gaia_DR3,Publication,2.067100280894814,0.7497144779836951,0.36268897300868047,138.5307820018999,117.35191772096482,255.88269972286471,0.0,138.5307820018999,138.5307820018999,1.0827678631805626,0.9172321368194373,-84.38269972286471,84.38269972286471,0.1737767997698998,1.4920274036318641,0.0,2.0,32.969217998100106,32.969217998100106,-0.092717838572549,1.237992000923289
