model,held_out,spearman_rho,median_absolute_error_days,median_factor_error,within_factor_2_count,within_factor_2_share,median_predicted_observed_ratio
pm,PKS1830-211,0.4285714285714286,171.8719244243853,2.9030109038819183,2,0.3333333333333333,2.9316304457934024
pm,SDSSJ1442+4055,0.4285714285714286,171.8719244243853,2.9030109038819183,1,0.16666666666666666,2.9316304457934024
pm,HE2149-2745,0.4058397249567139,165.70606226131463,2.46453737522282,2,0.3333333333333333,2.4652145534221024
pm,WGD2021-4115,0.753702346348183,90.54856188593537,2.46453737522282,2,0.3333333333333333,2.4652145534221024
pm,SDSSJ0832+0404,0.753702346348183,90.54856188593537,2.46453737522282,2,0.3333333333333333,2.4652145534221024
pm,HE1104-1805,0.753702346348183,90.54856188593537,2.835750859842224,2,0.3333333333333333,2.873852244593035
pm,SDSSJ162026.14+120342.0,0.753702346348183,171.8719244243853,2.9030109038819183,1,0.16666666666666666,2.9316304457934024
sis,PKS1830-211,0.4285714285714286,43.08957400486355,1.978924763746925,3,0.5,1.5664900768016414
sis,SDSSJ1442+4055,0.4285714285714286,43.08957400486355,1.544253490225077,4,0.6666666666666666,1.5664900768016414
sis,HE2149-2745,0.4058397249567139,41.09714255668126,1.544253490225077,4,0.6666666666666666,1.2839687239441178
sis,WGD2021-4115,0.753702346348183,34.961649446282394,1.544253490225077,4,0.6666666666666666,1.2839687239441178
sis,SDSSJ0832+0404,0.753702346348183,34.961649446282394,1.6703839902595525,3,0.5,1.2839687239441178
sis,HE1104-1805,0.753702346348183,34.961649446282394,1.978924763746925,3,0.5,1.5469750330807628
sis,SDSSJ162026.14+120342.0,0.753702346348183,43.08957400486355,1.978924763746925,3,0.5,1.5664900768016414
