axis,removed_bin,prompt_yield,delayed_yield,prompt_crest_time_us,prompt_crest_ara,branch_equality_time_us,branch_equality_ara,child_half_time_us,child_half_ara,delayed_crest_time_us,delayed_crest_ara,time_half_to_delayed_crest_us,ara_prompt_crest_to_half,full_four_landmark_order,half_before_delayed_crest
energy,0,64.75811308830036,253.55644093547446,0.5005,0.2614536070566537,0.6477534876358739,0.477749395609534,0.6651337661758114,0.5,0.7855,0.6268730035715779,0.12036623382418854,0.23854639294334629,True,True
energy,1,21.424797839353346,227.81481630691334,0.5005,0.14800713542260308,nan,nan,0.86428430376857,0.5,0.7855,0.43197000999077345,-0.07878430376857004,0.3519928645773969,False,False
energy,2,67.061411948976,264.5135242814464,0.5005,0.2603049665557635,0.646860225748284,0.47477045433017667,0.666629535855225,0.5,0.7855,0.6248996193935858,0.11887046414477498,0.23969503344423648,True,True
energy,3,57.983112827327155,269.8359222242352,0.5005,0.23580042867476675,0.625924867040541,0.4094086108114967,0.7013753719689865,0.5,0.7855,0.5828004009645924,0.0841246280310135,0.26419957132523325,True,True
energy,4,59.58249972062606,269.6638196571303,0.5005,0.23975093687129237,0.6295762635152015,0.42019834603240364,0.695383790459929,0.5,0.7855,0.5895874421354454,0.09011620954007094,0.26024906312870766,True,True
energy,5,60.09620451990344,256.0890160090162,0.5005,0.24853861847116723,0.6372951519980107,0.4438370906492012,0.6826093224034153,0.5,0.7855,0.604684830584647,0.10289067759658466,0.2514613815288328,True,True
time,0,87.97763434954979,238.58745634339118,0.5005,0.32515130802258746,0.6891801033370566,0.6346723178139904,0.5982428823414013,0.5,0.7855,0.7363067516966191,0.18725711765859865,0.17484869197741254,False,True
time,1,43.236626424548895,268.5477136069592,0.5005,0.19891140916439481,0.5848825333248495,0.30315774393180217,0.7641678118737708,0.5,0.7855,0.5194244296428523,0.021332188126229168,0.3010885908356052,True,True
time,2,65.09819593162057,217.91838280721961,0.5005,0.2871160531538524,0.6661252467427553,0.542768272315336,0.634711191779546,0.5,0.7855,0.6709615282732025,0.15078880822045393,0.2128839468461476,False,True
time,3,61.343639281256365,250.5805800021002,0.5005,0.25490770818394154,0.6425734821206331,0.4606765989954155,0.6738015623428115,0.5,0.7855,0.6156270364860229,0.11169843765718845,0.24509229181605846,True,True
time,4,57.98715782671876,280.031926930936,0.5005,0.2306578525757994,0.6209866024474897,0.39519802304231333,0.7093952474170592,0.5,0.7855,0.5739653665913862,0.0761047525829408,0.2693421474242006,True,True
time,5,58.45342579968249,274.01952042088215,0.5005,0.23477557930076412,0.6249575292050757,0.4065905486166075,0.7029566548279508,0.5,0.7855,0.5810396920762028,0.0825433451720492,0.2652244206992359,True,True
time,6,60.59892991369715,254.23392003332978,0.5005,0.2508689984604215,0.6392551383055286,0.4500274619916784,0.6793406091623336,0.5,0.7855,0.6086884635715908,0.10615939083766635,0.2491310015395785,True,True
time,7,60.99931378899642,251.32729252685675,0.5005,0.25359843508382995,0.6415081930695677,0.4572367462319941,0.6755738394984275,0.5,0.7855,0.613377682733976,0.10992616050157245,0.24640156491617005,True,True
time,8,60.73030103904534,257.76357140079205,0.5005,0.2491307614220175,0.6377966218129132,0.44541224360046905,0.681772606295857,0.5,0.7855,0.6057021423801233,0.10372739370414297,0.2508692385779825,True,True
time,9,59.724668999186875,256.4746604452986,0.5005,0.24739576682753361,0.636320577273156,0.4407927120665049,0.6842281162226458,0.5,0.7855,0.6027213917631963,0.10127188377735419,0.2526042331724664,True,True
time,10,60.092271754173304,260.61409056842007,0.5005,0.24593931966497262,0.6350662762218694,0.43689930640123825,0.68630957130651,0.5,0.7855,0.6002191904352333,0.09919042869348993,0.2540606803350274,True,True
time,11,59.965213763250524,271.02342531883164,0.5005,0.2399476152380532,0.6297550394569739,0.4207337599210797,0.6950913666853845,0.5,0.7855,0.5899253389594028,0.09040863331461546,0.2600523847619468,True,True
