run,split,field_g,start_time,temperature_k,orientation_metadata,analysis_counts,parent_nll_gain,individual_tau_us,parent_ridge_shift_fraction,child_improvement,child_amplitude,reverse_improvement,free_gamma_mhz_per_g,recovered_frequency_mhz,phase_at_parent_ridge_rad,distance_to_child_pole_rad,child_at_parent_ridge,projected_child_at_parent_ridge,pole_score
EMU00066572,calibration,20.0,2016-10-20T11:54:08,300.0,l,8825932,3508943.8625928313,2.19167999999993,0.000510762495491764,0.9975560506169404,0.22941326037790127,0.973858706784289,,,,,,,
EMU00066574,calibration,20.0,2016-10-20T12:29:13,300.0,l,8802730,3496383.0879859924,2.19367999999993,0.0004013133892217252,0.9976256666476477,0.22994014055527348,0.9747578533364528,,,,,,,
EMU00066576,calibration,20.0,2016-10-20T13:04:20,300.0,l,8812915,3498260.076199949,2.19367999999993,0.0004013133892217252,0.9977146428563362,0.2300607072155022,0.9745061198501671,,,,,,,
EMU00066573,calibration,25.0,2016-10-20T12:00:15,300.0,l,43968524,17460355.11393541,2.19367999999993,0.0004013133892217252,0.004470892665481396,-0.0003229651626207271,0.003273309510226974,,,,,,,
EMU00066575,calibration,25.0,2016-10-20T12:35:19,300.0,l,43903113,17445536.05576825,2.19267999999993,5.47245531350194e-05,1.2969556694830686e-05,1.8384101666795478e-05,9.97888397469282e-07,,,,,,,
EMU00066577,calibration,25.0,2016-10-20T13:10:33,300.0,l,43983551,17480312.02483952,2.19267999999993,5.47245531350194e-05,0.0027724379227015428,-0.0002774328996211365,0.000803462139461697,,,,,,,
EMU00066581,diagnostic,1000.0,2016-10-20T15:32:54,300.0,l,43910501,17448736.205373824,2.19267999999993,5.47245531350194e-05,0.00019879342314710335,-6.926663685884825e-05,0.0009869507712599868,0.00474000000000001,4.74000000000001,,,,,
EMU00066582,diagnostic,2000.0,2016-10-20T16:02:38,300.0,l,44042819,17482349.66514945,2.19367999999993,0.0004013133892217252,0.001016523879536435,-0.00016246443014158242,0.0023671586171125636,0.0013000000000000008,2.6000000000000014,,,,,
EMU00066583,diagnostic,4000.0,2016-10-20T16:32:42,300.0,l,43942769,17419698.342835724,2.1956799999999297,0.0013133892739352144,0.0003435267515067286,-0.00010109991415296627,0.0008259425656786945,0.002100000000000003,8.400000000000011,,,,,
EMU00066578,holdout,63.0,2016-10-20T13:39:25,300.0,l,43843517,17418719.6545195,2.19267999999993,5.47245531350194e-05,0.0007034970470837232,0.00013747915433901913,0.0010640795316402274,0.017300000000000045,1.0899000000000028,2.014741399687793,1.1268512539020001,1.4295054524973652,0.7147527262486826,0.42950545249736516
EMU00066579,holdout,160.0,2016-10-20T14:34:08,300.0,l,44049559,17514325.2739442,2.19167999999993,0.000510762495491764,0.0003486801625052216,-9.085019604135451e-05,7.404189035142839e-05,0.021060000000000054,3.3696000000000086,2.339486484946214,0.8021061686435793,1.6951942922830343,0.8475971461415172,0.6951942922830343
EMU00066580,holdout,400.0,2016-10-20T15:03:24,300.0,l,43795135,17403848.24698156,2.19267999999993,5.47245531350194e-05,0.0015324399600421534,-0.00019631484433890964,0.002164322996845436,0.0026800000000000044,1.0720000000000018,2.8191039481021107,0.3224887054876824,1.9484496157480935,0.9742248078740467,0.9484496157480934
EMU00066584,validation,20.0,2016-10-20T17:03:20,300.0,l,9021300,3578726.631142184,2.19467999999993,0.0008573513315784698,0.9971646402389112,0.22933090153320237,0.9694817429823968,0.013900000000000034,0.2780000000000007,,,,,
EMU00066571,validation,25.0,2016-10-20T11:20:32,300.0,l,43886379,17428558.438589215,2.19367999999993,0.0004013133892217252,0.005977844675664534,-0.00041121366030251943,0.003157678265059416,0.005280000000000011,0.13200000000000028,,,,,
