shift,alpha,mean_holdout_improvement,min_holdout_improvement
0,1.3652815033133967,0.0008615390565436994,0.0003486801625052216
1,1.3517154079178304,0.0017705921579008743,0.0009118663644062108
2,1.3458473733241354,0.002316506454016709,0.001624702350264906
3,1.3215182018592675,0.002297827397405435,0.0017961473312662068
4,1.3115243393738705,0.0026476274727372053,0.0007713835646117051
5,1.2998986280439302,0.004287465184698284,5.102323324490676e-05
6,1.2750020468969567,0.0038230786444323206,9.082315420294584e-06
7,1.2487293673621103,0.0025669857140916776,0.0004389080268577539
8,1.24153037149516,0.003234946909526045,6.0623572312956675e-05
9,1.2217081093638307,0.002447505387343433,6.221104122960952e-07
10,1.2070836535680105,0.0023911410421775616,0.00011335289407399252
11,1.1940433126306864,0.0021951152255513065,0.00014110820016444148
12,1.1739457915607567,0.001852789940983331,0.00018364998062347926
13,1.152560725924126,0.0009463166161372735,0.00014469403222072685
14,1.1468108642404469,0.0006547214980900939,1.4286547955766338e-07
15,1.1243543971156287,0.00023679317472047323,1.381265838751311e-05
16,1.1014332651869159,0.00018036999432143505,3.4289480954630136e-07
17,1.0914812373651406,0.00032483132120697533,5.576136197049664e-05
18,1.074987694665154,0.0001070520052016688,6.480126362162775e-05
19,1.0646933290586482,0.0005222706771433142,0.00012429995383178571
20,1.0549629440288963,0.0013926530926206733,1.4509565402276436e-05
21,1.0397284206529107,0.0010069838561950577,4.371262300129075e-06
22,1.0251484439838379,0.0010037231840546907,0.00025586315527192927
23,1.0202175069577688,0.0015927069329412606,0.00019244496408865608
24,1.007386254484739,0.0014208058126279715,0.00035981858038358627
25,0.9840586590469904,0.0026444353190224756,0.00035564567409585024
26,0.972201126215889,0.0029551747586005575,3.5214369004332724e-05
27,0.956073972296286,0.0018130442602522316,1.2615329655130125e-05
28,0.9438053782497855,0.0017279440393570173,5.090419069309071e-05
29,0.9327185437157758,0.002615104216574219,0.0010673852582580023
30,0.912822949839658,0.002429993280107845,0.0003695560110213991
31,0.8965003952540946,0.0019980717670085393,0.0004234359381134478
32,0.8910321861211266,0.0040770497414596525,0.00032263698202850133
33,0.8644475251709388,0.0058199338170607335,5.984397932645713e-05
34,0.8604695373385474,0.007183148017207801,4.843002994370238e-05
35,0.8518534788264012,0.007385298950834211,4.632701038176368e-05
36,0.840804925206207,0.007246283905999462,0.000658484779217372
37,0.817699720709266,0.008824739449786198,6.717227343022714e-06
38,0.8104461331231205,0.009042923489613034,2.723731660569939e-05
39,0.7972756219024321,0.008823132237116652,2.998417235944295e-05
40,0.7903578314181806,0.007216452146034354,5.611750470202459e-06
41,0.7802364523964547,0.0059486960492785386,2.8729097341639864e-05
42,0.7676332699053058,0.006815561302534134,4.109157490561621e-05
43,0.7592418932799165,0.00514628446168075,3.0546695951594316e-05
44,0.7496313761937747,0.0036310049550155967,0.0001073572490905006
45,0.7440338500641417,0.004740580788543188,3.606913131015688e-05
46,0.73702205130366,0.0012409454926101866,7.490015220257273e-05
47,0.7415794945958443,0.0009332674731045895,0.0001864184156847859
48,0.7324496798448551,0.0008615390565436994,0.0003486801625053326
49,0.7398006963169788,0.0017705921579009853,0.0009118663644062108
50,0.7430263043350005,0.002316506454016672,0.001624702350264795
51,0.7567054306123685,0.0022978273974053978,0.0017961473312660958
52,0.7624715531222287,0.0026476274727371316,0.0007713835646117051
53,0.7692907573145042,0.004287465184698173,5.102323324479574e-05
54,0.7843124663476075,0.0038230786444323206,9.082315420405607e-06
55,0.8008140323571145,0.002566985714091604,0.00043890802685753183
56,0.8054575409184006,0.0032349469095258967,6.062357231273463e-05
57,0.8185261212031417,0.002447505387343248,6.221104121850729e-07
58,0.8284429973383425,0.0023911410421777837,0.00011335289407410354
59,0.8374905578565864,0.0021951152255514175,0.00014110820016433046
60,0.8518280888170343,0.001852789940983331,0.00018364998062347926
61,0.8676332426633726,0.0009463166161373474,0.0001446940322209489
62,0.8719833681226221,0.000654721498090057,1.4286547955766338e-07
63,0.8893992877738174,0.00023679317472062125,1.3812658387735155e-05
64,0.9079079337868896,0.00018036999432136103,3.4289480932425676e-07
65,0.9161861567259019,0.00032483132120708635,5.576136197027459e-05
66,0.930243206468971,0.0001070520052016688,6.480126362151672e-05
67,0.9392375933116375,0.0005222706771434252,0.00012429995383200776
68,0.947900592774384,0.0013926530926207104,1.4509565402054392e-05
69,0.961789617496497,0.0010069838561949835,4.371262300129075e-06
70,0.9754684854360134,0.0010037231840546168,0.0002558631552717072
71,0.9801831405363194,0.0015927069329411496,0.00019244496408865608
72,0.9926679022551117,0.0014208058126279715,0.0003598185803832532
73,1.016199584045577,0.00264443531902255,0.0003556456740957392
74,1.0285937477693663,0.0029551747586004837,3.521436900411068e-05
75,1.0459441727068597,0.0018130442602522316,1.2615329655241148e-05
76,1.0595404762944063,0.0017279440393570173,5.090419069286867e-05
77,1.0721347900044824,0.0026151042165741454,0.0010673852582575583
78,1.0955026932393135,0.002429993280107734,0.0003695560110212881
79,1.1154484764243418,0.0019980717670085766,0.0004234359381133368
80,1.1222939143794974,0.004077049741459615,0.00032263698202861235
81,1.1568082166725582,0.0058199338170607335,5.984397932645713e-05
82,1.1621561910175504,0.007183148017207837,4.843002994370238e-05
83,1.1739108013947426,0.007385298950834322,4.632701038198572e-05
84,1.1893365155475875,0.007246283905999573,0.000658484779217261
85,1.222942817117032,0.008824739449786345,6.717227343133736e-06
86,1.2338882982221386,0.009042923489613034,2.723731660558837e-05
87,1.2542713868684883,0.008823132237116615,2.998417235933193e-05
88,1.2652496884931823,0.007216452146034354,5.611750470202459e-06
89,1.281662753551892,0.005948696049278575,2.8729097341750887e-05
90,1.3027053922810807,0.006815561302534023,4.109157490539417e-05
91,1.3171032958679496,0.005146284461680639,3.054669595126125e-05
92,1.3339889867970343,0.003631004955015782,0.00010735724909094468
93,1.3440248718708054,0.004740580788543373,3.606913131015688e-05
94,1.3568115068350792,0.0012409454926101866,7.490015220268376e-05
95,1.348473100034937,0.0009332674731046264,0.00018641841568489692
