fluid,model,brier,auc,base_probability,events,snapshots,weight
S1,constant,0.08059208500417715,0.5,0.08838519697925999,34,496,34.0
S2,constant,0.08061324399232508,0.5,0.08838508365712654,62,3073,62.0
S3,constant,0.08033978750169621,0.5,0.0880906466175538,7,3042,7.0
S4,constant,0.06476051945573977,0.5,0.0691779634623397,20,3595,20.0
S1,parent_state,0.10298515151182484,0.6218527583706741,0.08838519697925999,34,496,34.0
S2,parent_state,0.08156953160143753,0.6142425754724309,0.08838508365712654,62,3073,62.0
S3,parent_state,0.08264988515745368,0.528485425881595,0.0880906466175538,7,3042,7.0
S4,parent_state,0.06428863920652891,0.6748376628805155,0.0691779634623397,20,3595,20.0
S1,parent_child,0.11518323434190432,0.5763403540555183,0.08838519697925999,34,496,34.0
S2,parent_child,0.08302535661905858,0.626100333254125,0.08838508365712654,62,3073,62.0
S3,parent_child,0.08311139934143907,0.587511268115114,0.0880906466175538,7,3042,7.0
S4,parent_child,0.06437986809050507,0.7006595202852985,0.0691779634623397,20,3595,20.0
S1,parent_grandchild,0.10025502523090071,0.6533164667940519,0.08838519697925999,34,496,34.0
S2,parent_grandchild,0.08085930932730188,0.6186182758459053,0.08838508365712654,62,3073,62.0
S3,parent_grandchild,0.0782824348686535,0.6467649196481141,0.0880906466175538,7,3042,7.0
S4,parent_grandchild,0.061976170996157307,0.7349927852925815,0.0691779634623397,20,3595,20.0
S1,three_rung_additive,0.11923126352523503,0.636797636874391,0.08838519697925999,34,496,34.0
S2,three_rung_additive,0.07853054326885395,0.6749004228244937,0.08838508365712654,62,3073,62.0
S3,three_rung_additive,0.07444888663392478,0.7838729483546117,0.0880906466175538,7,3042,7.0
S4,three_rung_additive,0.058494025831465325,0.8237380944736858,0.0691779634623397,20,3595,20.0
S1,three_point_lock,0.12717502701341493,0.6406312252973753,0.08838519697925999,34,496,34.0
S2,three_point_lock,0.07824319948310894,0.6836077951579799,0.08838508365712654,62,3073,62.0
S3,three_point_lock,0.07345812325860443,0.7924882229258264,0.0880906466175538,7,3042,7.0
S4,three_point_lock,0.05729281928034673,0.8351249392862178,0.0691779634623397,20,3595,20.0
