heldout_fluid,model,term,coefficient_standardized
S1,parent_state,intercept,-2.6362382094964
S1,parent_state,v,0.6076808004759712
S1,parent_state,dv,0.5417750216800112
S1,parent_child,intercept,-2.675589426363712
S1,parent_child,v,0.6280552041943198
S1,parent_child,dv,0.525158011950077
S1,parent_child,u,-0.536795621855476
S1,parent_child,du,0.10991343012213156
S1,parent_grandchild,intercept,-2.772836081748835
S1,parent_grandchild,v,0.7615744208682694
S1,parent_grandchild,dv,0.5928485152439767
S1,parent_grandchild,w,-0.5595145993695791
S1,parent_grandchild,dw,0.30550706292268215
S1,three_rung_additive,intercept,-3.0821991763887677
S1,three_rung_additive,v,1.1301813698412027
S1,three_rung_additive,dv,0.49677899645902107
S1,three_rung_additive,u,-1.2419417115387739
S1,three_rung_additive,du,0.5158042377099191
S1,three_rung_additive,w,-1.3630204717451728
S1,three_rung_additive,dw,0.6908560562180801
S1,three_point_lock,intercept,-3.136331895265285
S1,three_point_lock,v,1.1287301015772588
S1,three_point_lock,dv,0.49467657652128544
S1,three_point_lock,u,-1.3834417391740534
S1,three_point_lock,du,0.5135221192193199
S1,three_point_lock,w,-1.2645910449127564
S1,three_point_lock,dw,0.6240482090737279
S1,three_point_lock,vw,-0.3835313437610008
S1,three_point_lock,uw,-0.35152672263891743
S2,parent_state,intercept,-2.627183389912856
S2,parent_state,v,0.7966088459502749
S2,parent_state,dv,-0.09509798538364228
S2,parent_child,intercept,-2.665911633963084
S2,parent_child,v,0.877083352990442
S2,parent_child,dv,-0.2856433537210023
S2,parent_child,u,-0.12624270233912757
S2,parent_child,du,0.42301951777932467
S2,parent_grandchild,intercept,-2.8931172430133056
S2,parent_grandchild,v,1.0595900919450665
S2,parent_grandchild,dv,-0.19751077929602917
S2,parent_grandchild,w,-0.7916792439772615
S2,parent_grandchild,dw,0.08936778441636987
S2,three_rung_additive,intercept,-3.0201689744981914
S2,three_rung_additive,v,1.3986447268341382
S2,three_rung_additive,dv,-0.4646321426210866
S2,three_rung_additive,u,-0.9603547010476945
S2,three_rung_additive,du,0.6006040878857155
S2,three_rung_additive,w,-1.376286892942371
S2,three_rung_additive,dw,0.45057975134790723
S2,three_point_lock,intercept,-3.0208677494959275
S2,three_point_lock,v,1.3995184992398173
S2,three_point_lock,dv,-0.47435451199287815
S2,three_point_lock,u,-0.9700304339085594
S2,three_point_lock,du,0.5955843514098428
S2,three_point_lock,w,-1.4407818543180648
S2,three_point_lock,dw,0.39687601216085755
S2,three_point_lock,vw,-0.5550837433594421
S2,three_point_lock,uw,-0.1370112711008225
S3,parent_state,intercept,-2.5980720388233944
S3,parent_state,v,0.6777382648252596
S3,parent_state,dv,0.3091504684167943
S3,parent_child,intercept,-2.5978524774134795
S3,parent_child,v,0.7273958353435772
S3,parent_child,dv,0.19876281367998258
S3,parent_child,u,-0.30467440959689446
S3,parent_child,du,0.26277054778997605
S3,parent_grandchild,intercept,-2.7027712989249926
S3,parent_grandchild,v,0.8059387026668958
S3,parent_grandchild,dv,0.30476455023965593
S3,parent_grandchild,w,-0.5048546543706134
S3,parent_grandchild,dw,0.1368427684816837
S3,three_rung_additive,intercept,-2.8274647722636623
S3,three_rung_additive,v,1.1165523715268593
S3,three_rung_additive,dv,0.11394065053432971
S3,three_rung_additive,u,-0.9416876406514726
S3,three_rung_additive,du,0.5021886175225814
S3,three_rung_additive,w,-1.0896094549183157
S3,three_rung_additive,dw,0.4610109363945644
S3,three_point_lock,intercept,-2.838659354075784
S3,three_point_lock,v,1.1030656541651227
S3,three_point_lock,dv,0.0788819387636469
S3,three_point_lock,u,-0.9479111957756831
S3,three_point_lock,du,0.5494378704980731
S3,three_point_lock,w,-1.2899145633246338
S3,three_point_lock,dw,0.44536000261606834
S3,three_point_lock,vw,-0.5803885079229645
S3,three_point_lock,uw,0.04173886001270089
S4,parent_state,intercept,-2.549975872464842
S4,parent_state,v,0.6584438036436586
S4,parent_state,dv,0.3196063096285439
S4,parent_child,intercept,-2.5511910820080725
S4,parent_child,v,0.7234337394003395
S4,parent_child,dv,0.20492477110114846
S4,parent_child,u,-0.2951576973839497
S4,parent_child,du,0.2707834530266
S4,parent_grandchild,intercept,-2.644496241031781
S4,parent_grandchild,v,0.7735262094781399
S4,parent_grandchild,dv,0.3155294214819221
S4,parent_grandchild,w,-0.4777016636796918
S4,parent_grandchild,dw,0.11463564110282963
S4,three_rung_additive,intercept,-2.747764248064552
S4,three_rung_additive,v,1.091163461259457
S4,three_rung_additive,dv,0.13245398438987926
S4,three_rung_additive,u,-0.8820278156682235
S4,three_rung_additive,du,0.48707956466918817
S4,three_rung_additive,w,-1.0053975147709302
S4,three_rung_additive,dw,0.41068121180371553
S4,three_point_lock,intercept,-2.757446275855363
S4,three_point_lock,v,1.0673743363253492
S4,three_point_lock,dv,0.1006264651317406
S4,three_point_lock,u,-0.8863831287686609
S4,three_point_lock,du,0.5299810356551201
S4,three_point_lock,w,-1.1913475663333133
S4,three_point_lock,dw,0.39463744232826004
S4,three_point_lock,vw,-0.5597053362265253
S4,three_point_lock,uw,0.02999008775010658
