Name,fluid,partition,parent_window_frames,child_window_frames,grandchild_window_frames,snapshots,positive_snapshots,child_horizon_s,target_t_s
250723h,S2,diagnostic,19,9,5,23,2,0.009000000000000008,0.138
250723i,S2,diagnostic,19,9,5,30,1,0.009000000000000008,0.205
250723j,S2,diagnostic,19,9,5,40,2,0.009000000000000008,0.222
250723k,S2,diagnostic,27,13,7,39,2,0.013000000000000012,0.226
250723l,S2,diagnostic,27,13,7,31,3,0.013000000000000012,0.183
250723m,S2,diagnostic,27,13,7,35,3,0.013000000000000012,0.204
250723n,S2,diagnostic,27,13,7,39,2,0.013000000000000012,0.225
250723o,S2,diagnostic,27,13,7,23,3,0.013000000000000012,0.144
250723q,S2,diagnostic,27,13,7,25,2,0.013000000000000012,0.155
250723r,S2,diagnostic,27,13,7,26,3,0.013000000000000012,0.158
250723s,S2,diagnostic,27,13,7,22,3,0.013000000000000012,0.138
250723u,S2,diagnostic,27,13,7,22,2,0.013000000000000012,0.141
250723x,S2,diagnostic,27,13,7,15,2,0.013000000000000012,0.105
250820a,S4,diagnostic,97,49,25,238,10,0.049000000000000044,1.322
250820b,S4,diagnostic,97,49,25,318,10,0.049000000000000044,1.821
250820c,S4,diagnostic,97,49,25,243,9,0.049000000000000044,1.348
250820d,S4,diagnostic,97,49,25,258,9,0.049000000000000044,1.391
250820e,S4,diagnostic,111,55,27,248,11,0.05500000000000005,1.353
250820f,S4,diagnostic,115,57,29,247,12,0.05700000000000005,1.351
250820g,S4,diagnostic,111,55,27,195,11,0.05500000000000005,1.091
250820h,S4,diagnostic,115,57,29,189,12,0.05700000000000005,1.061
250820i,S4,diagnostic,111,55,27,149,11,0.05500000000000005,0.856
250820j,S4,diagnostic,111,55,27,172,11,0.05500000000000005,0.976
250820k,S4,diagnostic,109,55,27,138,11,0.05500000000000005,0.806
250820l,S4,diagnostic,109,55,27,139,11,0.05500000000000005,0.812
250822a,S4,diagnostic,109,55,27,116,11,0.05500000000000005,0.693
250822b,S4,diagnostic,109,55,27,102,11,0.05500000000000005,0.623
250822c,S4,diagnostic,109,55,27,106,11,0.05500000000000005,0.641
250822e,S4,diagnostic,107,53,27,80,11,0.05300000000000005,0.509
250822r,S4,diagnostic,105,53,27,230,10,0.05300000000000005,1.258
250822s,S4,diagnostic,105,53,27,178,11,0.05300000000000005,0.995
250822t,S4,diagnostic,105,53,27,140,11,0.05300000000000005,0.806
250822u,S4,diagnostic,105,53,27,109,11,0.05300000000000005,0.65
