model,brier,auc,base_probability,events,snapshots,weight
constant,0.07801415381538901,0.48316439000701505,0.08524524942769394,123,10206,123.0
parent_state,0.08474087878799941,0.6167213675408529,0.08524524942769394,123,10206,123.0
parent_child,0.08888763605858986,0.6116585124367934,0.08524524942769394,123,10206,123.0
parent_grandchild,0.08300364634265904,0.639531670383554,0.08524524942769394,123,10206,123.0
three_rung_additive,0.0862908891511684,0.680163360993159,0.08524524942769394,123,10206,123.0
three_point_lock,0.08809018320996771,0.6873256250879471,0.08524524942769394,123,10206,123.0
